EVENT_DATE,PATH,EVENT_ID,MARKET_TYPE,MARKET_ID,MARKET_NAME,SELECTION_ID,RUNNER_NAME,RUNNER_STATUS,IS_WINNER,TOTAL_GOALS,HOME_TEAM,AWAY_TEAM,HOME_MARGIN,HOME_SCORE,AWAY_SCORE,BEST_BACK_KICK_OFF,BEST_LAY_KICK_OFF,MATCHED_VOLUME_KICK_OFF,BEST_BACK_PRICE_HALF_TIME,BEST_LAY_PRICE_HALF_TIME,MATCHED_VOLUME_HALF_TIME,TOTAL_MATCHED_VOLUME
7/10/2022,Australian Soccer/Australian A-League Men/Fixtures 7 Oct/Melbourne City v Western United,31766313,MATCH_ODDS,203755890,Match Odds,8586946,Melbourne City,WINNER,1,3,Melbourne City,Western United,1,2,1,2.08,2.1,17485.66,1.31,1.31,86866.06,167790.84
7/10/2022,Australian Soccer/Australian A-League Men/Fixtures 7 Oct/Melbourne City v Western United,31766313,MATCH_ODDS,203755890,Match Odds,58805,The Draw,LOSER,0,3,Melbourne City,Western United,1,2,1,3.7,3.75,4830.31,5.5,5.5,20326.72,23475.23
7/10/2022,Australian Soccer/Australian A-League Men/Fixtures 7 Oct/Melbourne City v Western United,31766313,MATCH_ODDS,203755890,Match Odds,24301731,Western United,LOSER,0,3,Melbourne City,Western United,1,2,1,3.9,3.95,8542.04,18.5,18.5,21103.87,26141.69
8/10/2022,Australian Soccer/Australian A-League Men/Fixtures 8 Oct/Brisbane Roar v Macarthur FC,31766315,MATCH_ODDS,203755996,Match Odds,3862627,Brisbane Roar,LOSER,0,0,Brisbane Roar,Macarthur FC,0,0,0,2,2.04,34034.6,2.26,2.3,72150.91,83136.79
8/10/2022,Australian Soccer/Australian A-League Men/Fixtures 8 Oct/Brisbane Roar v Macarthur FC,31766315,MATCH_ODDS,203755996,Match Odds,36700739,Macarthur FC,LOSER,0,0,Brisbane Roar,Macarthur FC,0,0,0,3.9,3.95,6207.47,5.1,5.1,19758.51,26248.8
8/10/2022,Australian Soccer/Australian A-League Men/Fixtures 8 Oct/Brisbane Roar v Macarthur FC,31766315,MATCH_ODDS,203755996,Match Odds,58805,The Draw,WINNER,1,0,Brisbane Roar,Macarthur FC,0,0,0,3.95,4,2857.36,2.74,2.72,12622.29,57881.17
8/10/2022,Australian Soccer/Australian A-League Men/Fixtures 8 Oct/Sydney FC v Melbourne Victory,31766323,MATCH_ODDS,203756208,Match Odds,1205124,Melbourne Victory,WINNER,1,5,Sydney FC,Melbourne Victory,-1,2,3,3.3,3.35,16760.67,3.8,3.9,26580.97,122643.71
8/10/2022,Australian Soccer/Australian A-League Men/Fixtures 8 Oct/Sydney FC v Melbourne Victory,31766323,MATCH_ODDS,203756208,Match Odds,1205121,Sydney FC,LOSER,0,5,Sydney FC,Melbourne Victory,-1,2,3,2.32,2.34,16805.16,2.84,2.8,49592.9,60846.15
8/10/2022,Australian Soccer/Australian A-League Men/Fixtures 8 Oct/Sydney FC v Melbourne Victory,31766323,MATCH_ODDS,203756208,Match Odds,58805,The Draw,LOSER,0,5,Sydney FC,Melbourne Victory,-1,2,3,3.6,3.65,10020.49,2.58,2.6,17905.46,66833.2
9/10/2022,Australian Soccer/Australian A-League Men/Fixtures 9 Oct/Wellington Phoenix v Adelaide United,31766325,MATCH_ODDS,203756314,Match Odds,571273,Adelaide United,LOSER,0,2,Wellington Phoenix,Adelaide United,0,1,1,3,3.1,5139.63,2,1.99,28019.88,51283.42
9/10/2022,Australian Soccer/Australian A-League Men/Fixtures 9 Oct/Wellington Phoenix v Adelaide United,31766325,MATCH_ODDS,203756314,Match Odds,58805,The Draw,WINNER,1,2,Wellington Phoenix,Adelaide United,0,1,1,3.55,3.8,2550.65,2.78,2.8,5300.08,33344.73
9/10/2022,Australian Soccer/Australian A-League Men/Fixtures 9 Oct/Wellington Phoenix v Adelaide United,31766325,MATCH_ODDS,203756314,Match Odds,2469649,Wellington Phoenix,LOSER,0,2,Wellington Phoenix,Adelaide United,0,1,1,2.46,2.52,17972.83,7,7.2,29329.84,69678.15
9/10/2022,Australian Soccer/Australian A-League Men/Fixtures 9 Oct/Western Sydney Wanderers v Perth Glory,31766326,MATCH_ODDS,203756420,Match Odds,370132,Perth Glory,LOSER,0,1,Western Sydney Wanderers,Perth Glory,1,1,0,5.8,6,2745.55,5.6,5.5,9803.64,15406.46
9/10/2022,Australian Soccer/Australian A-League Men/Fixtures 9 Oct/Western Sydney Wanderers v Perth Glory,31766326,MATCH_ODDS,203756420,Match Odds,58805,The Draw,LOSER,0,1,Western Sydney Wanderers,Perth Glory,1,1,0,4.1,4.2,1691.16,2.52,2.5,4809.09,14781.85
9/10/2022,Australian Soccer/Australian A-League Men/Fixtures 9 Oct/Western Sydney Wanderers v Perth Glory,31766326,MATCH_ODDS,203756420,Match Odds,6480414,Western Sydney Wanderers,WINNER,1,1,Western Sydney Wanderers,Perth Glory,1,1,0,1.69,1.7,42974,2.36,2.36,68461.91,106187.74
14/10/2022,Australian Soccer/Australian A-League Men/Fixtures 14 Oct/Brisbane Roar v Melbourne City,31791715,MATCH_ODDS,204515348,Match Odds,3862627,Brisbane Roar,LOSER,0,2,Brisbane Roar,Melbourne City,-2,0,2,3.15,3.2,22861.87,70,75,36468.07,37001.44
14/10/2022,Australian Soccer/Australian A-League Men/Fixtures 14 Oct/Brisbane Roar v Melbourne City,31791715,MATCH_ODDS,204515348,Match Odds,8586946,Melbourne City,WINNER,1,2,Brisbane Roar,Melbourne City,-2,0,2,2.42,2.44,38482.58,1.09,1.08,117931.84,238982.73
14/10/2022,Australian Soccer/Australian A-League Men/Fixtures 14 Oct/Brisbane Roar v Melbourne City,31791715,MATCH_ODDS,204515348,Match Odds,58805,The Draw,LOSER,0,2,Brisbane Roar,Melbourne City,-2,0,2,3.55,3.65,12168.72,16,16.5,20798.41,24638.87
15/10/2022,Australian Soccer/Australian A-League Men/Fixtures 15 Oct/Newcastle Jets v Perth Glory,31794290,MATCH_ODDS,204515454,Match Odds,1205125,Newcastle Jets,WINNER,1,3,Newcastle Jets,Perth Glory,1,2,1,2.04,2.06,26809.88,2.82,2.84,93575.09,192856.76
15/10/2022,Australian Soccer/Australian A-League Men/Fixtures 15 Oct/Newcastle Jets v Perth Glory,31794290,MATCH_ODDS,204515454,Match Odds,370132,Perth Glory,LOSER,0,3,Newcastle Jets,Perth Glory,1,2,1,4.1,4.3,12600.02,4.2,4.2,20051.91,29920
15/10/2022,Australian Soccer/Australian A-League Men/Fixtures 15 Oct/Newcastle Jets v Perth Glory,31794290,MATCH_ODDS,204515454,Match Odds,58805,The Draw,LOSER,0,3,Newcastle Jets,Perth Glory,1,2,1,3.65,3.7,4541.54,2.44,2.44,20095.41,62093.02
