EVENT_DATE,PATH,EVENT_ID,MARKET_TYPE,MARKET_ID,MARKET_NAME,SELECTION_ID,RUNNER_NAME,RUNNER_STATUS,IS_WINNER,TOTAL_POINTS,HOME_TEAM,AWAY_TEAM,HOME_MARGIN,HOME_SCORE,AWAY_SCORE,BEST_BACK_FIRST_BOUNCE,BEST_LAY_FIRST_BOUNCE,MATCHED_VOLUME_FIRST_BOUNCE,BEST_BACK_PRICE_APPROX_QUARTER_TIME,BEST_LAY_PRICE_APPROX_QUARTER_TIME,MATCHED_VOLUME_QUARTER_TIME,BEST_BACK_PRICE_HALF_TIME,BEST_LAY_PRICE_HALF_TIME,MATCHED_VOLUME_HALF_TIME,BEST_BACK_PRICE_APPROX_THREE_QUARTER_TIME,BEST_LAY_PRICE_APPROX_THREE_QUARTER_TIME,MATCHED_VOLUME_APPROX_THREE_QUARTER_TIME,TOTAL_MATCHED_VOLUME
7/01/2022,Women's AFL/St Kilda (W) v Richmond (W),31156291,,192975961,Match Odds,26814173,Richmond (W),WINNER,1,84,St Kilda (W),Richmond (W),-38,23,61,1.5,1.59,8421.95,1.2,1.79,8705.56,1.11,1.75,9008.6,,1.01,9159.31,10159.38
7/01/2022,Women's AFL/St Kilda (W) v Richmond (W),31156291,,192975961,Match Odds,26814175,St Kilda (W),LOSER,0,84,St Kilda (W),Richmond (W),-38,23,61,2.5,3.5,789.64,1.01,3.5,932.14,1.01,5.9,1059.51,1.01,,1269.06,1269.06
8/01/2022,Women's AFL/Western Bulldogs (W) v Melbourne (W),31156308,,192978271,Match Odds,12443129,Melbourne (W),WINNER,1,68,Western Bulldogs (W),Melbourne (W),-24,22,46,1.39,1.45,1309,1.1,1.37,1352.98,1.01,1.37,1376.88,1.01,,1394.34,1394.34
8/01/2022,Women's AFL/Western Bulldogs (W) v Melbourne (W),31156308,,192978271,Match Odds,12443127,Western Bulldogs (W),LOSER,0,68,Western Bulldogs (W),Melbourne (W),-24,22,46,3.25,3.4,348.47,1.01,,357.26,2,,357.26,1.01,,357.26,357.26
8/01/2022,Women's AFL/North Melbourne (W) v Geelong (W),31156309,,192977886,Match Odds,22505676,Geelong (W),LOSER,0,44,North Melbourne (W),Geelong (W),8,26,18,7.4,14,6,1.16,,6,1.5,,6,2,,6,6
8/01/2022,Women's AFL/North Melbourne (W) v Geelong (W),31156309,,192977886,Match Odds,22505674,North Melbourne (W),WINNER,1,44,North Melbourne (W),Geelong (W),8,26,18,1.09,1.13,1290.05,1.01,,1323.04,1.02,,1323.04,1.1,,1417.71,1442.99
8/01/2022,Women's AFL/Fremantle (W) v West Coast (W),31156312,,192976346,Match Odds,12443128,Fremantle (W),WINNER,1,58,Fremantle (W),West Coast (W),28,43,15,1.25,1.29,815.54,1.01,,1045.54,1.01,1.06,1045.54,1.01,,1045.54,1055
8/01/2022,Women's AFL/Fremantle (W) v West Coast (W),31156312,,192976346,Match Odds,26814174,West Coast (W),LOSER,0,58,Fremantle (W),West Coast (W),28,43,15,4.2,5.6,84.6,1.01,,97.71,1.01,,97.71,1.01,,97.71,97.71
9/01/2022,Women's AFL/Adelaide (W) v Brisbane (W),31156313,,192976731,Match Odds,12443131,Adelaide (W),WINNER,1,48,Adelaide (W),Brisbane (W),30,39,9,1.8,1.9,3503.78,1.01,3.15,6909.56,1.01,3.15,6909.56,1.01,3.15,6909.56,6919.02
9/01/2022,Women's AFL/Adelaide (W) v Brisbane (W),31156313,,192976731,Match Odds,12551709,Brisbane (W),LOSER,0,48,Adelaide (W),Brisbane (W),30,39,9,2.04,3.15,330.75,1.01,3.15,630.61,1.01,9.8,710.61,1.01,34,712.61,712.61
