EVENT_DATE,PATH,EVENT_ID,MARKET_TYPE,MARKET_ID,MARKET_NAME,SELECTION_ID,RUNNER_NAME,RUNNER_STATUS,IS_WINNER,TOTAL_POINTS,HOME_TEAM,AWAY_TEAM,HOME_MARGIN,HOME_SCORE,AWAY_SCORE,BEST_BACK_FIRST_BOUNCE,BEST_LAY_FIRST_BOUNCE,MATCHED_VOLUME_FIRST_BOUNCE,BEST_BACK_PRICE_APPROX_QUARTER_TIME,BEST_LAY_PRICE_APPROX_QUARTER_TIME,MATCHED_VOLUME_QUARTER_TIME,BEST_BACK_PRICE_HALF_TIME,BEST_LAY_PRICE_HALF_TIME,MATCHED_VOLUME_HALF_TIME,BEST_BACK_PRICE_APPROX_THREE_QUARTER_TIME,BEST_LAY_PRICE_APPROX_THREE_QUARTER_TIME,MATCHED_VOLUME_APPROX_THREE_QUARTER_TIME,TOTAL_MATCHED_VOLUME
2024-08-30 00:00:00.000 Z,Women's AFL/Sydney (W) v Collingwood (W),33516901,MATCH_ODDS,232287911,Match Odds,12443130,Collingwood (W),LOSER,0,85,Sydney (W),Collingwood (W),15,50,35,2.94,2.96,2014.93,2,,2740.96,1.79,,2841.32,15.5,,2846.11,2896.7
2024-08-30 00:00:00.000 Z,Women's AFL/Sydney (W) v Collingwood (W),33516901,MATCH_ODDS,232287911,Match Odds,47691797,Sydney (W),WINNER,1,85,Sydney (W),Collingwood (W),15,50,35,1.51,1.52,9076.68,1.36,1.57,9241.85,1.38,1.6,9604.3,1.01,1.06,10765.74,12038.45
2024-08-30 00:00:00.000 Z,Women's AFL/West Coast (W) v Richmond (W),33516902,MATCH_ODDS,232288155,Match Odds,26814173,Richmond (W),LOSER,0,79,West Coast (W),Richmond (W),1,40,39,1.17,980,5706.73,1.6,,5888.24,1.11,,6599.72,5.5,9,6741.76,6875.37
2024-08-30 00:00:00.000 Z,Women's AFL/West Coast (W) v Richmond (W),33516902,MATCH_ODDS,232288155,Match Odds,26814174,West Coast (W),WINNER,1,79,West Coast (W),Richmond (W),1,40,39,5.9,6.8,595.34,2,13,638.55,1.16,1.33,846.38,1.1,1.37,1352.78,2035.79
2024-08-31 00:00:00.000 Z,Women's AFL/GWS (W) v Western Bulldogs (W),33516903,MATCH_ODDS,232288399,Match Odds,12543370,GWS (W),WINNER,1,81,GWS (W),Western Bulldogs (W),60,70.5,10.5,1.71,1.8,3868.24,1.11,,3954.28,1.11,,3954.28,,1.01,4182.6,4182.6
2024-08-31 00:00:00.000 Z,Women's AFL/GWS (W) v Western Bulldogs (W),33516903,MATCH_ODDS,232288399,Match Odds,12443127,Western Bulldogs (W),LOSER,0,81,GWS (W),Western Bulldogs (W),60,70.5,10.5,2.24,2.26,711.15,1.11,,812.89,1.11,,812.89,1.24,,812.89,812.89
2024-08-31 00:00:00.000 Z,Women's AFL/Essendon (W) v Fremantle (W),33516904,MATCH_ODDS,232288643,Match Odds,47691799,Essendon (W),LOSER,0,85,Essendon (W),Fremantle (W),-43,21,64,1.49,1.53,1104.44,1.11,,1845.26,1.11,,1845.26,1.11,,2126.85,2126.85
2024-08-31 00:00:00.000 Z,Women's AFL/Essendon (W) v Fremantle (W),33516904,MATCH_ODDS,232288643,Match Odds,12443128,Fremantle (W),WINNER,1,85,Essendon (W),Fremantle (W),-43,21,64,2.88,1000,321.94,1.47,4.5,602.16,1.11,,602.16,1.01,,732.21,935.92
2024-08-31 00:00:00.000 Z,Women's AFL/Geelong (W) v Melbourne (W),33516905,MATCH_ODDS,232288887,Match Odds,22505676,Geelong (W),LOSER,0,82,Geelong (W),Melbourne (W),-2,40,42,1.88,1.89,9814.46,1.11,,18042.81,1.4,,18042.81,1.11,,18076.34,18076.41
2024-08-31 00:00:00.000 Z,Women's AFL/Geelong (W) v Melbourne (W),33516905,MATCH_ODDS,232288887,Match Odds,12443129,Melbourne (W),WINNER,1,82,Geelong (W),Melbourne (W),-2,40,42,2.04,2.18,2741.46,1.11,,2929.46,2.32,,2931.4,1.5,,3043.27,3148.27
2024-08-31 00:00:00.000 Z,Women's AFL/Gold Coast (W) v St Kilda (W),33516906,MATCH_ODDS,232289131,Match Odds,26814172,Gold Coast (W),LOSER,0,94,Gold Coast (W),St Kilda (W),-54,20,74,1.62,1.93,4432.92,1.45,,6119.06,1.45,,6119.06,1.45,,6119.06,6119.06
2024-08-31 00:00:00.000 Z,Women's AFL/Gold Coast (W) v St Kilda (W),33516906,MATCH_ODDS,232289131,Match Odds,26814175,St Kilda (W),WINNER,1,94,Gold Coast (W),St Kilda (W),-54,20,74,2.58,2.6,1891.51,1.05,4.5,2962.67,1.01,1.1,2984.67,,1.1,3058.67,3058.67
2024-08-31 00:00:00.000 Z,Women's AFL/Port Adelaide (W) v Adelaide (W),33516907,MATCH_ODDS,232289375,Match Odds,12443131,Adelaide (W),WINNER,1,84,Port Adelaide (W),Adelaide (W),-14,35,49,1.11,1.12,8516.37,1.05,1.6,11626.52,1.05,1.25,11626.52,1.05,1.18,11626.52,11830.32
2024-08-31 00:00:00.000 Z,Women's AFL/Port Adelaide (W) v Adelaide (W),33516907,MATCH_ODDS,232289375,Match Odds,47691800,Port Adelaide (W),LOSER,0,84,Port Adelaide (W),Adelaide (W),-14,35,49,9.4,990,851.42,4.9,,851.42,4.9,,851.42,4.9,,851.42,851.42
2024-09-01 00:00:00.000 Z,Women's AFL/Hawthorn (W) v Carlton (W),33516908,MATCH_ODDS,232289619,Match Odds,12443132,Carlton (W),LOSER,0,94,Hawthorn (W),Carlton (W),38,66,28,2.88,3,436.02,1.11,,1053.77,1.11,17,1386.3,1.11,,1386.3,1386.3
2024-09-01 00:00:00.000 Z,Women's AFL/Hawthorn (W) v Carlton (W),33516908,MATCH_ODDS,232289619,Match Odds,47691798,Hawthorn (W),WINNER,1,94,Hawthorn (W),Carlton (W),38,66,28,1.51,1.55,2147.11,1.11,1.4,2620.46,1.07,1.22,3508.27,,1.03,3861.43,3861.43
2024-09-01 00:00:00.000 Z,Women's AFL/Brisbane (W) v North Melbourne (W),33516910,MATCH_ODDS,232289863,Match Odds,12551709,Brisbane (W),LOSER,0,112,Brisbane (W),North Melbourne (W),-44,34,78,1.65,1.74,2157.82,2.5,2.8,3233.11,2.7,,3501.11,3.5,,3531.11,3531.11
2024-09-01 00:00:00.000 Z,Women's AFL/Brisbane (W) v North Melbourne (W),33516910,MATCH_ODDS,232289863,Match Odds,22505674,North Melbourne (W),WINNER,1,112,Brisbane (W),North Melbourne (W),-44,34,78,2.36,2.6,1370.42,1.11,,1875.42,1.11,,2287.09,,1.01,2752.09,2752.09
2024-09-06 00:00:00.000 Z,Women's AFL/Western Bulldogs (W) v Port Adelaide (W),33547452,MATCH_ODDS,232549804,Match Odds,47691800,Port Adelaide (W),WINNER,1,,Western Bulldogs (W),Port Adelaide (W),-40,,,1.33,1.4,920.3,1.06,1.22,959.44,,1.12,1715,,1.12,1715,1715
2024-09-06 00:00:00.000 Z,Women's AFL/Western Bulldogs (W) v Port Adelaide (W),33547452,MATCH_ODDS,232549804,Match Odds,12443127,Western Bulldogs (W),LOSER,0,,Western Bulldogs (W),Port Adelaide (W),-40,,,3.75,,230.98,5.6,60,230.98,9.4,,233.17,9.4,,233.17,233.17
2024-09-07 00:00:00.000 Z,Women's AFL/Melbourne (W) v Brisbane (W),33547453,MATCH_ODDS,232550048,Match Odds,12551709,Brisbane (W),WINNER,1,48,Melbourne (W),Brisbane (W),-18,15,33,1.84,1.9,8307.88,1.11,,8324.46,1.47,1.84,8567.22,1.05,,8589.69,8589.69
2024-09-07 00:00:00.000 Z,Women's AFL/Melbourne (W) v Brisbane (W),33547453,MATCH_ODDS,232550048,Match Odds,12443129,Melbourne (W),LOSER,0,48,Melbourne (W),Brisbane (W),-18,15,33,2.1,2.18,7694.5,1.11,,7709.5,1.11,,7867.5,1.11,,7867.5,7867.5
2024-09-07 00:00:00.000 Z,Women's AFL/West Coast (W) v Essendon (W),33547454,MATCH_ODDS,232550292,Match Odds,47691799,Essendon (W),WINNER,1,66,West Coast (W),Essendon (W),-16,25,41,1.55,1.58,1241.43,1.11,,1262.5,1.01,,1295.5,1.01,,1295.5,1406.5
2024-09-07 00:00:00.000 Z,Women's AFL/West Coast (W) v Essendon (W),33547454,MATCH_ODDS,232550292,Match Odds,26814174,West Coast (W),LOSER,0,66,West Coast (W),Essendon (W),-16,25,41,2.74,2.8,876.66,1.11,,922.54,1.11,,923.7,1.14,,925.04,925.04
2024-09-07 00:00:00.000 Z,Women's AFL/Collingwood (W) v Hawthorn (W),33547455,MATCH_ODDS,232550536,Match Odds,12443130,Collingwood (W),LOSER,0,99,Collingwood (W),Hawthorn (W),-47,26,73,2.28,2.46,1672.62,1.11,,1672.62,1.14,,1672.62,1.11,,1672.62,1672.62
2024-09-07 00:00:00.000 Z,Women's AFL/Collingwood (W) v Hawthorn (W),33547455,MATCH_ODDS,232550536,Match Odds,47691798,Hawthorn (W),WINNER,1,99,Collingwood (W),Hawthorn (W),-47,26,73,1.65,1.75,3121.47,1.11,,3121.47,1.01,,3154.47,,1.01,3154.47,3162.35
2024-09-08 00:00:00.000 Z,Women's AFL/Richmond (W) v GWS (W),33547456,MATCH_ODDS,232550780,Match Odds,12543370,GWS (W),LOSER,0,65,Richmond (W),GWS (W),11,38,27,3,3.15,870.58,1.4,,887.6,29,,889.73,29,,913.51,913.63
2024-09-08 00:00:00.000 Z,Women's AFL/Richmond (W) v GWS (W),33547456,MATCH_ODDS,232550780,Match Odds,26814173,Richmond (W),WINNER,1,65,Richmond (W),GWS (W),11,38,27,1.46,1.49,2728.53,1.11,,2953.7,,,3276.87,,,4147.13,4150.48
2024-09-08 00:00:00.000 Z,Women's AFL/St Kilda (W) v Sydney (W),33547457,MATCH_ODDS,232551024,Match Odds,26814175,St Kilda (W),WINNER,1,68,St Kilda (W),Sydney (W),16,42,26,1.49,1.5,13861.36,1.11,1.55,17361.36,1.01,1.26,17394.36,,1.17,17513.24,17513.24
2024-09-08 00:00:00.000 Z,Women's AFL/St Kilda (W) v Sydney (W),33547457,MATCH_ODDS,232551024,Match Odds,47691797,Sydney (W),LOSER,0,68,St Kilda (W),Sydney (W),16,42,26,2.92,3.05,266,2.4,,266,2.4,,266,2.4,,266,266
2024-09-08 00:00:00.000 Z,Women's AFL/Gold Coast (W) v Carlton (W),33547458,MATCH_ODDS,232551268,Match Odds,12443132,Carlton (W),WINNER,1,77,Gold Coast (W),Carlton (W),-1,38,39,2.82,3.05,846.45,1.11,,846.45,1.11,,846.45,1.11,,846.45,920.51
2024-09-08 00:00:00.000 Z,Women's AFL/Gold Coast (W) v Carlton (W),33547458,MATCH_ODDS,232551268,Match Odds,26814172,Gold Coast (W),LOSER,0,77,Gold Coast (W),Carlton (W),-1,38,39,1.5,1.51,8560.08,1.11,1.51,8560.08,1.11,,8859.1,1.11,,8859.1,8859.1
2024-09-08 00:00:00.000 Z,Women's AFL/North Melbourne (W) v Geelong (W),33547459,MATCH_ODDS,232551512,Match Odds,22505676,Geelong (W),WINNER,1,72,North Melbourne (W),Geelong (W),-0,36,36,4.5,,114.62,1.11,,114.62,1.11,,114.62,2,,114.62,164.89
2024-09-08 00:00:00.000 Z,Women's AFL/North Melbourne (W) v Geelong (W),33547459,MATCH_ODDS,232551512,Match Odds,22505674,North Melbourne (W),WINNER,1,72,North Melbourne (W),Geelong (W),-0,36,36,1.25,1.26,1851.06,1.12,1.3,2028.3,1.01,1.08,2720.29,1.01,1.11,3091.95,3177.46
2024-09-08 00:00:00.000 Z,Women's AFL/Fremantle (W) v Adelaide (W),33547460,MATCH_ODDS,232551756,Match Odds,12443131,Adelaide (W),WINNER,1,45,Fremantle (W),Adelaide (W),-33,6,39,1.45,1.47,1522.58,1.05,21,3995.8,1.05,1.13,3999.74,,1.01,4130.32,4130.32
2024-09-08 00:00:00.000 Z,Women's AFL/Fremantle (W) v Adelaide (W),33547460,MATCH_ODDS,232551756,Match Odds,12443128,Fremantle (W),LOSER,0,45,Fremantle (W),Adelaide (W),-33,6,39,3.1,,811.24,3.5,,861.24,3,,861.24,3,,861.24,861.24
2024-09-12 00:00:00.000 Z,Women's AFL/Western Bulldogs (W) v West Coast (W),33570059,MATCH_ODDS,232818492,Match Odds,26814174,West Coast (W),WINNER,1,53,Western Bulldogs (W),West Coast (W),-11,21,32,1.31,1.32,15292.78,1.3,,15517.1,1.11,,15518.1,,1.1,15528.13,15713.64
2024-09-12 00:00:00.000 Z,Women's AFL/Western Bulldogs (W) v West Coast (W),33570059,MATCH_ODDS,232818492,Match Odds,12443127,Western Bulldogs (W),LOSER,0,53,Western Bulldogs (W),West Coast (W),-11,21,32,4.1,4.2,3661.32,2,,4364.85,2,,4380.85,1.01,,4380.85,4409.18
2024-09-13 00:00:00.000 Z,Women's AFL/Brisbane (W) v Collingwood (W),33570060,MATCH_ODDS,232818736,Match Odds,12551709,Brisbane (W),WINNER,1,92,Brisbane (W),Collingwood (W),52,72,20,1.05,1.07,8073.75,1.01,1.07,9014.14,,1.06,9383.84,,1.01,9383.84,9383.84
2024-09-13 00:00:00.000 Z,Women's AFL/Brisbane (W) v Collingwood (W),33570060,MATCH_ODDS,232818736,Match Odds,12443130,Collingwood (W),LOSER,0,92,Brisbane (W),Collingwood (W),52,72,20,12,20,333.34,1.1,,337.42,1.01,,342.42,1.01,,342.42,342.42
2024-09-14 00:00:00.000 Z,Women's AFL/Sydney (W) v Richmond (W),33570061,MATCH_ODDS,232818980,Match Odds,26814173,Richmond (W),WINNER,1,90,Sydney (W),Richmond (W),-46,22,68,1.62,1.63,3239.12,1.05,,3369.11,1.05,,3369.11,1.01,1.08,3371.1,3482.1
2024-09-14 00:00:00.000 Z,Women's AFL/Sydney (W) v Richmond (W),33570061,MATCH_ODDS,232818980,Match Odds,47691797,Sydney (W),LOSER,0,90,Sydney (W),Richmond (W),-46,22,68,2.58,2.6,438.1,1.05,,506.82,1.05,44,506.82,1.06,,506.82,506.82
2024-09-14 00:00:00.000 Z,Women's AFL/Carlton (W) v Geelong (W),33570064,MATCH_ODDS,232819224,Match Odds,12443132,Carlton (W),WINNER,1,34,Carlton (W),Geelong (W),24,29,5,4.5,,1989.9,1.11,,1991.9,1.11,1.45,2102.63,,1.01,2359.86,2359.86
