LOCAL_MEETING_DATE,SCHEDULED_RACE_TIME,ACTUAL_OFF_TIME,TRACK,STATE_CODE,RACE_NO,WIN_MARKET_ID,WIN_MARKET_NAME,PLACE_MARKET_ID,RACING_TYPE,DISTANCE,RACE_TYPE,SELECTION_ID,TAB_NUMBER,SELECTION_NAME,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,WIN_BSP_VOLUME,WIN_PREPLAY_MAX_PRICE_TAKEN,WIN_PREPLAY_MIN_PRICE_TAKEN,WIN_PREPLAY_LAST_PRICE_TAKEN,WIN_PREPLAY_WEIGHTED_AVERAGE_PRICE_TAKEN,WIN_PREPLAY_VOLUME,WIN_INPLAY_MAX_PRICE_TAKEN,WIN_INPLAY_MIN_PRICE_TAKEN,WIN_LAST_PRICE_TAKEN,WIN_INPLAY_WEIGHTED_AVERAGE_PRICE_TAKEN,WIN_INPLAY_VOLUME,PLACE_BSP_VOLUME,PLACE_MAX_PRICE_TAKEN,PLACE_MIN_PRICE_TAKEN,PLACE_LAST_PRICE_TAKEN,PLACE_WEIGHTED_AVERAGE_PRICE_TAKEN,PLACE_PREPLAY_VOLUME,BEST_AVAIL_BACK_AT_SCHEDULED_OFF,BEST_AVAIL_LAY_AT_SCHEDULED_OFF,BACK_MARKET_PERCENTAGE_AT_SCHEDULED_OFF,LAY_MARKET_PERCENTAGE_AT_SCHEDULED_OFF
2026-07-01,10:10:00.000,10:10:27.000,Ascot Park,NZ,1,259604693,R1 390m C1,259604694,Greyhounds,390,C1,87420041,2,Mitcham Lauren,LOSER,9.86,LOSER,,235.77,16,7.4,9.6,9.31,788.18,,,,,,,2.9,2.9,2.9,2.9,40,8.8,8.4,0.98,1.03
2026-07-01,10:10:00.000,10:10:27.000,Ascot Park,NZ,1,259604693,R1 390m C1,259604694,Greyhounds,390,C1,46315103,3,Homebush Bentley,LOSER,36,LOSER,,89.37,46,11.5,40,30.47,167.04,,,,,,,7.8,5.7,6.2,6.39,16,34,34,0.98,1.03
2026-07-01,10:10:00.000,10:10:27.000,Ascot Park,NZ,1,259604693,R1 390m C1,259604694,Greyhounds,390,C1,59918047,5,Homebush Willow,LOSER,97.8,LOSER,,102.57,960,60,960,110.91,54.79,,,,,,,32,10.5,30,18.26,32.32,180,120,0.98,1.03
2026-07-01,10:10:00.000,10:10:27.000,Ascot Park,NZ,1,259604693,R1 390m C1,259604694,Greyhounds,390,C1,92208944,6,Diaz,LOSER,29,LOSER,,105.36,70,19.5,48,30.69,153.89,,,,,,,4.9,4.8,4.9,4.88,23.72,22,23,0.98,1.03
2026-07-01,10:10:00.000,10:10:27.000,Ascot Park,NZ,1,259604693,R1 390m C1,259604694,Greyhounds,390,C1,53089138,7,Homebush Bull,LOSER,80,WINNER,,83.4,180,46,95,70.24,133.92,,,,,,,7.8,6.8,7,6.91,15,65,65,0.98,1.03
2026-07-01,10:10:00.000,10:10:27.000,Ascot Park,NZ,1,259604693,R1 390m C1,259604694,Greyhounds,390,C1,99207434,8,Nothing Formal,WINNER,1.55,WINNER,,3535.8,1.85,1.41,1.59,1.58,6960.28,,,,,,,1.23,1.13,1.23,1.19,7.46,1.61,1.53,0.98,1.03
2026-07-01,10:10:00.000,10:10:27.000,Ascot Park,NZ,1,259604693,R1 390m C1,259604694,Greyhounds,390,C1,94647635,9,Christian Jewel,LOSER,4.6,LOSER,,372.4,8.8,4.2,4.6,5.18,1413.04,,,,,,,2.66,2.38,2.44,2.48,117.71,6.6,6.4,0.98,1.03
2026-07-01,10:28:00.000,10:28:41.000,Ascot Park,NZ,2,259604695,R2 457m C1,259604696,Greyhounds,457,C1,100050577,1,Sam Sees All,WINNER,4.96,WINNER,,382.67,5.5,3.95,4.6,4.74,1400.47,,,,,,,1.91,1.57,1.76,1.64,203.47,5.4,4.8,0.96,1.06
2026-07-01,10:28:00.000,10:28:41.000,Ascot Park,NZ,2,259604695,R2 457m C1,259604696,Greyhounds,457,C1,98676704,2,Homebush Tucker,LOSER,4.26,WINNER,,371.09,6.2,3.55,3.8,4.13,1688.03,,,,,,,1.95,1.55,1.56,1.62,382.25,4.6,4.2,0.96,1.06
2026-07-01,10:28:00.000,10:28:41.000,Ascot Park,NZ,2,259604695,R2 457m C1,259604696,Greyhounds,457,C1,97662073,4,Homebush Twenty,LOSER,12.11,WINNER,,180.5,14,8.6,11.5,10.28,802.66,,,,,,,2.68,2.48,2.48,2.59,163.09,11.5,9.6,0.96,1.06
2026-07-01,10:28:00.000,10:28:41.000,Ascot Park,NZ,2,259604695,R2 457m C1,259604696,Greyhounds,457,C1,81603369,5,Back Chat Bailey,LOSER,4.9,LOSER,,852.09,7.2,4.8,5.1,5.24,646.37,,,,,,,1.91,1.9,1.91,1.91,13.43,5.4,5,0.96,1.06
2026-07-01,10:28:00.000,10:28:41.000,Ascot Park,NZ,2,259604695,R2 457m C1,259604696,Greyhounds,457,C1,72479629,6,Homebush Penny,LOSER,100.16,LOSER,,58.85,160,60,100,74.05,131.06,,,,,,,12.5,10,10,12.27,11,130,70,0.96,1.06
2026-07-01,10:28:00.000,10:28:41.000,Ascot Park,NZ,2,259604695,R2 457m C1,259604696,Greyhounds,457,C1,92824406,7,Bobby The Fox,LOSER,4.9,LOSER,,283.82,6.4,3.9,4.8,4.35,886.34,,,,,,,1.9,1.62,1.9,1.78,100.87,4.2,4.1,0.96,1.06
2026-07-01,10:28:00.000,10:28:41.000,Ascot Park,NZ,2,259604695,R2 457m C1,259604696,Greyhounds,457,C1,63325317,8,Kylie Baxter,LOSER,38,LOSER,,42.86,34,22,32,27.52,441.27,,,,,,,3.95,3.8,3.95,3.89,95.96,32,28,0.96,1.06
2026-07-01,10:28:00.000,10:28:41.000,Ascot Park,NZ,2,259604695,R2 457m C1,259604696,Greyhounds,457,C1,57230634,9,Homebush Apollo,LOSER,130,LOSER,,75.06,320,34,320,68.21,78.4,,,,,,,8,8,8,8,15.19,90,70,0.96,1.06
2026-07-01,10:46:00.000,10:46:33.000,Ascot Park,NZ,3,259604697,R3 630m C2/3,259604698,Greyhounds,630,C2/3,92118603,1,Bartlett,WINNER,7.27,WINNER,,235.05,9.2,5.2,7,7.12,987.27,,,,,,,1.88,1.63,1.63,1.65,314.03,9,7,0.96,1.05
2026-07-01,10:46:00.000,10:46:33.000,Ascot Park,NZ,3,259604697,R3 630m C2/3,259604698,Greyhounds,630,C2/3,83709439,2,Wingatui Wizard,LOSER,7.44,WINNER,,450.68,7.4,4.6,7,6.64,559.37,,,,,,,1.79,1.55,1.79,1.61,132.34,7.2,7.2,0.96,1.05
