LOCAL_MEETING_DATE,SCHEDULED_RACE_TIME,ACTUAL_OFF_TIME,TRACK,STATE_CODE,RACE_NO,WIN_MARKET_ID,WIN_MARKET_NAME,PLACE_MARKET_ID,RACING_TYPE,DISTANCE,RACE_TYPE,SELECTION_ID,TAB_NUMBER,SELECTION_NAME,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,WIN_BSP_VOLUME,WIN_PREPLAY_MAX_PRICE_TAKEN,WIN_PREPLAY_MIN_PRICE_TAKEN,WIN_PREPLAY_LAST_PRICE_TAKEN,WIN_PREPLAY_WEIGHTED_AVERAGE_PRICE_TAKEN,WIN_PREPLAY_VOLUME,WIN_INPLAY_MAX_PRICE_TAKEN,WIN_INPLAY_MIN_PRICE_TAKEN,WIN_LAST_PRICE_TAKEN,WIN_INPLAY_WEIGHTED_AVERAGE_PRICE_TAKEN,WIN_INPLAY_VOLUME,PLACE_BSP_VOLUME,PLACE_MAX_PRICE_TAKEN,PLACE_MIN_PRICE_TAKEN,PLACE_LAST_PRICE_TAKEN,PLACE_WEIGHTED_AVERAGE_PRICE_TAKEN,PLACE_PREPLAY_VOLUME,BEST_AVAIL_BACK_AT_SCHEDULED_OFF,BEST_AVAIL_LAY_AT_SCHEDULED_OFF,BACK_MARKET_PERCENTAGE_AT_SCHEDULED_OFF,LAY_MARKET_PERCENTAGE_AT_SCHEDULED_OFF
1/07/2025,1:12:00 PM,1:12:38 PM,Albion Park,QLD,1,245231537,R1 1660m Pace M,245231538,Harness,1660,Pace,85293890,1,Goodtime Dolly,LOSER,60,LOSER,4.14,101.27,65,1.02,26,42.87,208.98,740,11.5,270,61.11,26.69,59.9,5.2,3,3.25,3.91,1294.12,48,55,1.02,0.97
1/07/2025,1:12:00 PM,1:12:38 PM,Albion Park,QLD,1,245231537,R1 1660m Pace M,245231538,Harness,1660,Pace,85293891,2,Tarantula Tom,LOSER,23,LOSER,2.95,181.07,24,14,21,18.56,453.11,740,11.5,390,24.35,15.19,188.95,4.6,2.86,3.1,3.11,464.52,21,22,1.02,0.97
1/07/2025,1:12:00 PM,1:12:38 PM,Albion Park,QLD,1,245231537,R1 1660m Pace M,245231538,Harness,1660,Pace,85293892,3,Kiki Meister,LOSER,5.32,WINNER,1.52,319.36,7.6,4,4.6,4.85,1399.89,740,4.8,740,8.36,144.85,32.55,1.62,1.47,1.54,1.51,224.9,4.7,4.9,1.02,0.97
1/07/2025,1:12:00 PM,1:12:38 PM,Albion Park,QLD,1,245231537,R1 1660m Pace M,245231538,Harness,1660,Pace,84116769,4,My Ultimate Zander,WINNER,1.66,WINNER,1.14,2977.87,2.1,1.64,1.68,1.74,8193.4,1.88,1.01,1.01,1.39,3597.97,70.97,1.22,1.12,1.14,1.16,927.57,1.72,1.75,1.02,0.97
1/07/2025,1:12:00 PM,1:12:38 PM,Albion Park,QLD,1,245231537,R1 1660m Pace M,245231538,Harness,1660,Pace,85293893,5,Lucky Luda,LOSER,11.31,WINNER,2,345,13.5,6,11.5,8.99,1157.18,780,10,390,67.75,5.92,129.74,2.08,1.66,2.06,1.91,463.98,9,10.5,1.02,0.97
1/07/2025,1:12:00 PM,1:12:38 PM,Albion Park,QLD,1,245231537,R1 1660m Pace M,245231538,Harness,1660,Pace,84738612,6,Nitrator,LOSER,75.78,LOSER,7.8,225.97,80,38,65,65.81,25.47,740,120,740,248.53,0.83,15.54,8.2,6.2,8.2,7.16,53.5,65,80,1.02,0.97
1/07/2025,1:12:00 PM,1:12:38 PM,Albion Park,QLD,1,245231537,R1 1660m Pace M,245231538,Harness,1660,Pace,85030494,7,Aunty Cody,LOSER,45.68,LOSER,5.9,247.56,75,1.01,50,50.52,45.59,740,11.5,740,55.78,39.05,36.92,6.6,3.55,6.2,4.77,316.95,50,60,1.02,0.97
1/07/2025,1:12:00 PM,1:12:38 PM,Albion Park,QLD,1,245231537,R1 1660m Pace M,245231538,Harness,1660,Pace,84912836,8,Night Needs,LOSER,120,LOSER,11.5,107.04,160,90,120,128.26,52.46,740,15.5,390,226.05,0.66,7.14,16.5,9.8,12,11.16,17.33,120,140,1.02,0.97
1/07/2025,1:47:00 PM,1:47:43 PM,Albion Park,QLD,2,245231539,R2 2138m Trot S,245231540,Harness,2138,Trot,78292793,1,Arizona Skye,LOSER,70,LOSER,9.24,90.26,85,36,85,59.24,39.71,740,270,740,398.4,0.2,9.89,10.5,6.8,8.4,8.64,173.78,55,65,1.03,0.98
1/07/2025,1:47:00 PM,1:47:43 PM,Albion Park,QLD,2,245231539,R2 2138m Trot S,245231540,Harness,2138,Trot,23243920,2,Natty Pagger,WINNER,3.05,WINNER,1.35,1474.33,3.35,2.72,2.96,2.96,3315.92,5.4,1.01,1.01,1.52,2293.64,85.03,1.43,1.26,1.35,1.37,713.91,2.82,2.88,1.03,0.98
