EVENT_DATE,PATH,EVENT_ID,MARKET_TYPE,MARKET_ID,MARKET_NAME,SELECTION_ID,RUNNER_NAME,RUNNER_STATUS,IS_WINNER,HOME_TEAM,AWAY_TEAM,BEST_BACK_FIRST_BALL,BEST_LAY_FIRST_BALL,MATCHED_VOLUME_FIRST_BALL,BEST_BACK_FIRST_INN_FOUR_OV,BEST_LAY_FIRST_INN_FOUR_OV,MATCHED_VOLUME_FIRST_INN_FOUR_OV,BEST_BACK_FIRST_INN_SIX_OV,BEST_LAY_FIRST_INN_SIX_OV,MATCHED_VOLUME_FIRST_INN_SIX_OV,BEST_BACK_FIRST_INN_TEN_OV,BEST_LAY_FIRST_INN_TEN_OV,MATCHED_VOLUME_FIRST_INN_TEN_OV,BEST_BACK_FIRST_INN_FIFTEEN_OV,BEST_LAY_FIRST_INN_FIFTEEN_OV,MATCHED_VOLUME_FIRST_INN_FIFTEEN_OV,BEST_BACK_FIRST_INN_CONCLUSION,BEST_LAY_FIRST_INN_CONCLUSION,MATCHED_VOLUME_FIRST_INN_CONCLUSION,BEST_BACK_SECOND_INN_FOUR_OV,BEST_LAY_SECOND_INN_FOUR_OV,MATCHED_VOLUME_SECOND_INN_FOUR_OV,BEST_BACK_SECOND_INN_SIX_OV,BEST_LAY_SECOND_INN_SIX_OV,MATCHED_VOLUME_SECOND_INN_SIX_OV,BEST_BACK_SECOND_INN_TEN_OV,BEST_LAY_SECOND_INN_TEN_OV,MATCHED_VOLUME_SECOND_INN_TEN_OV,BEST_BACK_SECOND_INN_FIFTEEN_OV,BEST_LAY_SECOND_INN_FIFTEEN_OV,MATCHED_VOLUME_SECOND_INN_FIFTEEN_OV,TOTAL_MATCHED_VOLUME
2024-12-15 00:00:00.000 Z, Twenty20 Big Bash/Perth Scorchers v Melbourne Stars,33844084,MATCH_ODDS,236890398,Match Odds,5728187,Melbourne Stars,LOSER,0,Perth Scorchers,Melbourne Stars,2.62,2.64,90159.33,4.8,4.7,319161.28,3.65,3.55,518373.15,3.45,3.2,835669.42,4.8,4.5,1298653.4,3.75,2,1576895.45,3.6,3.4,2181336.39,4.1,3.75,2267350.03,5,5,2368871.92,220,180,2506086.95,2506761.35
2024-12-15 00:00:00.000 Z, Twenty20 Big Bash/Perth Scorchers v Melbourne Stars,33844084,MATCH_ODDS,236890398,Match Odds,5728188,Perth Scorchers,WINNER,1,Perth Scorchers,Melbourne Stars,1.6,1.61,1189950.54,1.28,1.26,6212601.91,1.4,1.38,8831242.43,1.43,1.4,12462074.8,1.31,1.27,17235883.14,1.37,1.36,22678808.21,1.44,1.38,31407423.27,1.36,1.34,33290415.18,1.27,1.24,36842032.51,1.01,1.01,46651521.85,46654109.61
2024-12-16 00:00:00.000 Z, Twenty20 Big Bash/Sydney Sixers v Melbourne Renegades,33844088,MATCH_ODDS,236890568,Match Odds,5728189,Melbourne Renegades,LOSER,0,Sydney Sixers,Melbourne Renegades,2.14,2.16,143469.22,1.76,1.72,2846022.7,1.68,1.59,6235278.09,1.76,1.74,8712370.02,1.82,1.76,11583934.31,1.84,1.76,16969480.2,3.45,3,20556147.75,3.25,3.05,20680908.88,3.9,3.5,21026088.79,3.9,3.55,22186290.93,22312540.87
2024-12-16 00:00:00.000 Z, Twenty20 Big Bash/Sydney Sixers v Melbourne Renegades,33844088,MATCH_ODDS,236890568,Match Odds,5728225,Sydney Sixers,WINNER,1,Sydney Sixers,Melbourne Renegades,1.87,1.88,900002.49,2.34,2.34,2716286.2,2.66,2.48,3041358.02,2.32,2.3,3473107.8,2.28,2.24,8060446.01,2.32,2.28,8908628.29,1.58,1.41,15148124.54,1.45,1.42,17200783.09,1.38,1.33,25167472.61,1.41,1.27,35798954.17,42965542.67
2024-12-17 00:00:00.000 Z, Twenty20 Big Bash/Sydney Thunder v Adelaide Strikers,33844090,MATCH_ODDS,236890738,Match Odds,5728253,Adelaide Strikers,LOSER,0,Sydney Thunder,Adelaide Strikers,2.32,2.32,266944.62,2.1,2.08,1159661.87,2.52,2.48,1862305.91,2.18,2.12,2101922.58,1.88,1.65,4256888.46,1.64,1.61,8951410.11,3.35,3.05,14486964.91,2.14,2.08,14868821.64,3.1,3,15257334.02,1.65,1.56,16742611.26,31219948.41
2024-12-17 00:00:00.000 Z, Twenty20 Big Bash/Sydney Thunder v Adelaide Strikers,33844090,MATCH_ODDS,236890738,Match Odds,5728190,Sydney Thunder,WINNER,1,Sydney Thunder,Adelaide Strikers,1.74,1.75,1221932.04,1.95,1.86,7853326.12,1.68,1.62,9718467.65,1.9,1.7,11537161.04,2.22,2.14,15074837.97,2.6,2.56,15851532.1,1.49,1.32,20239251.85,1.94,1.84,25216221.33,1.51,1.46,27421076.62,2.72,2.12,31750789.05,38201402.13
2024-12-18 00:00:00.000 Z, Twenty20 Big Bash/Melbourne Stars v Brisbane Heat,33870296,MATCH_ODDS,237252156,Match Odds,5728194,Brisbane Heat,WINNER,1,Melbourne Stars,Brisbane Heat,2.34,2.36,282493.63,2.68,2.66,874492.52,2.92,2.84,1193752.79,2.76,2.72,1511501.02,2.84,2.68,2092082.07,2.54,2.52,2521156.28,2.02,1.95,4581544.1,1.69,1.56,6679747.88,1.29,1.26,14503192.99,1.11,1.07,24430074.78,31712239.06
2024-12-18 00:00:00.000 Z, Twenty20 Big Bash/Melbourne Stars v Brisbane Heat,33870296,MATCH_ODDS,237252156,Match Odds,5728187,Melbourne Stars,LOSER,0,Melbourne Stars,Brisbane Heat,1.74,1.75,1278357.96,1.64,1.59,5741007.5,1.54,1.47,8762010.27,1.58,1.57,11383882.25,1.61,1.52,16139925.45,1.65,1.64,20258622.8,2,1.96,27080778.38,2.64,2.52,28305012,4.7,4.5,28820937.13,13.5,12,29103064.97,29178663.89
2024-12-19 00:00:00.000 Z, Twenty20 Big Bash/Melbourne Renegades v Hobart Hurricanes,33872003,MATCH_ODDS,237273095,Match Odds,5728193,Hobart Hurricanes,LOSER,0,Melbourne Renegades,Hobart Hurricanes,2.14,2.16,292301.84,17,13.5,1260149.36,14,13.5,1271812.72,75,65,1305017.71,100,80,1317905.03,100,110,1317909.26,1000,,1329523.78,1000,,1329533.05,,,1329560.35,,,1329560.35,1329560.35
2024-12-19 00:00:00.000 Z, Twenty20 Big Bash/Melbourne Renegades v Hobart Hurricanes,33872003,MATCH_ODDS,237273095,Match Odds,5728189,Melbourne Renegades,WINNER,1,Melbourne Renegades,Hobart Hurricanes,1.86,1.87,959397.26,1.09,1.06,9745258.41,1.1,1.07,13581502.34,1.02,1.02,16513275.71,1.02,1.01,18158457.25,1.02,1.02,18158475.6,,1.01,19021375.88,,1.01,19021597.57,,,19026963.39,,,19026963.39,19026963.39
