Date,Track,Race Name,Race,Market,Selection_ID,TAB_Number,Runner_Name,RP,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,Value
1/01/2024,Echuca,R1 2160m Pace M,1,223041443,13414328,6,DALLAS NIKOLAY,15.74,0,7.8,1,2.62,-0.064672727
1/01/2024,Echuca,R1 2160m Pace M,1,223041443,15671908,2,SPRINGFIELD SHADOW,13.65,0,139.66,0,26,0.066099827
1/01/2024,Echuca,R1 2160m Pace M,1,223041443,26101425,3,BLUE OCEAN,11.4,1,8.98,1,2.86,-0.023639276
1/01/2024,Echuca,R1 2160m Pace M,1,223041443,39387704,1,NOBLE JULIA,6.01,0,9.87,0,2.76,0.065072228
1/01/2024,Echuca,R1 2160m Pace M,1,223041443,40127039,4,STORMBOY STAR,5.77,0,5.18,0,1.99,-0.019739968
1/01/2024,Echuca,R1 2160m Pace M,1,223041443,40950003,9,FOUR STARZZZ RUBY,16.36,0,10.5,0,3.2,-0.034113401
1/01/2024,Echuca,R1 2160m Pace M,1,223041443,49040310,7,SPORTY PHILTRA,7.65,0,8.56,0,2.46,0.013896524
1/01/2024,Echuca,R1 2160m Pace M,1,223041443,51637270,5,SWEET FACE,18.38,0,190,0,19.43,0.049143806
1/01/2024,Echuca,R1 2160m Pace M,1,223041443,54404924,11,ALLTHEWAYTOROYALTY,16.86,0,142.22,1,21,0.052280621
1/01/2024,Echuca,R1 2160m Pace M,1,223041443,62809483,10,CRAZY ON THE BEACH,7.67,0,4.97,0,1.79,-0.070829147
1/01/2024,Echuca,R2 1755m Pace M,2,223041445,8445813,11,BANDIT EYES,8.02,0,10.84,0,3.33,0.032437357
1/01/2024,Echuca,R2 1755m Pace M,2,223041445,22212012,6,CHEEKI PHILTRA,6.06,0,12.5,0,3.58,0.085016502
1/01/2024,Echuca,R2 1755m Pace M,2,223041445,25768345,7,PETE MITCHELL,7.27,0,7,0,2.38,-0.005305561
1/01/2024,Echuca,R2 1755m Pace M,2,223041445,27870655,3,JONG ANG,18.71,0,16.5,1,4.36,-0.007158706
1/01/2024,Echuca,R2 1755m Pace M,2,223041445,36386784,1,OUR ARABELLA,32.93,0,140.13,0,17,0.023231215
1/01/2024,Echuca,R2 1755m Pace M,2,223041445,41653962,10,TINO TERE MAORI,8.85,1,4.9,1,1.9,-0.091087282
1/01/2024,Echuca,R2 1755m Pace M,2,223041445,42036213,2,VERY TEMPTING,21.4,0,38,0,8.8,0.020413182
1/01/2024,Echuca,R2 1755m Pace M,2,223041445,45529974,5,LILLI BET,5.8,0,5.25,0,2.02,-0.018062397
1/01/2024,Echuca,R2 1755m Pace M,2,223041445,57811241,4,PAIGETHEHURRIKANE,29.32,0,320,0,34,0.030981412
1/01/2024,Echuca,R2 1755m Pace M,2,223041445,60152579,9,HY FILANTE,8.16,0,5,1,2.12,-0.07745098
1/01/2024,Echuca,R3 2160m Trot S,3,223041447,18697048,2,STARLIGHT RED,5.72,0,7.35,0,2.54,0.038770753
1/01/2024,Echuca,R3 2160m Trot S,3,223041447,22638191,7,ERO CARPE DIEM,23.84,1,49.05,1,8.4,0.021558949
1/01/2024,Echuca,R3 2160m Trot S,3,223041447,28211224,3,BELLMAC BAMBI,7.47,0,10.71,1,2.79,0.040498127
1/01/2024,Echuca,R3 2160m Trot S,3,223041447,40583781,12,HERE COMES KYVALLEY,14.91,0,11.29,0,3.1,-0.021504878
1/01/2024,Echuca,R3 2160m Trot S,3,223041447,42145983,4,MIDNIGHT AVENGER,19.49,0,64.28,0,11.5,0.035751425
1/01/2024,Echuca,R3 2160m Trot S,3,223041447,42217897,8,MEGHAN,16.02,0,22.87,0,4.9,0.018696568
1/01/2024,Echuca,R3 2160m Trot S,3,223041447,43747057,1,MONTANA MUSCLE,11.66,0,156.27,0,13,0.079364112
1/01/2024,Echuca,R3 2160m Trot S,3,223041447,45760340,10,CROOKWELL EYES,5.52,0,3.41,1,1.61,-0.112095712
1/01/2024,Echuca,R3 2160m Trot S,3,223041447,59084088,6,SPANOMARLI,11.07,0,85,0,11.5,0.078569531
1/01/2024,Echuca,R3 2160m Trot S,3,223041447,59148748,9,MAJESTIC GA GA,18.61,0,62.1,0,13.5,0.037631492
1/01/2024,Echuca,R3 2160m Trot S,3,223041447,61115202,11,KYVALLEY HEIST,17.38,0,3.18,0,1.55,-0.256928009
1/01/2024,Echuca,R4 1755m Pace M,4,223041449,6771505,4,BUS STOP,48.63,0,687.33,0,100,0.019108533
1/01/2024,Echuca,R4 1755m Pace M,4,223041449,28658289,11,PAYUP ORLEAVE,13.92,1,3.6,1,1.62,-0.205938697
1/01/2024,Echuca,R4 1755m Pace M,4,223041449,41642859,6,TWILIGHT BEACH,11.53,0,17.98,1,3.7,0.031112916
1/01/2024,Echuca,R4 1755m Pace M,4,223041449,41729304,2,MYNAMEISRUBY,4.6,0,18.55,0,4.5,0.163482949
1/01/2024,Echuca,R4 1755m Pace M,4,223041449,42997978,3,ALCATRAZ GIRL,6.42,0,5.58,1,2.13,-0.02344823
1/01/2024,Echuca,R4 1755m Pace M,4,223041449,43800303,1,OUR SENORITA,19.85,0,266.51,0,28.16,0.046625629
1/01/2024,Echuca,R4 1755m Pace M,4,223041449,45368176,7,ROLLING REMONA,11.41,0,30.63,0,4.4,0.054994688
1/01/2024,Echuca,R4 1755m Pace M,4,223041449,51032877,10,EASTBRO DAISY,8.08,0,4.4,0,1.86,-0.103510351
1/01/2024,Echuca,R4 1755m Pace M,4,223041449,52937857,5,ROCKNROLL LADY,6.8,0,13.95,0,3.35,0.075374236
1/01/2024,Echuca,R4 1755m Pace M,4,223041449,60038640,8,ELYSIAN PALACE,25.82,0,11.69,0,3.49,-0.046813532
1/01/2024,Echuca,R5 2530m Trot S,5,223041451,1143222,9,BAXTER,31.63,0,75,0,12.5,0.018282222
1/01/2024,Echuca,R5 2530m Trot S,5,223041451,3366134,3,DOUBLE HELIX,15.47,1,4.22,1,2.35,-0.172325584
1/01/2024,Echuca,R5 2530m Trot S,5,223041451,12604129,5,SANGREAL,14.18,0,33.6,1,6.2,0.040759957
1/01/2024,Echuca,R5 2530m Trot S,5,223041451,40761321,1,HADTOBEHARRY,14.75,0,8.8,0,2.66,-0.045839753
1/01/2024,Echuca,R5 2530m Trot S,5,223041451,41375577,2,WISH UPONA DREAM,9.85,0,16.28,0,3.66,0.040097781
1/01/2024,Echuca,R5 2530m Trot S,5,223041451,42099000,7,BITTA IRISH LUCK,29.59,0,9.25,0,3.4,-0.074312907
1/01/2024,Echuca,R5 2530m Trot S,5,223041451,42916342,4,BERRIESANDCHERRIES,17.83,0,6.78,1,2.35,-0.091407376
