DATE,VENUE,tipster,market_id,selection_id,bet_type,bet_text,best_bet,SELECTION_NAME,WIN_LOSE,BSP,Tipster_Profit,Back_Profit,Lay_Profit
1/04/2023,Randwick,Dean Evans,211994415,47441528,Back,Back WIN #2 Mr Brightsi,1,Mr Brightside,1,6.01617332,5.01617332,5.01617332,-1
1/04/2023,Randwick,Dean Evans,211994415,54109305,Back,Back WIN #16 Zougotcha,1,Zougotcha,0,8.5628688,-1,-1,0.132224957
1/04/2023,Randwick,Dean Evans,211994415,54109306,Back,Back WIN #17 Protagonis,1,Protagonist,0,12.87538221,-1,-1,0.084207816
1/04/2023,Randwick,Dean Evans,211994415,54109310,Back,Back WIN #21 Osipenko,1,Osipenko,0,16.11057079,-1,-1,0.066178837
1/04/2023,Randwick,Dean Evans,211994415,587739,Back,Back WIN #7 Converge,1,Converge,0,18.63020884,-1,-1,0.056720826
1/04/2023,Randwick,Dean Evans,211994415,54109309,Back,Back WIN #20 Lindermann,1,Lindermann,0,40.87304695,-1,-1,0.025079598
1/04/2023,Randwick,Tom Haylock,211994415,54109302,Back,Back WIN #8 DUKE DE SESSA,2,Duke De Sessa,0,11.17071086,-1,-1,0.098321544
1/04/2023,Randwick,Tom Haylock,211994415,54109306,Back,Back WIN #11 PROTAGONIST,1,Protagonist,0,12.87538221,-1,-1,0.084207816
1/04/2023,Randwick,Dean Evans,211994419,3141900,Back,Back WIN #15 In Secret,1,In Secret,0,6.43736025,-1,-1,0.183912773
1/04/2023,Randwick,Dean Evans,211994419,27592644,Back,Back WIN #3 Private Eye,1,Private Eye,0,6.89085958,-1,-1,0.169754513
1/04/2023,Randwick,Dean Evans,211994419,54109314,Back,Back WIN #6 I Wish I Wi,1,I Wish I Win,1,12.80197803,11.80197803,11.80197803,-1
1/04/2023,Randwick,Tom Haylock,211994419,16023440,Back,Back #1 NATURE STRIP,1,Nature Strip,0,5.5,-1,-1,0.222222222
1/04/2023,Randwick,Tom Haylock,211994419,3141900,Back,Back #15 IN SECRET,1,In Secret,0,6.43736025,-1,-1,0.183912773
1/04/2023,Randwick,Tom Haylock,211994419,54109315,Back,Back WIN #10 GIGA KICK,1,Giga Kick,0,7.2,-1,-1,0.161290323
1/04/2023,Randwick,Tom Haylock,211994419,54109317,Back,Back #13 PASSIVE AGRESS,1,Passive Aggressive,0,17,-1,-1,0.0625
1/04/2023,Randwick,Dean Evans,211994423,48261737,Back,Back WIN #1 Sharp N Sma,1,Sharp N Smart,0,3.85900929,-1,-1,0.349771511
1/04/2023,Randwick,Dean Evans,211994423,8241199,Back,Back WIN #9 Mark Twain,1,Mark Twain,0,10.19630755,-1,-1,0.108739295
1/04/2023,Randwick,Dean Evans,211994423,54109321,Back,Back WIN #12 Virtuous C,1,Virtuous Circle,0,18.71626106,-1,-1,0.056445319
1/04/2023,Randwick,Dean Evans,211994423,50141819,Back,Back WIN #7 Full Of Sin,1,Full Of Sincerity,0,26.60562041,-1,-1,0.039053926
1/04/2023,Randwick,Dean Evans,211994423,47727232,Back,Back WIN #6 Andalus,1,Andalus,0,31.91262891,-1,-1,0.032349238
1/04/2023,Randwick,Dean Evans,211994423,54109322,Back,Back WIN #13 Major Beel,1,Major Beel,1,53.63473583,52.63473583,52.63473583,-1
1/04/2023,Randwick,Linton Chataway,211994423,816533,Lay,Lay WIN #4 Pericles,2,Pericles,0,4.65434382,0.273646939,-1,0.273646939
1/04/2023,Randwick,Tom Haylock,211994423,48261737,Back,Back #1 SHARP N SMART,1,Sharp N Smart,0,3.85900929,-1,-1,0.349771511
1/04/2023,Randwick,Tom Haylock,211994423,816533,Lay,Lay WIN #4 PERICLES,1,Pericles,0,4.65434382,0.273646939,-1,0.273646939
1/04/2023,Randwick,Tom Haylock,211994423,54109321,Back,Back #12 VIRTUOUS CIRCL,1,Virtuous Circle,0,18.71626106,-1,-1,0.056445319
