DATE,VENUE,tipster,market_id,selection_id,bet_type,bet_text,best_bet,SELECTION_NAME,WIN_LOSE,BSP,Tipster_Profit,Back_Profit,Lay_Profit
1/05/2023,Ballarat,Michael Tye,213606292,55373836,Back,Back WIN #8 SJ,1,Shima Johnny,1,1.68,0.68,0.68,-1
1/05/2023,Ballarat,Michael Tye,213606312,49978593,Back,Back WIN #1 NMI,2,No More Issues,1,1.87,0.87,0.87,-1
1/05/2023,Swan Hill,Darren And Brett Carroll,213556033,45759606,Back,Back WIN #7 CR,2,Country Rockstar,0,2.1,-1,-1,0.909090909
1/05/2023,Swan Hill,Darren And Brett Carroll,213556029,41911128,Back,Back WIN #11 KA,1,Keayang Alex,0,2.61670155,-1,-1,0.618543355
1/05/2023,Bairnsdale,Glenn Ingram,213514755,38407814,Back,Back WIN #3 Red Stilett,1,Red Stiletto,0,2.9,-1,-1,0.526315789
1/05/2023,Swan Hill,Darren And Brett Carroll,213556035,19006455,Back,Back WIN #5 OMH,1,One Muscle Hill,0,3.57067122,-1,-1,0.38900346
1/05/2023,Ballarat,Michael Tye,213606342,52810494,Back,Back WIN #1 Thing One,1,Thing One,0,4,-1,-1,0.333333333
1/05/2023,Ballarat,Michael Tye,213606297,41120260,Back,Back WIN #6 HCR,1,High Card Riot,1,4.06721997,3.06721997,3.06721997,-1
1/05/2023,Ballarat,Michael Tye,213606322,39499444,Back,Back WIN #3 FY,1,Fabriola Yanis,0,6.62632651,-1,-1,0.177735863
1/05/2023,Ballarat,Michael Tye,213606302,40346886,Back,Back WIN #8 TP,1,Trending Power,0,20.52705009,-1,-1,0.051211012
1/05/2023,Swan Hill,Darren And Brett Carroll,213556039,48673141,Lay,Lay WIN #1 HHW,2,Hez Harrywho,0,36.32796136,0.02830619,-1,0.02830619
1/05/2023,Ballarat,Michael Tye,213606317,50062666,Lay,Lay WIN #7 CK,2,Cindys Kyle,0,4.1,0.322580645,-1,0.322580645
2/05/2023,Globe Derby,Mark Lawrence,213618501,55257319,Back,Back WIN #3 Maluka Miss,1,Maluka Miss,1,1.37368146,0.37368146,0.37368146,-1
2/05/2023,Albion Park,Ryan Spice,213598871,55257617,Back,Back WIN #4 Dele Row,2,Dele Row,1,1.45196256,0.45196256,0.45196256,-1
2/05/2023,Albion Park,Ryan Spice,213598869,55257613,Back,Back WIN #6 Ollie Ollie,1,Ollie Ollie,1,1.9,0.9,0.9,-1
2/05/2023,Warrnambool,Glenn Ingram,213600891,55287073,Back,Back WIN #6 Hooah Havan,1,Hooah Havana,0,2.36271356,-1,-1,0.733829933
2/05/2023,Warrnambool,Jackson Oldham,213600891,55287073,Back,Back WIN #6 Hooah Havan,2,Hooah Havana,0,2.36271356,-1,-1,0.733829933
2/05/2023,Globe Derby,Mark Lawrence,213618495,28339104,Back,Back WIN #7 Thiswaytothebeach,2,Thiswaytothebeach,1,2.51583788,1.51583788,1.51583788,-1
2/05/2023,Shepparton,Darren And Brett Carroll,213598901,54739286,Back,Back WIN #9 Alfresco,1,Alfresco,1,2.66835983,1.66835983,1.66835983,-1
2/05/2023,Globe Derby,Mark Lawrence,213618493,2019002,Back,Back WIN #1 Absolution,1,Absolution,1,3.23560681,2.23560681,2.23560681,-1
