Date,Code,State,Venue,Tipster,Market_Id,Selection_Id,Bet_Type,Best_Bet,Bet_Text,Selection_Name,Win_Lose,Bsp,Tipster_Profit,Back_Profit,Lay_Profit
1/07/2023,Thoroughbred,VIC,Flemington,Bella Anderson,215595529,57626014,back,FALSE,Back 2. Mafia,Mafia,0,4.31,-1.00,-1.00,0.30
1/07/2023,Thoroughbred,VIC,Flemington,Bella Anderson,215595538,42491788,back,FALSE,Back 8. Dazzling Lucy,Dazzling Lucy,0,6.28,-1.00,-1.00,0.19
1/07/2023,Thoroughbred,VIC,Flemington,Bella Anderson,215595583,38534869,back,FALSE,Back 2. Zethus,Zethus,0,11.00,-1.00,-1.00,0.10
1/07/2023,Thoroughbred,VIC,Flemington,Bella Anderson,215595547,57626024,lay,FALSE,Lay 4. Acierto,Acierto,0,5.64,0.22,-1.00,0.22
1/07/2023,Thoroughbred,VIC,Flemington,Bella Anderson,215595529,57626013,lay,FALSE,Lay 1. Extreme Spirit,Extreme Spirit,0,4.10,0.32,-1.00,0.32
1/07/2023,Thoroughbred,VIC,Flemington,Bella Anderson,215595538,57626019,lay,FALSE,Lay 2. Pacific Ruby,Pacific Ruby,0,3.10,0.48,-1.00,0.48
1/07/2023,Thoroughbred,VIC,Flemington,Bella Anderson,215595547,57626026,back,FALSE,Back 6. Dolphin Skin,Dolphin Skin,1,10.11,9.11,9.11,-1.00
1/07/2023,Thoroughbred,VIC,Flemington,Jackson Oldham,215595601,57626050,back,FALSE,Back 4. Brung King,Brung King,0,4.40,-1.00,-1.00,0.29
1/07/2023,Thoroughbred,VIC,Flemington,Jackson Oldham,215595601,57626053,back,FALSE,Back 12. Hellfire,Hellfire,0,13.40,-1.00,-1.00,0.08
1/07/2023,Thoroughbred,VIC,Flemington,Jackson Oldham,215595592,57626044,lay,TRUE,Lay 3. Charterhouse,Charterhouse,0,5.26,0.23,-1.00,0.23
1/07/2023,Greyhounds,WA,Cannington,Jaycin Campbell,215643495,42425098,back,TRUE,Back 1. Cawbourne Roses,Cawbourne Roses,0,2.37,-1.00,-1.00,0.73
1/07/2023,Greyhounds,WA,Cannington,Jaycin Campbell,215643515,50508062,lay,TRUE,Lay 1. Carlecatup,Carlecatup,0,2.85,0.54,-1.00,0.54
1/07/2023,Greyhounds,WA,Cannington,Jaycin Campbell,215643520,54738562,back,FALSE,Back 4. West On Blossom,West On Blossom,1,2.12,1.12,1.12,-1.00
1/07/2023,Thoroughbred,SA,Murray Bridge,Lachlan Mosley,215594697,41749349,back,FALSE,Back 3. So Say Angel,So Say Angel,0,6.21,-1.00,-1.00,0.19
1/07/2023,Thoroughbred,SA,Murray Bridge,Lachlan Mosley,215594709,57625481,back,FALSE,Back 7. The Magistrate,The Magistrate,0,4.20,-1.00,-1.00,0.31
1/07/2023,Thoroughbred,SA,Murray Bridge,Lachlan Mosley,215594721,48260703,back,FALSE,Back 3. Maracourt,Maracourt,0,4.66,-1.00,-1.00,0.27
1/07/2023,Thoroughbred,SA,Murray Bridge,Lachlan Mosley,215594721,40022360,back,FALSE,Back 13. Malinong Club,Malinong Club,0,23.97,-1.00,-1.00,0.04
1/07/2023,Thoroughbred,SA,Murray Bridge,Lachlan Mosley,215594727,44562779,back,FALSE,Back 7. Hope At Hand,Hope At Hand,0,5.51,-1.00,-1.00,0.22
1/07/2023,Thoroughbred,SA,Murray Bridge,Lachlan Mosley,215594733,42879260,back,FALSE,Back 2. Important Produc,Important Product,0,6.70,-1.00,-1.00,0.18
1/07/2023,Thoroughbred,SA,Murray Bridge,Lachlan Mosley,215594733,2004150,lay,FALSE,Lay 1. Annihilate,Annihilate,0,8.34,0.14,-1.00,0.14
1/07/2023,Thoroughbred,SA,Murray Bridge,Lachlan Mosley,215594685,49297055,back,TRUE,Back 4. Dubenenko,Dubenenko,1,2.26,1.26,1.26,-1.00
1/07/2023,Thoroughbred,SA,Murray Bridge,Lachlan Mosley,215594703,46889732,back,FALSE,Back 6. Turf Decision,Turf Decision,1,4.60,3.60,3.60,-1.00
1/07/2023,Thoroughbred,SA,Murray Bridge,Lachlan Mosley,215594727,3008987,back,FALSE,Back 2. Validated,Validated,1,12.74,11.74,11.74,-1.00
