Date,Code,State,Venue,Tipster,Market_Id,Selection_Id,Bet_Type,Best_Bet,Bet_Text,Selection_Name,Win_Lose,Bsp,Tipster_Profit,Back_Profit,Lay_Profit
1/09/2023,Greyhounds,VIC,Geelong,Michael Tye,217778336,59995474,back,FALSE,Back 1. Instinctively,Instinctively,1,1.51,0.51,0.51,-1.00
1/09/2023,Greyhounds,VIC,Geelong,Michael Tye,217778356,55373814,back,FALSE,Back 7. Minty Box,Minty Box,1,1.86,0.86,0.86,-1.00
1/09/2023,Greyhounds,VIC,Geelong,Michael Tye,217778351,59812579,lay,TRUE,Lay 8. Bernardo Beast,Bernardo Beast,0,1.91,1.10,-1.00,1.10
1/09/2023,Greyhounds,VIC,Geelong,Michael Tye,217778376,59995499,back,FALSE,Back 1. Power Out,Power Out,1,1.92,0.92,0.92,-1.00
1/09/2023,Greyhounds,VIC,Geelong,Michael Tye,217778346,57339437,back,FALSE,Back 6. Casemiro Magic,Casemiro Magic,1,2.88,1.88,1.88,-1.00
1/09/2023,Greyhounds,VIC,Geelong,Michael Tye,217778366,46447716,back,TRUE,Back 1. Max Power,Max Power,0,3.17,-1.00,-1.00,0.46
1/09/2023,Greyhounds,VIC,Geelong,Michael Tye,217778381,56905883,lay,FALSE,Lay 6. Renegade Cochis,Renegade Cochise,0,4.48,0.29,-1.00,0.29
1/09/2023,Harness,WA,Gloucester Park,Scott Hill,217741240,52720693,lay,TRUE,Lay 9. Water Lou,Water Lou,0,1.49,2.03,-1.00,2.03
1/09/2023,Harness,WA,Gloucester Park,Scott Hill,217741231,9553766,back,TRUE,Back 2. Cordero,Cordero,1,2.59,1.59,1.59,-1.00
1/09/2023,Harness,WA,Gloucester Park,Scott Hill,217741240,59925800,back,FALSE,Back 3. Copy Cat Queen,Copy Cat Queen,0,4.25,-1.00,-1.00,0.31
1/09/2023,Harness,WA,Gloucester Park,Scott Hill,217741219,13094327,back,FALSE,Back 6. Beyond the Sea,Beyond The Sea,0,5.79,-1.00,-1.00,0.21
