DATE,VENUE,tipster,market_id,selection_id,bet_type,bet_text,SELECTION_NAME,WIN_LOSE,BSP,Tipster_Profit,Back_Profit,Lay_Profit,
1/10/2023,Launceston,Jamie Cockshutt,218979676,61031898,Back,Back 5. Hunt A Rainbow,Hunt A Rainbow,0,2.78,-1.00,-1.00,0.56,
1/10/2023,Launceston,Jamie Cockshutt,218979678,40674692,Back,Back 3. Helansin,Helansin,0,2.46,-1.00,-1.00,0.68,
1/10/2023,Launceston,Jamie Cockshutt,218979680,61031900,Back,Back 9. Art Huntsman,Art Huntsman,0,3.40,-1.00,-1.00,0.42,
1/10/2023,Launceston,Jamie Cockshutt,218979682,41911450,Back,Back 3. Looby Lombo,Looby Lombo,0,5.83,-1.00,-1.00,0.21,
1/10/2023,Launceston,Jamie Cockshutt,218979684,41296231,Back,Back 7. Jimmy The Irishm,Jimmy The Irishman,0,4.10,-1.00,-1.00,0.32,
1/10/2023,Launceston,Jamie Cockshutt,218979686,1088859,Back,Back 1. Kenya,Kenya,0,3.93,-1.00,-1.00,0.34,
1/10/2023,Launceston,Jamie Cockshutt,218979690,40859141,Back,Back 1. Macaria,Macaria,0,7.62,-1.00,-1.00,0.15,
1/10/2023,Launceston,Jamie Cockshutt,218979692,6294821,Back,Back 1. Lancelot,Lancelot,0,5.21,-1.00,-1.00,0.24,
1/10/2023,ParisLongchamp ,Rory Flanagan,218944784,51961912,Back,Back Ace Impact,Ace Impact,1,4.42,3.42,3.42,-1.00,
1/10/2023,ParisLongchamp ,Rory Flanagan,218944784,15796835,Back,Back Westover,Westover,0,7.16,-1.00,-1.00,0.16,
1/10/2023,ParisLongchamp ,Rory Flanagan,218944784,46014690,Back,Back Through Seven Seas,Through Seven Seas,0,12.19,-1.00,-1.00,0.09,
1/10/2023,ParisLongchamp ,Rory Flanagan,218944784,54482447,Back,Back Feed The Flame,Feed The Flame,0,19.56,-1.00,-1.00,0.05,
1/10/2023,ParisLongchamp ,Rory Flanagan,218987362,55715762,Back,Back Beauvatier,Beauvatier,0,3.19,-1.00,-1.00,0.46,
1/10/2023,ParisLongchamp ,Rory Flanagan,218987362,5930673,Back,Back Henry Adams,Henry Adams,0,13.90,-1.00,-1.00,0.08,
1/10/2023,ParisLongchamp ,Rory Flanagan,218987368,55496026,Back,Back Les Pavots,Les Pavots,0,6.80,-1.00,-1.00,0.17,
1/10/2023,ParisLongchamp ,Rory Flanagan,218987368,45399509,Back,Back Rose Bloom,Rose Bloom,0,10.40,-1.00,-1.00,0.11,
1/10/2023,ParisLongchamp ,Rory Flanagan,218987368,59085288,Back,Back Julica,Julica,0,21.65,-1.00,-1.00,0.05,
1/10/2023,ParisLongchamp ,Rory Flanagan,218987382,44712680,Back,Back Blue Rose Cen,Blue Rose Cen,1,2.59,1.59,1.59,-1.00,
1/10/2023,ParisLongchamp ,Rory Flanagan,218987382,41050301,Back,Back Al Husn,Al Husn,0,6.40,-1.00,-1.00,0.19,
1/10/2023,ParisLongchamp ,Rory Flanagan,218987382,48640027,Back,Back Jannah Rose,Jannah Rose,0,9.55,-1.00,-1.00,0.12,
1/10/2023,ParisLongchamp ,Rory Flanagan,218987389,36362297,Back,Back Ponntos,Ponntos,0,20.00,-1.00,-1.00,0.05,
1/10/2023,ParisLongchamp ,Rory Flanagan,218987389,48799146,Back,Back Perdika,Perdika,0,32.00,-1.00,-1.00,0.03,
1/10/2023,ParisLongchamp ,Rory Flanagan,218987389,18519417,Back,Back Tudo Bem,Tudo Bem,0,95.46,-1.00,-1.00,0.01,
