Date,Code,State,Venue,Tipster,Market_Id,Selection_Id,Bet_Type,Best_Bet,Bet_Text,Selection_Name,Win_Lose,Bsp,Tipster_Profit,Back_Profit,Lay_Profit
1/02/2024,Greyhounds,QLD,Albion Park,Jaycin Campbell,224245278,64927843,back,FALSE,"BACK: 1. Blackjack Cal (WIN) for 3 unit(s) (Rated at: $1.80)

Blackjack Cal can round out a terrific night of racing on a high note. The son of Orson Allen is building a nice record having won two of his six starts with a further two placings. He was excellent two starts ago from this box when saluting by eleven lengths in a sharp 30.00 for novice company. It will pay to be forgiving of his last start effort where he was heavily checked when trying to cross from box eight. He is boxed to perfection tonight in the red and if he can replicate his time clocked two starts ago he will take plenty of beating.",Blackjack Cal,1,2.00,1.00,1.00,-1.00
1/02/2024,Greyhounds,QLD,Albion Park,Jaycin Campbell,224245238,55713389,back,TRUE,"BACK: 8. Plum Tuckered (WIN) for 5 unit(s) (Rated at: $1.20)

The Country Cup Final is restricted to runners from Bundaberg, Rockhampton and Townsville. Plum Tuckered appears extremely well placed and is racing in a rich vein of form having won her last five on the bounce including breaking the 498m Townsville track record last start. She has extensive experience around Albion Park due to previously being located in Brisbane. From her 13 starts at this track and trip, she has won four races with a personal best of 29.83. She is well suited to box eight having won three of her five starts. Expect Plum Tuckered to contest the lead early and be too strong for rivals in the back half of the race.",Plum Tuckered,1,1.65,0.65,0.65,-1.00
1/02/2024,Greyhounds,QLD,Albion Park,Jaycin Campbell,224245243,2125071,lay,TRUE,"LAY: 6. Respectability (WIN) for 2 unit(s) (Rated at: $5)

Despite being the fastest qualifier of five heats last Wednesday, Respectability appears extremely vulnerable in the final. Admittedly, Respectability is clearly the fastest dog in this contest having won his heat in 29.88 while the next best was Magical Cyndie in 30.16. Despite jumping from the same box, he has an awful map with Duelling Banjos immediately outside him capable of matching him to the first mark and wanting to run off the track. Also, Hopeful Lana began better than him at box rise last week and will look to cut in slightly. With this, expect Respectability to be bothered in the early stages which will allow both Dixie Gambles and Magical Cyndie to shoot away and fight out the finish.",Respectability,0,2.60,0.63,-1.00,0.63
1/02/2024,Greyhounds,QLD,Albion Park,Jaycin Campbell,224245228,51616216,back,FALSE,"BACK: 1. Warm Regards (WIN) for 1 unit(s) (Rated at: $5)

Western Australian runner, Warm Regards can make significant improvements in her second Queensland start. The daughter of Pat C Sabbath has been racing in fine form in WA having finished in the top two at three of her past five starts. She was having her first start at Albion Park last start when finishing last in a heat of the Gold Cup. Thursday’s free-for-all appears to be an open contest with many of her rivals being anything but bombproof. She is well boxed in the red with Witty Wendy outside likely to use the track on all corners. Expect Warm Regards to be well supported and improve out of sight.",Warm Regards,0,2.34,-1.00,-1.00,0.75
1/02/2024,Greyhounds,NSW,Dapto,Joe Lannutti,224244644,62326804,back,TRUE,"BACK: 2. Kiss Me Augie (WIN) for 2 unit(s) (Rated at: $2.30)

Backing 2 here. She was very good when having her first start at Dapto running 16.99s. There's good pace in 1 and 8 but I think this girl can can sit in the first 3 early and be too strong home.",Kiss Me Augie,1,1.53,0.53,0.53,-1.00
1/02/2024,Greyhounds,NSW,Dapto,Joe Lannutti,224244639,49766749,lay,TRUE,"LAY: 6. Snipes (WIN) for 1 unit(s) (Rated at: $4.50)

A good 5th grade with the four market elects set to dominate. Taking a set against the 6 though. Recent masters form is okay but this is much tougher. 7 will come out quickly and put pressure on him early. 8 can run like the wind on her night and is drawn to get clear air. 4 is capable of running 17 dead as well. A good race and happy to take on the 6 who needs to do everything right to win.",Snipes,0,15.50,0.07,-1.00,0.07
1/02/2024,Greyhounds,NSW,Dapto,Joe Lannutti,224244649,64763921,back,TRUE,"BACK: 4. Goodbye Mate (WIN) for 3 unit(s) (Rated at: $1.50)

4 looks the good thing of the night. A short course race that is devoid of genuine pace and I think the 4 can lead all the way. He has the aid of a vacant box to his outside as well. Keen.",Goodbye Mate,0,1.63,-1.00,-1.00,1.59
1/02/2024,Greyhounds,VIC,Sandown Park,Michael Tye,224244966,60491025,back,FALSE,"BACK (WIN): #4 Stomping for 1.5 units at $2.00+

Stomping is in the zone at the moment and he flew at The Meadows last start over 600m in 34.25. If he was to replicate that run at this venue, that would see him breaking the 34.00 second mark. His last start here over 595m he had to deal with Box 8, which is nearly always a nightmare draw over this bend start so Box 4 looks much better and there isn't a stack of pace here underneath him, which gives him every chance to lead and safely find the rails. ",Stomping,1,2.16,1.16,1.16,-1.00
1/02/2024,Greyhounds,VIC,Sandown Park,Michael Tye,224244976,64292511,lay,FALSE,"BACK (WIN) #8 Phelan Tubman for 1 unit at $3.25+

Most of this field will be hunting for the rail, Phelan Tubman looks suited drawn out wide and could be able to get the McFly as they get jammed up on the fence. She has some upside and is with the powerful Dailly camp which adds to my confidence.",Phelan Tubman,0,4.20,0.31,-1.00,0.31
1/02/2024,Greyhounds,VIC,Sandown Park,Michael Tye,224244946,58372101,lay,FALSE,"LAY (WIN): 8. Ice Bath Forth for 1.5 units at less than $5.50

There is plenty of early pace here with Steath and Ike Bale the likely leaders. This may mean Ice Bath Forth gets posted wide and when in doubt I'm always happy to Lay off Box 8 which has a very poor winning strike rate over this 515m start. ",Ice Bath Forth,0,4.58,0.28,-1.00,0.28
1/02/2024,Greyhounds,VIC,Sandown Park,Michael Tye,224244961,36093649,lay,FALSE,"LAY (WIN) #2 Schillaci for 1.5 units at less than $4.20

Schillaci has been disappointing since his massive win in The Phoenix in December. He has been missing the start and has been unreliable in the early stages of races. He does his best racing when he can lead early and if he misses the kick again I doubt he can catch some of these very handy dogs in Mepunga Shine, Judgement Day and Verdi. ",Schillaci,0,5.19,0.24,-1.00,0.24
