Date,Code,State,Venue,Tipster,Market_Id,Selection_Id,Bet_Type,Best_Bet,Bet_Text,Selection_Name,Win_Lose,Bsp,Tipster_Profit,Back_Profit,Lay_Profit
1/05/2024,Thoroughbred,VIC,Warrnambool,Anthony Jupp,228271051,51982689,lay,FALSE,"PROS VS BOOKIES
BOOKIE LAY: 2. Duke Of Before (WIN). ",Duke Of Bedford,0,$3.95,0.34,-1.00,0.34
1/05/2024,Thoroughbred,QLD,Ipswich,Chris Camilleri,228274208,68825251,lay,FALSE,"PROS VS BOOKIES
PRO LAY: 10. Winning Edition (WIN). Had two starts last preparation in average overall ratings. Feel the galloper could be vulnerable first up at such a short quote straight to 1200m. ",Winning Edition,0,$1.94,1.06,-1.00,1.06
1/05/2024,Thoroughbred,VIC,Warrnambool,Chris Camilleri,228271060,68825633,lay,FALSE,"LAY (WIN) #13 Born To Shine for 2 units (Rated at: $6.45)

I thought Born To Shine would win last start at Kyneton, she was given every chance and I thought her effort was basic. Her SP profile is keeping her safe in the market. 

Ti Tree Lad produced some of the best closing sectionals of the meeting on debut at Swan Hill. He resumed off a 211-day spell this preparation, caught the eye at the jumpouts and was subsequently given none first-up at Caulfield. He ran the fastest last 100m of the race, up in trip suits and if he can settle closer from the low draw, is a bet but I don’t really trust J.Allen.",Born To Shine,0,$4.20,0.31,-1.00,0.31
1/05/2024,Thoroughbred,VIC,Warrnambool,Chris Camilleri,228271078,62098131,lay,TRUE,"LAY (WIN) #7 Le Parrain for 3 units (Rated at: $4.40)

I might be way off here but I am laying Le Parrain. His ratings aren’t through the roof versus these and I didn’t like his most recent trial at Scone under riding. 

Boonie’s last start rating was terrific, his Benalla trial was underwhelming but the Flemington jumpout was outstanding and suggested a forward showing. Watch the market for Just Watch Me, J.Kah jumps on and she resumes off a 219-day spell with no public trial or jumpout. ",Le Parrain,0,$4.71,0.27,-1.00,0.27
1/05/2024,Thoroughbred,VIC,Warrnambool,Chris Camilleri,228271033,68825599,back,TRUE,"BACK (WIN) #2 Black Peppermint for 3 units (Rated at: $2.56)

Black Peppermint scorched the clock on debut at Kyneton, running the fastest last 200m of the meeting in the process. Up in trip suits and he can settle closer, as he did show good initial gate speed on debut and should have the tactical advantage on his two main rivals in betting, Engeline and Thatswhatshesaid.",Black Peppermint,0,$2.61,-1.00,-1.00,0.62
1/05/2024,Thoroughbred,WA,Ascot,Daniel Cripps,228270974,15708471,lay,FALSE,"PROS VS BOOKIES
PRO LAY: 5. Watch Me Rock (WIN). Beaten fair and square first up and has come up short again despite the rise in class and awkward draw.",Watch Me Rock,1,$2.48,-1.00,1.48,-1.00
1/05/2024,Harness,VIC,Ballarat,Darren and Brett Carroll,228270952,67117726,back,TRUE,"BACK: 5. Topsies Bling (WIN) for 2 units (Rated at: $1.60)

Top 3 picks will likely run the tri here but this one drops in grade &amp; looks the leader &amp; very hard to pass.


",Topsies Bling,1,$1.73,0.73,0.73,-1.00
1/05/2024,Harness,VIC,Ballarat,Darren and Brett Carroll,228270940,68752052,back,TRUE,"BACK: 6. Remus Phoenix (WIN) for 3 units (Rated at: $1.40)

Acknowledging the class rise here but I was very impressed by the debut win of this horse. I think he can continue through his grades here tonight.


",Remus Phoenix,1,$1.66,0.66,0.66,-1.00
1/05/2024,Harness,VIC,Ballarat,Darren and Brett Carroll,228270938,68752046,back,TRUE,"BACK: 2. Bozanarrow (WIN) for 2 units (Rated at: $1.75)

No champ this horse but both runs this prep been progressive &amp; draws to lead over the sprint trip with Herbs in the cart. Tonight he can hit the target!


",Bozanarrow,1,$1.42,0.42,0.42,-1.00
1/05/2024,Harness,VIC,Ballarat,Darren and Brett Carroll,228270942,46603470,lay,TRUE,"LAY: 7. Kyvalley Paint (WIN) for 3 units (Rated at: $10.00)

This horse has been solid winning 2 of his last 3 but they were weaker races than this &amp; the barrier is not helping - looks a risk to me.

",Kyvalley Paint,0,$8.64,0.13,-1.00,0.13
1/05/2024,Harness,VIC,Ballarat,Darren and Brett Carroll,228270944,44782241,back,FALSE,"BACK: 3. Binno Major (WIN) for 1 unit (Rated at: $1.80)

This horse is an honest type who just may have found his race here tonight - drawn to lead over the sprint trip he'll give us a great sight.

",Binno Major,0,$3.40,-1.00,-1.00,0.42
1/05/2024,Thoroughbred,NSW,Canterbury,Dave Dwyer,228270876,52147907,lay,FALSE,"PROS VS BOOKIES
BOOKIE LAY: 1. Hollywood Hero (WIN) Taking on at the price. 
",Hollywood Hero,1,$4.10,-1.00,3.10,-1.00
1/05/2024,Thoroughbred,QLD,Ipswich,Gareth Phillips,228274229,3060315,lay,FALSE,"PROS VS BOOKIES
PRO LAY: 6. Mannerheim (WIN). Tricky draw with rail out.",Mannerheim,1,$2.84,-1.00,1.84,-1.00
1/05/2024,Thoroughbred,VIC,Warrnambool,Glenn Ingram,228271024,62355551,back,TRUE,"BACK (WIN) #2 Boga Legend for 2 units 

Both jumpouts good leading in and possibly improved on his first preparation, getting off the speed and charging late.
",Boga Legend,0,$4.25,-1.00,-1.00,0.31
1/05/2024,Greyhounds,QLD,Rockhampton,Jaycin Campbell,228324402,68855583,back,TRUE,"BACK: 8. Toss The Coin (WIN) for 2 units (Rated at: $3.00)

Good quality novice race; however, Toss The Coin appears to have the most upside and extremely well boxed. The son of Dyna Double One was extremely impressive in his Rockhampton debut coming from off the speed to win in 23.82. He wasn’t seen for three weeks after this win and had no luck when finishing fifth behind Blake’s John. In both his starts, he has shown a tendency to run around the heels of rivals which suggests he wants to be drawn wide. 

Box eight should be right up his alley as well as the dogs in five, six and seven all capable of pressing across and contesting the lead. Expect Toss The Coin to settle just off the speed and finish over the top of rivals.
",Toss The Coin,1,$6.24,5.24,5.24,-1.00
1/05/2024,Greyhounds,QLD,Rockhampton,Jaycin Campbell,228324427,65757012,lay,TRUE,"LAY: 7. Dazzling Star (WIN) for 2 units (Rated at: $5.00)

Dazzling Star appears extremely short in open markets. She has been racing in great form over the 407m; however, has never given the impression that she wants further. The only thing in her favour at this distance range is that she’ll run it the right way and that’s making your own luck leading. All the same, the kennel mate inside her, Magical Star has shown good box speed more often than not and has a tendency to run off a few lanes soon after box rise. 

Dazzling Star could easily get caught in trouble here and even if she did find an uncontested lead, she will have Riverina Knight parked on her backside coming home stronger.
",Dazzling Star,0,$8.80,0.13,-1.00,0.13
1/05/2024,Greyhounds,QLD,Rockhampton,Jaycin Campbell,228324427,49430278,back,FALSE,"BACK: 1. Riverina Knight (WIN) for 2 units (Rated at: $2.50)

Riverina Knight has been racing in brilliant form over the 407m and is ready to step up to a more suitable distance. He ran three consecutive second place finishes before breaking through two starts ago from this box in BON 23.48. He showed a great mixture of speed and strength, running home in 14.48. He should get plenty of room to move here early with Early Supper in box two showing a liking to use the track over the 407m. 

If Riverina Knight leads out Magical Star, she won’t run him down and even if he parks on her backside, he could be strong enough to win.
",Riverina Knight,0,$4.27,-1.00,-1.00,0.31
1/05/2024,Thoroughbred,QLD,Ipswich,Kingsley Bartholomew,228274201,67325472,lay,FALSE,"PROS VS BOOKIES
PRO LAY: 10. Taltarni Fields (WIN) Struggles to run 1200m. Looks way too short to me. ",Taltarni Fields,1,$1.84,-1.00,0.84,-1.00
1/05/2024,Thoroughbred,SA,Murray Bridge,Lachlan Mosley,228272034,62097838,back,FALSE,"BACK (WIN) #11 King Moya for 1 unit 

King Moya was yet another horse defeated by track bias last start but still worked home for 4.5L 6th. Previous form warrants selection and is a City horse on his day. Is 1/1 at Murray Bridge.",King Moya,1,$9.95,8.95,8.95,-1.00
1/05/2024,Thoroughbred,SA,Murray Bridge,Lachlan Mosley,228271985,68825305,back,TRUE,"BACK (WIN) #1 Geeijo for 3 units 

Looks Geeijo's race to lose though. Had good form ties last prep with a 2.7L 4th behind the talented Wiggum at BM62 level. Then ran well for 4th in a MDN at Morphettville. He should be too good for this lot.",Geeijo,0,$2.08,-1.00,-1.00,0.93
1/05/2024,Thoroughbred,SA,Murray Bridge,Lachlan Mosley,228271999,62097621,back,FALSE,"BACK (WIN) #7 I Tell Ya What for 1 unit 

I Tell Ya What is racing well without luck this prep. Ran really well for 2nd last time out but couldn't reel in the leader. Gets to a more fairer surface here and the extra trip should suit.",I Tell Ya What,0,$3.58,-1.00,-1.00,0.39
