Date,Code,State,Venue,Tipster,Market_Id,Selection_Id,Bet_Type,Best_Bet,Bet_Text,Selection_Name,Win_Lose,Bsp,Tipster_Profit,Back_Profit,Lay_Profit
1/08/2024,Harness,VIC,Kilmore,Brett & Darren Carroll,231235615,62686442,LAY,TRUE,Rated Price : 5 | Stake: 2 Units,5. Monsiieur Flamel,1,6.27,-2,10.54,-2
1/08/2024,Harness,VIC,Kilmore,Brett & Darren Carroll,231235609,51149879,BACK,TRUE,Rated Price : 2.6 | Stake: 2 Units,8. Bizzness Class,0,4.54,-2,-2,0.56
1/08/2024,Harness,VIC,Kilmore,Brett & Darren Carroll,231235611,72097122,BACK,FALSE,Rated Price : 6 | Stake: 1 Units,11. Bacardi Spirit,1,3,1.86,2,-1
1/08/2024,Thoroughbred,VIC,Cranbourne,Glenn Ingram,231232536,72134488,BACK,TRUE,Rated Price : 3 | Stake: 2 Units,13. Evaporate,1,3.42,4.5,4.84,-2
1/08/2024,Thoroughbred,VIC,Cranbourne,Jackson Oldham,231232528,70965705,LAY,TRUE,Rated Price : 12 | Stake: 5 Units,8. Futatsu,0,5.47,1.04,-5,1.12
1/08/2024,Thoroughbred,VIC,Cranbourne,Jackson Oldham,231232528,66032884,BACK,TRUE,Rated Price : 2.6 | Stake: 4 Units,11. Scopri ,1,3.75,10.23,11,-4
1/08/2024,Greyhounds,QLD,Albion Park,Jaycin Campbell,231277047,72168336,LAY,TRUE,Rated Price : 5 | Stake: 2 Units,1. She's Our Gal,0,4.71,0.5,-2,0.54
1/08/2024,Greyhounds,QLD,Albion Park,Jaycin Campbell,231277062,47727766,BACK,TRUE,Rated Price : 1.6 | Stake: 4 Units,1. Cluster,1,1.57,2.12,2.28,-4
1/08/2024,Greyhounds,QLD,Albion Park,Jaycin Campbell,231277087,46626194,BACK,FALSE,Rated Price : 2 | Stake: 3 Units,8. Nangar Rocket,1,1.55,1.53,1.65,-3
1/08/2024,Greyhounds,VIC,Sandown Park,Michael Tye,231275434,42547383,BACK,FALSE,Rated Price : 26 | Stake: 1 Units,4. Riptide Ruslie ,0,46,-1,-1,0.02
1/08/2024,Greyhounds,VIC,Sandown Park,Michael Tye,231275434,54139894,BACK,FALSE,Rated Price : 31 | Stake: 1 Units,1. Voice Of Thunder ,0,21,-1,-1,0.05
1/08/2024,Greyhounds,VIC,Sandown Park,Michael Tye,231275424,68124355,LAY,FALSE,Rated Price : 6.5 | Stake: 1 Units,1. Flying Dinar ,1,6,-1,5,-1
1/08/2024,Greyhounds,VIC,Sandown Park,Michael Tye,231275439,56576797,LAY,FALSE,Rated Price : 6 | Stake: 1 Units,1. Iron Atlas ,0,4.41,0.27,-1,0.29
1/08/2024,Greyhounds,VIC,Sandown Park,Michael Tye,231275419,71800631,BACK,FALSE,Rated Price : 3.25 | Stake: 2 Units,1. Aston Hamilton ,1,4.3,6.14,6.6,-2
1/08/2024,Greyhounds,VIC,Sandown Park,Michael Tye,231275450,64797158,LAY,FALSE,Rated Price : 6.5 | Stake: 1 Units,8. House Of Turbo ,1,2.18,-1,1.18,-1
1/08/2024,Greyhounds,VIC,Sandown Park,Michael Tye,231275429,67401370,BACK,TRUE,Rated Price : 1.4 | Stake: 4 Units,1. Ellas Babe ,0,1.74,-4,-4,5.41
1/08/2024,Thoroughbred,NSW,Hawkesbury,Mitch Lewis,231232974,64163194,BACK,FALSE,Rated Price : 2.8 | Stake: 2 Units,4. Strapparsi,0,5.21,-2,-2,0.48
