Date,Code,State,Venue,Tipster,Market_Id,Selection_Id,Bet_Type,Best_Bet,Bet_Text,Selection_Name,Win_Lose, Bsp , Tipster_Profit , Back_Profit , Lay_Profit 
1/09/2024,Harness,VIC,Cranbourne,Brett & Darren Carroll,232478220,23721187,LAY,TRUE,Rated Price: 8| Stake: 2 Units,10. Terroroan,0, $20.08 , $0.10 ,-$2.00 , $0.10 
1/09/2024,Harness,VIC,Cranbourne,Brett & Darren Carroll,232478224,58314292,BACK,FALSE,Rated Price: 4| Stake: 1 Units,1. Good Day,1, $4.40 , $3.16 , $3.16 ,-$1.00 
1/09/2024,Harness,VIC,Cranbourne,Brett & Darren Carroll,232478230,42162817,BACK,FALSE,Rated Price: 2.5| Stake: 1 Units,6. Yering Soho,0, $2.78 ,-$1.00 ,-$1.00 , $0.52 
1/09/2024,Harness,VIC,Cranbourne,Brett & Darren Carroll,232478232,36023590,BACK,TRUE,Rated Price: 1.9| Stake: 2 Units,5. Goodtime Stryker,1, $1.54 , $1.00 , $1.00 ,-$2.00 
1/09/2024,Thoroughbreds,VIC,Geelong,Chris Camilleri,232452331,73221110,BACK,FALSE,Rated Price: 1.5| Stake: 4 Units,3. Politely Dun ,0, $2.08 ,-$4.00 ,-$4.00 , $3.44 
1/09/2024,Thoroughbreds,VIC,Geelong,Chris Camilleri,232452347,73221122,BACK,FALSE,Rated Price: 1.5| Stake: 4 Units,6. Happy Link ,1, $1.53 , $1.97 , $1.97 ,-$4.00 
1/09/2024,Thoroughbreds,TAS,Hobart,Stephen Christie,232452425,73176857,BACK,FALSE,Rated Price: 4| Stake: 1 Units,6. Super Cutter,0, $1.64 ,-$1.00 ,-$1.00 , $1.45 
1/09/2024,Thoroughbreds,TAS,Hobart,Stephen Christie,232452431,48672397,BACK,FALSE,Rated Price: 4| Stake: 1 Units,5. Sir Torobeel,1, $1.66 , $0.61 , $0.61 ,-$1.00 
1/09/2024,Thoroughbreds,TAS,Hobart,Stephen Christie,232452443,73176879,BACK,FALSE,Rated Price: 6.5| Stake: 1 Units,7. Fighting Floyd,1, $2.44 , $1.34 , $1.34 ,-$1.00 
1/09/2024,Thoroughbreds,NSW,Moree,Joshua Ingram,232451965,44209353,BACK,FALSE,Rated Price: | Stake: 1 Units,9. Hiraishin,0, $2.90 ,-$1.00 ,-$1.00 , $0.47 
1/09/2024,Thoroughbreds,NSW,Moree,Joshua Ingram,232451969,54439711,BACK,TRUE,Rated Price: | Stake: 2 Units,5. Wolf Bay,0, $3.58 ,-$2.00 ,-$2.00 , $0.70 
1/09/2024,Thoroughbreds,QLD,Sunshine Coast,Linton Chataway,232452182,68123750,BACK,FALSE,Rated Price: 3.4| Stake: 1 Units,11. Heart And Spirit,1, $3.27 , $2.11 , $2.11 ,-$1.00 
1/09/2024,Thoroughbreds,QLD,Sunshine Coast,Linton Chataway,232452198,893643,BACK,TRUE,Rated Price: 1.8| Stake: 5 Units,4. Redford,1, $1.76 , $3.53 , $3.53 ,-$5.00 
1/09/2024,Thoroughbreds,QLD,Sunshine Coast,Linton Chataway,232452203,59082771,LAY,TRUE,Rated Price: 2.5| Stake: 1 Units,6. Lost His Beans,1, $2.76 ,-$1.00 , $1.64 ,-$1.00 
1/09/2024,Thoroughbreds,QLD,Sunshine Coast,Linton Chataway,232452220,73221218,BACK,FALSE,Rated Price: 2.5| Stake: 3 Units,11. Antonito,0, $2.44 ,-$3.00 ,-$3.00 , $1.94 
2/09/2024,Harness,NSW,Bankstown,Will Norman,232520682,55132635,BACK,TRUE,Rated Price: 1.8| Stake: 3 Units,5. Satin Stride,1, $2.00 , $2.79 , $2.79 ,-$3.00 
2/09/2024,Harness,NSW,Bankstown,Will Norman,232520697,12173099,BACK,FALSE,Rated Price: 2.2| Stake: 2 Units,1. Lani Kai Beach,0, $2.32 ,-$2.00 ,-$2.00 , $1.41 
2/09/2024,Harness,NSW,Bankstown,Will Norman,232520700,39287661,LAY,FALSE,Rated Price: 8| Stake: 2 Units,6. Gimme A Reason,0, $9.22 , $0.23 ,-$2.00 , $0.23 
2/09/2024,Harness,SA,Gawler,Mark Lawrence,232520438,36342259,LAY,TRUE,Rated Price: 7.5| Stake: 2 Units,6. Our Art Christian,0, $27.00 , $0.07 ,-$2.00 , $0.07 
