Date,Code,State,Venue,Tipster,Market_Id,Selection_Id,Bet_Type,Best_Bet,Bet_Text,Selection_Name,Win_Lose, Bsp , Tipster_Profit , Back_Profit , Lay_Profit 
1/01/2025,Greyhounds,QLD,Rockhampton,Jaycin Campbell,237725857,54139930,LAY,FALSE,Rated Price: 5 | Stake: 2 Units,2. Tails Bale,0,3.37,0.78,-2,0.784810127
1/01/2025,Greyhounds,VIC,The Meadows,Michael Tye,237723254,69712657,BACK,FALSE,Rated Price: 1.95 | Stake: 2 Units,8. My Hummingbird ,0,2.29,-2,-2,1.441860465
1/01/2025,Greyhounds,VIC,The Meadows,Michael Tye,237723254,67897903,LAY,TRUE,Rated Price: 4.6 | Stake: 2 Units,2. Russian Raccoon ,1,2.4,-2,2.604,-2
1/01/2025,Greyhounds,VIC,The Meadows,Michael Tye,237723234,78433706,BACK,FALSE,Rated Price: 1.8 | Stake: 1 Units,4. Raining Fire,1,1.96,0.89,0.8928,-1
1/01/2025,Greyhounds,VIC,The Meadows,Michael Tye,237723244,73992216,BACK,FALSE,Rated Price: 3 | Stake: 1 Units,2. Gunai Daisy ,0,3.04,-1,-1,0.455882353
1/01/2025,Greyhounds,VIC,The Meadows,Michael Tye,237723249,65121908,BACK,TRUE,Rated Price: 1.4 | Stake: 4 Units,8. Lakeview Emily ,1,1.35,1.3,1.302,-4
1/01/2025,Harness,VIC,Echuca,Brett & Darren Carroll,237725832,27789845,BACK,TRUE,Rated Price: 1.9 | Stake: 3 Units,1. Hand Writer,0,1.71,-3,-3,3.929577465
1/01/2025,Harness,VIC,Echuca,Brett & Darren Carroll,237725840,38123603,LAY,TRUE,Rated Price: 8 | Stake: 2 Units,1. Lorimermajor,0,2.4,1.33,-2,1.328571429
1/01/2025,Thoroughbred,WA,Ascot,Terry Leighton,237704781,56253703,BACK,FALSE,Rated Price: 6.5 | Stake: 1 Units,5. Antique Miss,1,4.31,3.08,3.0783,-1
1/01/2025,Thoroughbred,WA,Ascot,Terry Leighton,237704790,1541076,BACK,FALSE,Rated Price: 2.5 | Stake: 3 Units,7. All Play,1,3.82,7.87,7.8678,-3
1/01/2025,Thoroughbred,WA,Ascot,Terry Leighton,237704773,76008437,BACK,TRUE,Rated Price: 2.4 | Stake: 5 Units,15. Sentimental Hero,0,1.7,-5,-5,6.642857143
1/01/2025,Thoroughbred,WA,Ascot,Terry Leighton,237704763,41833007,BACK,FALSE,Rated Price: 2.6 | Stake: 3 Units,4. Bopping Blue,0,1.99,-3,-3,2.818181818
1/01/2025,Thoroughbred,WA,Ascot,Terry Leighton,237704781,67041013,BACK,FALSE,Rated Price: 2.5 | Stake: 3 Units,1. Own The Queen,0,3.14,-3,-3,1.303738318
1/01/2025,Thoroughbred,WA,Ascot,Terry Leighton,237704790,78433889,BACK,FALSE,Rated Price: 4.8 | Stake: 1 Units,9. Celestial Storm,0,3.45,-1,-1,0.379591837
1/01/2025,Thoroughbred,WA,Ascot,Terry Leighton,237704736,78433881,BACK,FALSE,Rated Price: 2.1 | Stake: 4 Units,4. Shmoov Moova,1,1.48,1.79,1.7856,-4
1/01/2025,Thoroughbred,WA,Ascot,Terry Leighton,237704754,68891162,BACK,FALSE,Rated Price: 4.8 | Stake: 2 Units,9. Treasured Queen,0,4.4,-2,-2,0.547058824
1/01/2025,Thoroughbred,WA,Ascot,Terry Leighton,237704754,73721047,BACK,FALSE,Rated Price: 3.45 | Stake: 2 Units,5. Kraken Time,0,4.71,-2,-2,0.501347709
1/01/2025,Thoroughbred,WA,Ascot,Terry Leighton,237704763,38849727,BACK,FALSE,Rated Price: 3.5 | Stake: 1 Units,6. Norich,0,5.2,-1,-1,0.221428571
1/01/2025,Thoroughbred,NSW,Canterbury,Mitch Lewis,237700505,70456370,BACK,FALSE,Rated Price:  | Stake: 2 Units,6. Oh Diamond Lil,1,2.38,2.48,2.484,-2
1/01/2025,Thoroughbred,NSW,Canterbury,Mitch Lewis,237700496,71373474,BACK,TRUE,Rated Price: 1.8 | Stake: 3 Units,4. Lady Extreme,0,2.26,-3,-3,2.142857143
1/01/2025,Thoroughbred,NSW,Canterbury,Mitch Lewis,237700478,78432358,LAY,FALSE,Rated Price: 5 | Stake: 1 Units,11. The Enchanter,0,4.46,0.26,-1,0.260115607
1/01/2025,Thoroughbred,VIC,Flemington,Jackson Oldham,237700578,59187488,BACK,TRUE,Rated Price: 3.66 | Stake: 2 Units,5. Redoutes Night,1,4.33,6.19,6.1938,-2
1/01/2025,Thoroughbred,VIC,Flemington,Jackson Oldham,237700560,5696746,LAY,TRUE,Rated Price: 4.4 | Stake: 4 Units,1. Dom,0,3.39,1.56,-4,1.556485356
1/01/2025,Thoroughbred,TAS,Longford,Stephen Christie,237703551,27385960,BACK,FALSE,Rated Price: 3.5 | Stake: 1 Units,2. Gee Gee Can Win ,1,5.43,4.12,4.1199,-1
1/01/2025,Thoroughbred,TAS,Longford,Stephen Christie,237703533,67289265,BACK,FALSE,Rated Price: 1.5 | Stake: 2 Units,3. Piping Willow,1,2.95,3.63,3.627,-2
1/01/2025,Thoroughbred,TAS,Longford,Stephen Christie,237703551,27386027,BACK,FALSE,Rated Price: 2.6 | Stake: 1 Units,6. Gingerson,0,2.54,-1,-1,0.603896104
1/01/2025,Thoroughbred,TAS,Longford,Stephen Christie,237703575,60229044,LAY,FALSE,Rated Price: 4.5 | Stake: 1 Units,3. Carneros,0,3.15,0.43,-1,0.43255814
1/01/2025,Thoroughbred,TAS,Longford,Stephen Christie,237703539,78290184,BACK,FALSE,Rated Price: 1.5 | Stake: 4 Units,4. Dynamic Warrior,1,1.54,2.01,2.0088,-4
1/01/2025,Thoroughbred,TAS,Longford,Stephen Christie,237703557,56686516,LAY,FALSE,Rated Price: 8.5 | Stake: 2 Units,8. Pinandi ,0,3.81,0.66,-2,0.661921708
1/01/2025,Thoroughbred,TAS,Longford,Stephen Christie,237703563,56686532,LAY,FALSE,Rated Price: 6.9 | Stake: 1 Units,4. Fear The Sting,0,5.58,0.2,-1,0.203056769
1/01/2025,Thoroughbred,TAS,Longford,Stephen Christie,237703569,22821613,LAY,FALSE,Rated Price: 7.5 | Stake: 1 Units,1. Sir Simon,0,6.05,0.18,-1,0.184158416
1/01/2025,Thoroughbred,TAS,Longford,Stephen Christie,237703545,64546173,BACK,FALSE,Rated Price: 4.2 | Stake: 1 Units,8. Araya Sunshine,0,6.41,-1,-1,0.171903882
1/01/2025,Thoroughbred,VIC,Mornington,Glenn Ingram,237704587,1199174,BACK,TRUE,Rated Price: 2 | Stake: 3 Units,2. Corrupted,1,1.93,2.59,2.5947,-3
1/01/2025,Thoroughbred,SA,Murray Bridge,Lachlan Mosley,237700424,78432320,BACK,FALSE,Rated Price:  | Stake: 2 Units,9. Suit Of Wands ,0,3.6,-2,-2,0.715384615
1/01/2025,Thoroughbred,QLD,Sunshine Coast,The Leg Up,237700805,59684509,LAY,FALSE,Rated Price: 4.5 | Stake: 1 Units,2. Fairway Choice,0,3.4,0.39,-1,0.3875
2/01/2025,Greyhounds,QLD,Albion Park,Jaycin Campbell,237748659,61826843,BACK,FALSE,Rated Price: 5 | Stake: 1 Units,5. Gold Scotch,1,3.55,2.37,2.3715,-1
