Tipster_Name,MeetingDate,TrackName,Content,International_Meeting,Racing_Code,Race,Selection,BettingStrategy,MarketType,RP,SelectionName,Stake,BestBet,Market_ID,Selection_ID,MBR,RESULT,BSP,PROFIT_BSP,PROFIT_BSP_RP,PROFIT_BESTBET
Michael Tye,1/11/2024,Geelong,EXPERT TIPS,FALSE,Greyhounds,4,1,BACK,WIN,3,1. Lightning Range ,2,,235342305,74264734,7,1,3.08,3.87,3.87,0
Michael Tye,1/11/2024,Geelong,EXPERT TIPS,FALSE,Greyhounds,5,4,BACK,WIN,3.25,4. Crackerjack Tonk ,2,BEST BET,235342310,75718404,7,0,3.28,-2,-2,-2
Michael Tye,1/11/2024,Geelong,EXPERT TIPS,FALSE,Greyhounds,6,3,LAY,WIN,4.8,3. Mepunga Rocky ,1,BEST BET,235342315,75718405,7,0,2.5,0.62,0.62,0.62
Michael Tye,1/11/2024,Geelong,EXPERT TIPS,FALSE,Greyhounds,6,8,BACK,WIN,8.5,8. Arandt About ,2,,235342315,55534054,7,0,15.01,-2,-2,0
Michael Tye,1/11/2024,Geelong,EXPERT TIPS,FALSE,Greyhounds,8,6,BACK,WIN,3.15,6. Set To Sizzle ,2,,235342325,73527201,7,0,4.3,-2,-2,0
Michael Tye,1/11/2024,Geelong,EXPERT TIPS,FALSE,Greyhounds,10,1,BACK,WIN,2.85,1. Leggett Bale ,1,,235342335,66295761,7,1,4.03,2.82,2.82,0
Scott Hill,1/11/2024,Gloucester Park,EXPERT TIPS,FALSE,Harness,1,11,BACK,WIN,2,11. Lion Queen,2,,235346572,365074,7,0,3.05,-2,-2,0
Scott Hill,1/11/2024,Gloucester Park,EXPERT TIPS,FALSE,Harness,2,10,BACK,WIN,2.5,10. Tommy Waterhouse ,2,,235346575,54341273,7,0,2.24,-2,0,0
Scott Hill,1/11/2024,Gloucester Park,EXPERT TIPS,FALSE,Harness,3,4,BACK,WIN,2.8,4. Hampton Banner,2,,235346578,25357192,7,0,2.4,-2,0,0
Scott Hill,1/11/2024,Gloucester Park,EXPERT TIPS,FALSE,Harness,5,9,BACK,WIN,2.5,9. Christopher Dance,2,,235346584,75677741,7,1,2.82,3.39,3.39,0
Scott Hill,1/11/2024,Gloucester Park,EXPERT TIPS,FALSE,Harness,6,8,BACK,WIN,4,8. Solesseo Matuca,1,,235346587,38697698,7,0,6.42,-1,-1,0
Scott Hill,1/11/2024,Gloucester Park,EXPERT TIPS,FALSE,Harness,7,4,BACK,WIN,1.85,4. Insta Gator,3,BEST BET,235346590,54914969,7,1,2.3,3.63,3.63,3.63
Scott Hill,1/11/2024,Gloucester Park,EXPERT TIPS,FALSE,Harness,8,3,BACK,WIN,2.2,3. Dark Eyes,2,,235346593,10102036,7,0,8.65,-2,-2,0
Scott Hill,1/11/2024,Gloucester Park,EXPERT TIPS,FALSE,Harness,10,2,LAY,WIN,3,2. Longreach Bay,2,,235346599,27614819,7,1,3.3,-2,0,0
Linton Chataway,1/11/2024,Ipswich,EXPERT TIPS,FALSE,Thoroughbred,2,4,BACK,WIN,2,4. Stellar Lady,2,BEST BET,235294221,75718006,7,0,3.35,-2,-2,-2
The Leg Up,1/11/2024,Ipswich,LAY OF THE DAY,FALSE,Thoroughbred,3,6,LAY,WIN,4.5,6. Miss Reilly,1,,235294226,62135496,7,0,3.22,0.42,0.42,0
Linton Chataway,1/11/2024,Ipswich,EXPERT TIPS,FALSE,Thoroughbred,4,7,LAY,WIN,8,7. Blind Desire,1,BEST BET,235294231,71939846,7,0,14,0.07,0,0.07
Glenn Ingram,1/11/2024,Kilmore,LATE MAIL,FALSE,Thoroughbred,6,6,BACK,WIN,3,6. Autumn Slide,2,BEST BET,235299287,75718051,7,1,2.73,3.22,0,3.22
Stephen Christie,1/11/2024,Launceston,EXPERT TIPS,FALSE,Thoroughbred,1,10,BACK,WIN,5,10. Lightmeupjazz,1,,235297089,69901891,7,0,15.87,-1,-1,0
Stephen Christie,1/11/2024,Launceston,EXPERT TIPS,FALSE,Thoroughbred,1,10,BACK,PLACE,5,10. Lightmeupjazz,1,,235297090,69901891,7,0,4.3,-1,0,0
Stephen Christie,1/11/2024,Launceston,EXPERT TIPS,FALSE,Thoroughbred,6,3,LAY,WIN,5.5,3. Johnnie Pinch,1,,235297119,52204767,7,0,6.35,0.17,0,0
Stephen Christie,1/11/2024,Launceston,EXPERT TIPS,FALSE,Thoroughbred,8,1,BACK,WIN,5,1. Ring Of Honour,1,,235297131,27912097,7,0,8.68,-1,-1,0
