Date,Track,Race Name,Race,MarketId,SelectionId,Rug,Dog,Rated Price,Early Speed,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,WIN_VALUE
2025-10-01,Ballarat,R1 450m Heat,1,248462900,89265918,1,Shima Polly,5.12,0.4541775382860346,1.0,7.6,1.0,3.39,0.06373355263157895
2025-10-01,Ballarat,R1 450m Heat,1,248462900,89265919,2,Reindeer Hedghog,7.85,0.1454472527264153,0.0,11.69,0.0,4.7,0.04184533571619273
2025-10-01,Ballarat,R1 450m Heat,1,248462900,89265920,3,Starborn,8.82,Unknown,0.0,3.9,0.0,2.23,-0.14303157160300023
2025-10-01,Ballarat,R1 450m Heat,1,248462900,88290487,4,Rev Gordon,11.27,0.087065820029823,0.0,48.93,0.0,14.26,0.06829378513861226
2025-10-01,Ballarat,R1 450m Heat,1,248462900,88290501,6,Ivory Mihara,4.72,0.6342472749761485,0.0,5.18,0.0,2.24,0.018814213729467982
2025-10-01,Ballarat,R1 450m Heat,1,248462900,89265921,7,Kiwi Eddie,22.17,0.08492341680081984,0.0,95.83,0.0,42.0,0.03467085352759931
2025-10-01,Ballarat,R1 450m Heat,1,248462900,89265922,8,Ivory Hamada,4.59,0.4061624185252786,0.0,3.04,1.0,1.73,-0.11108244467377595
2025-10-01,Ballarat,R10 390m Mdn,10,248462945,89265943,1,Paw Murbella,4.03,Unknown,0.0,3.65,0.0,2.02,-0.02583364492334886
2025-10-01,Ballarat,R10 390m Mdn,10,248462945,89265944,2,Aunty Cheryl,14.63,0.009760913374022295,0.0,55.0,1.0,6.73,0.05017088174982911
2025-10-01,Ballarat,R10 390m Mdn,10,248462945,88969464,4,Zorbay,25.36,0.3680389293459263,0.0,94.49,0.0,23.0,0.028849046166152477
2025-10-01,Ballarat,R10 390m Mdn,10,248462945,89265945,5,Paw Reya,5.71,Unknown,1.0,4.3,1.0,2.06,-0.05742679102350018
2025-10-01,Ballarat,R10 390m Mdn,10,248462945,89265946,7,Paw Lampades,5.71,Unknown,0.0,10.4,0.0,2.59,0.0789775023575374
