Date,Track,Race Name,Race,Market,Selection,Number,Horse,RP,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,Value
2024-01-01,Ascot,R1 1100m 2yo,1,223004260,39388315,6,Smart Shadow,23.18,0.0,230.0,0.0,50.0,0.038792812394493004
2024-01-01,Ascot,R1 1100m 2yo,1,223004260,4021256,4,Overdrive,7.78,0.0,9.58,0.0,2.96,0.02415057075848892
2024-01-01,Ascot,R1 1100m 2yo,1,223004260,505137,2,Street Band,7.28,0.0,7.15,1.0,2.09,-0.002497502497502496
2024-01-01,Ascot,R1 1100m 2yo,1,223004260,64343968,1,Sinful Living,1.98,1.0,1.45,1.0,1.13,-0.18460466736328807
2024-01-01,Ascot,R1 1100m 2yo,1,223004260,64343969,3,Fighting Thunder,10.77,0.0,22.27,0.0,6.2,0.047947053111576134
2024-01-01,Ascot,R1 1100m 2yo,1,223004260,64343970,5,Alabama Elegance,10.77,0.0,30.74,0.0,7.2,0.06031960631866755
2024-01-01,Ascot,R2 1000m 3yo,2,223004267,2156610,3,All Play,3.65,0.0,3.17,1.0,1.47,-0.041484810509485326
2024-01-01,Ascot,R2 1000m 3yo,2,223004267,59416037,4,Our Rocky Bay,25.69,0.0,22.0,0.0,5.0,-0.006528893449874382
2024-01-01,Ascot,R2 1000m 3yo,2,223004267,59887569,7,Angel Undercover,18.83,1.0,10.35,1.0,2.49,-0.04351161293136402
2024-01-01,Ascot,R2 1000m 3yo,2,223004267,64343971,1,Ginnivan,4.26,0.0,5.0,0.0,1.79,0.034741784037558676
2024-01-01,Ascot,R2 1000m 3yo,2,223004267,64343972,2,Shell Bell,4.83,0.0,7.5,1.0,2.03,0.07370600414078674
2024-01-01,Ascot,R2 1000m 3yo,2,223004267,64343974,6,Siberian Siren,5.2,0.0,4.6,0.0,1.51,-0.025083612040133818
2024-01-01,Ascot,R3 1000m Hcap,3,223004274,45543013,2,Sky Duke,12.45,0.0,12.9,0.0,3.0,0.0028019052956010093
2024-01-01,Ascot,R3 1000m Hcap,3,223004274,50168577,5,Hang Glider,6.8,0.0,7.6,1.0,1.91,0.015479876160990724
2024-01-01,Ascot,R3 1000m Hcap,3,223004274,50836064,1,Brave Venture,6.83,1.0,15.61,1.0,3.43,0.08235138529474387
2024-01-01,Ascot,R3 1000m Hcap,3,223004274,51736404,6,Zouboltz,12.26,0.0,17.49,0.0,3.44,0.024390539641855467
2024-01-01,Ascot,R3 1000m Hcap,3,223004274,63027509,8,Strictly Cash,191.64,0.0,571.23,0.0,71.17,0.0034675089668800797
