Date,Track,Race Name,Race,Market,Selection,Number,Horse,Race_Speed,Speed_Cat,Early_Speed,Late_Speed,RP,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,Value
2025-03-01,Alice Springs,R1 1200m Hcap,1,240173946,66110713,1,Faithful Champion,Average,On-Pace,0.77775,3.0,10.79,0.0,6.75,0.0,2.3,-0.05546974221673015
2025-03-01,Alice Springs,R1 1200m Hcap,1,240173946,695472,2,Quizzle,Average,No Data,0.0,3.0,11.95,1.0,16.86,1.0,4.52,0.02437002734803477
2025-03-01,Alice Springs,R1 1200m Hcap,1,240173946,72916030,3,Supreme Goal,Average,No Data,0.0,3.0,6.13,0.0,4.74,0.0,2.0,-0.04783832710402597
2025-03-01,Alice Springs,R1 1200m Hcap,1,240173946,56644858,4,Another Val,Average,No Data,0.0,4.0,17.28,0.0,56.65,0.0,10.5,0.040218119708410965
2025-03-01,Alice Springs,R1 1200m Hcap,1,240173946,64546357,6,Kieffer,Average,Leader,1.0,2.0,14.98,0.0,17.69,0.0,4.2,0.010226561739375882
2025-03-01,Alice Springs,R1 1200m Hcap,1,240173946,56528378,7,Il Don Cavallo,Average,No Data,0.0,5.0,6.09,0.0,7.12,1.0,2.46,0.02375417427722734
2025-03-01,Alice Springs,R1 1200m Hcap,1,240173946,72609543,8,No Cash Here,Average,Midfield,0.4166666666666667,5.0,23.25,0.0,38.0,0.0,7.0,0.016694963214487837
2025-03-01,Alice Springs,R1 1200m Hcap,1,240173946,36783000,9,Vitesse Breeze,Average,No Data,0.0,1.0,17.31,0.0,31.18,1.0,6.51,0.025698234177428614
2025-03-01,Alice Springs,R1 1200m Hcap,1,240173946,80640580,10,Barani,Average,On-Pace,0.8333333333333334,2.0,8.24,0.0,6.38,0.0,2.21,-0.03538058861125484
2025-03-01,Alice Springs,R1 1200m Hcap,1,240173946,59115244,11,Muselet,Average,On-Pace,0.72225,1.0,6.68,0.0,7.73,0.0,2.76,0.020334492722188235
2025-03-01,Alice Springs,R2 1200m Hcap,2,240173951,25487513,1,Supreme Attraction,Slow,No Data,0.0,3.0,11.45,0.0,51.93,1.0,13.5,0.06807955284111886
2025-03-01,Alice Springs,R2 1200m Hcap,2,240173951,43548911,2,Early Crow,Slow,No Data,0.0,4.0,8.98,0.0,7.2,0.0,2.83,-0.027530314278643914
2025-03-01,Alice Springs,R2 1200m Hcap,2,240173951,15844961,3,Thats Justified,Slow,No Data,0.0,2.0,7.22,0.0,17.0,0.0,6.17,0.07968062571288904
2025-03-01,Alice Springs,R2 1200m Hcap,2,240173951,48907730,4,Otycoon,Slow,On-Pace,0.8333333333333334,4.0,2.65,0.0,1.86,0.0,1.35,-0.16027591803611274
2025-03-01,Alice Springs,R2 1200m Hcap,2,240173951,42421661,5,Kickatorp,Slow,No Data,0.0,5.0,7.28,0.0,8.6,0.0,3.19,0.021083567595195488
2025-03-01,Alice Springs,R2 1200m Hcap,2,240173951,69903461,6,Flying Yishu,Slow,No Data,0.0,3.0,9.25,1.0,9.8,1.0,3.3,0.0060672917815775135
2025-03-01,Alice Springs,R2 1200m Hcap,2,240173951,62433796,7,Better Not Fuss,Slow,No Data,0.0,1.0,25.02,0.0,55.0,0.0,14.0,0.021786207397718194
