Date,Track,Race Name,Race,Market,Selection,Number,Horse,Rank,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP
2025-11-01,Alice Springs,R1 1200m Hcap,1,249869094,37430595,5,Travanti,1,0.0,13.0,0.0,4.4
2025-11-01,Alice Springs,R1 1200m Hcap,1,249869094,55819249,1,Revolution Rising,4,0.0,10.0,1.0,4.35
2025-11-01,Alice Springs,R1 1200m Hcap,1,249869094,59685501,6,Boomerconi,5,0.0,7.59,0.0,2.99
2025-11-01,Alice Springs,R1 1200m Hcap,1,249869094,64545696,4,Even Sharper,3,0.0,3.02,0.0,1.96
2025-11-01,Alice Springs,R1 1200m Hcap,1,249869094,90525047,3,Demiquaver,2,1.0,3.52,1.0,2.04
2025-11-01,Alice Springs,R2 1200m Hcap,2,249869099,81813123,2,Grinzinger Lass,3,0.0,5.46,1.0,1.96
2025-11-01,Alice Springs,R2 1200m Hcap,2,249869099,87456291,5,Boom Smash Opera,5,0.0,51.8,0.0,13.17
2025-11-01,Alice Springs,R2 1200m Hcap,2,249869099,88694083,1,Mougenot,1,1.0,1.63,1.0,1.23
2025-11-01,Alice Springs,R2 1200m Hcap,2,249869099,90525048,3,Checkthemenu,4,0.0,10.5,0.0,3.8
2025-11-01,Alice Springs,R2 1200m Hcap,2,249869099,90525049,4,Matron Samsing,2,0.0,9.04,0.0,2.85
2025-11-01,Alice Springs,R3 1000m Mdn,3,249869104,1171934,3,King Bling,3,1.0,3.53,1.0,1.74
2025-11-01,Alice Springs,R3 1000m Mdn,3,249869104,61027361,6,Upforthechallenge,4,0.0,12.12,0.0,5.2
2025-11-01,Alice Springs,R3 1000m Mdn,3,249869104,80892017,1,Denuto,5,0.0,44.09,0.0,15.5
2025-11-01,Alice Springs,R3 1000m Mdn,3,249869104,82819913,2,Dynasty Reward,2,0.0,3.41,1.0,2.2
2025-11-01,Alice Springs,R3 1000m Mdn,3,249869104,90525050,4,Well Ill Be,1,0.0,5.26,0.0,2.66
2025-11-01,Alice Springs,R4 1000m Hcap,4,249869109,26420686,1,Rock Of Kryptonite,3,0.0,17.29,1.0,6.54
2025-11-01,Alice Springs,R4 1000m Hcap,4,249869109,27994044,6,Tango Stepz,5,0.0,10.0,0.0,3.75
2025-11-01,Alice Springs,R4 1000m Hcap,4,249869109,62355996,2,Quanapirri Bay,4,0.0,8.8,0.0,4.2
2025-11-01,Alice Springs,R4 1000m Hcap,4,249869109,72916802,4,Black Zous,1,1.0,3.5,1.0,1.95
2025-11-01,Alice Springs,R4 1000m Hcap,4,249869109,83155468,5,Midnight Hustle,2,0.0,5.1,0.0,2.67
2025-11-01,Alice Springs,R5 1400m Hcap,5,249869114,38999885,4,Valley Prince,1,0.0,8.4,0.0,4.04
2025-11-01,Alice Springs,R5 1400m Hcap,5,249869114,40701309,6,Beep Test,5,0.0,12.78,1.0,6.26
2025-11-01,Alice Springs,R5 1400m Hcap,5,249869114,44037826,1,Super Sharp,3,1.0,5.54,1.0,2.76
2025-11-01,Alice Springs,R5 1400m Hcap,5,249869114,90525053,2,Hello Mary,2,0.0,4.2,0.0,2.35
2025-11-01,Alice Springs,R5 1400m Hcap,5,249869114,90525054,3,The Big Freeze,4,0.0,3.49,0.0,1.81
2025-11-01,Alice Springs,R6 1400m Hcap,6,249869119,26597070,2,Altar Boy,3,1.0,2.92,1.0,1.37
2025-11-01,Alice Springs,R6 1400m Hcap,6,249869119,42588082,4,Flying Start,2,0.0,5.38,1.0,1.73
2025-11-01,Alice Springs,R6 1400m Hcap,6,249869119,43504117,1,Venting,4,0.0,4.81,0.0,1.48
2025-11-01,Alice Springs,R6 1400m Hcap,6,249869119,54109390,3,The Girls Boy,1,0.0,6.63,1.0,1.93
2025-11-01,Alice Springs,R6 1400m Hcap,6,249869119,58407118,6,Sheer Reward,5,0.0,29.6,0.0,4.5
2025-11-01,Ascot,R1 1600m Hcap,1,249834059,26880030,5,Battle Commander,3,1.0,11.96,1.0,2.85
2025-11-01,Ascot,R1 1600m Hcap,1,249834059,65558564,4,Audio Boy,1,0.0,3.15,1.0,1.39
2025-11-01,Ascot,R1 1600m Hcap,1,249834059,83837863,1,Grand Reserve,4,0.0,14.0,0.0,3.26
2025-11-01,Ascot,R1 1600m Hcap,1,249834059,90525893,3,Rock In Wonder,2,0.0,9.68,0.0,2.66
2025-11-01,Ascot,R1 1600m Hcap,1,249834059,90525894,7,Across Generations,5,0.0,21.0,0.0,4.1
2025-11-01,Ascot,R2 2200m Hcap,2,249834068,58600685,5,Long Genes,3,1.0,4.86,1.0,2.0
2025-11-01,Ascot,R2 2200m Hcap,2,249834068,74040417,1,Omerta Grace,5,0.0,23.75,0.0,5.1
2025-11-01,Ascot,R2 2200m Hcap,2,249834068,81563847,9,Age Of Grace,4,0.0,8.94,0.0,3.02
2025-11-01,Ascot,R2 2200m Hcap,2,249834068,90525895,2,Twilight Tale,1,0.0,4.14,1.0,1.66
2025-11-01,Ascot,R2 2200m Hcap,2,249834068,90525897,8,Mystical Man,2,0.0,8.8,0.0,2.96
2025-11-01,Ascot,R3 1800m Hcap,3,249834077,42155280,1,Ginger Green,4,0.0,16.5,0.0,3.75
2025-11-01,Ascot,R3 1800m Hcap,3,249834077,56873953,7,Blazing Emerald,3,0.0,12.73,0.0,3.5
2025-11-01,Ascot,R3 1800m Hcap,3,249834077,66509384,6,Wembanyama,2,0.0,6.22,0.0,2.29
2025-11-01,Ascot,R3 1800m Hcap,3,249834077,75719247,4,Odinaka,5,1.0,16.0,1.0,3.7
2025-11-01,Ascot,R3 1800m Hcap,3,249834077,89968163,3,Funchal,1,0.0,2.33,1.0,1.34
2025-11-01,Ascot,R4 1500m Hcap,4,249834086,40274311,3,Kelora,3,0.0,7.25,1.0,2.66
2025-11-01,Ascot,R4 1500m Hcap,4,249834086,55244412,1,Climb On Top,1,0.0,9.59,0.0,3.15
2025-11-01,Ascot,R4 1500m Hcap,4,249834086,76248460,2,Golden Dore,5,0.0,10.83,0.0,3.14
2025-11-01,Ascot,R4 1500m Hcap,4,249834086,86820811,11,Saam Time Lucky,2,0.0,5.65,1.0,2.16
2025-11-01,Ascot,R4 1500m Hcap,4,249834086,90525899,5,Astro World,4,0.0,6.14,0.0,2.54
2025-11-01,Ascot,R5 1200m Hcap,5,249834095,933697,8,Mantua,3,0.0,18.96,1.0,5.03
2025-11-01,Ascot,R5 1200m Hcap,5,249834095,75314680,10,Gold Vancouver,5,0.0,35.13,0.0,7.2
2025-11-01,Ascot,R5 1200m Hcap,5,249834095,90525902,1,Brave Strike,2,0.0,9.26,0.0,3.6
2025-11-01,Ascot,R5 1200m Hcap,5,249834095,90525903,7,The Calabrese,4,1.0,4.4,1.0,2.04
2025-11-01,Ascot,R5 1200m Hcap,5,249834095,90525904,11,Hedawood,1,0.0,4.39,0.0,1.92
2025-11-01,Ascot,R6 1000m Grp3,6,249834104,413095,5,Repossession,3,0.0,6.8,0.0,2.53
2025-11-01,Ascot,R6 1000m Grp3,6,249834104,57114104,3,Snowdome,4,0.0,34.5,0.0,7.2
2025-11-01,Ascot,R6 1000m Grp3,6,249834104,60230895,2,Oscars Fortune,1,0.0,3.5,1.0,1.68
2025-11-01,Ascot,R6 1000m Grp3,6,249834104,90525906,1,Jokers Grin,2,1.0,1.92,1.0,1.29
2025-11-01,Ascot,R6 1000m Grp3,6,249834104,90525907,4,Boots Like Bruce,5,0.0,364.31,0.0,50.0
2025-11-01,Ascot,R7 1000m Hcap,7,249834113,46314996,5,Playthatfunkymusic,5,0.0,221.77,0.0,22.0
2025-11-01,Ascot,R7 1000m Hcap,7,249834113,56873949,1,Hanchi,4,0.0,23.82,1.0,4.33
2025-11-01,Ascot,R7 1000m Hcap,7,249834113,65023830,4,Desert Whisper,2,1.0,6.35,1.0,1.99
2025-11-01,Ascot,R7 1000m Hcap,7,249834113,70822183,2,Toropa,3,0.0,11.5,0.0,2.81
2025-11-01,Ascot,R7 1000m Hcap,7,249834113,90525908,7,Black Ora,1,0.0,2.35,1.0,1.23
2025-11-01,Ascot,R8 1100m 3yo,8,249834122,9275097,1,Castle Road,5,0.0,29.19,1.0,6.6
2025-11-01,Ascot,R8 1100m 3yo,8,249834122,82789246,8,Yes Queen,2,0.0,5.3,0.0,2.0
2025-11-01,Ascot,R8 1100m 3yo,8,249834122,84182961,7,Rostislav,3,0.0,9.77,0.0,2.66
2025-11-01,Ascot,R8 1100m 3yo,8,249834122,90525910,9,Luana Miss,4,1.0,4.6,1.0,1.72
2025-11-01,Ascot,R8 1100m 3yo,8,249834122,90525911,10,Elite Beau,1,0.0,4.2,0.0,1.84
2025-11-01,Ascot,R9 1400m Grp3,9,249834131,3513187,6,Bonjoy,3,0.0,17.58,0.0,2.57
2025-11-01,Ascot,R9 1400m Grp3,9,249834131,4289494,2,Aztec Ruler,4,0.0,290.0,0.0,24.0
2025-11-01,Ascot,R9 1400m Grp3,9,249834131,15708471,5,Watch Me Rock,1,1.0,9.38,1.0,1.83
2025-11-01,Ascot,R9 1400m Grp3,9,249834131,57114076,1,Rope Them In,2,0.0,28.0,1.0,3.66
2025-11-01,Ascot,R9 1400m Grp3,9,249834131,90525915,12,September Born,5,0.0,14.0,0.0,2.47
2025-11-01,Ascot,R10 1200m Hcap,10,249834140,3471883,3,Brave Spirit,4,0.0,45.49,0.0,9.63
2025-11-01,Ascot,R10 1200m Hcap,10,249834140,69323497,8,Jaz Session,2,0.0,5.99,1.0,2.28
2025-11-01,Ascot,R10 1200m Hcap,10,249834140,87456417,2,Yorga Pride,3,0.0,9.8,0.0,3.03
2025-11-01,Ascot,R10 1200m Hcap,10,249834140,90525918,11,Exceed The Planet,5,0.0,10.5,0.0,3.45
2025-11-01,Ascot,R10 1200m Hcap,10,249834140,90525920,13,Sixinch Heels,1,0.0,7.6,0.0,2.96
2025-11-01,Coffs Harbour,R1 1515m Mdn,1,249869740,80974116,2,Miss Midas Touch,2,0.0,3.03,1.0,1.68
2025-11-01,Coffs Harbour,R1 1515m Mdn,1,249869740,82344038,8,Angelinthenightsky,5,0.0,58.28,0.0,16.0
2025-11-01,Coffs Harbour,R1 1515m Mdn,1,249869740,82376291,1,Adeel Its A Steal,1,0.0,5.34,0.0,2.4
2025-11-01,Coffs Harbour,R1 1515m Mdn,1,249869740,87205446,6,Mr Square Pants,3,0.0,6.8,0.0,4.22
2025-11-01,Coffs Harbour,R1 1515m Mdn,1,249869740,90567758,3,Releasethewolves,4,1.0,4.5,1.0,2.06
2025-11-01,Coffs Harbour,R2 810m Mdn,2,249869745,4333786,3,Recluse,5,0.0,11.26,0.0,3.9
2025-11-01,Coffs Harbour,R2 810m Mdn,2,249869745,69201751,1,Clusters General,3,0.0,9.0,0.0,2.92
2025-11-01,Coffs Harbour,R2 810m Mdn,2,249869745,81812164,8,Scarlet Monarch,1,1.0,1.61,1.0,1.19
2025-11-01,Coffs Harbour,R2 810m Mdn,2,249869745,90567760,2,Gettin Up,2,0.0,5.4,1.0,1.9
2025-11-01,Coffs Harbour,R2 810m Mdn,2,249869745,90567762,6,Hot Fizz,4,0.0,63.44,0.0,15.86
2025-11-01,Coffs Harbour,R3 1215m Mdn,3,249869750,65732205,8,Temple Bells,5,0.0,3.54,1.0,1.6
2025-11-01,Coffs Harbour,R3 1215m Mdn,3,249869750,80677828,7,Miss Graysea,2,1.0,3.19,1.0,1.27
2025-11-01,Coffs Harbour,R3 1215m Mdn,3,249869750,82538225,6,Lykos,3,0.0,9.67,1.0,2.1
