EVENT_DATE,PATH,EVENT_ID,MARKET_TYPE,MARKET_ID,MARKET_NAME,SELECTION_ID,RUNNER_NAME,RUNNER_STATUS,IS_WINNER,HOME_TEAM,AWAY_TEAM,BEST_BACK_FIRST_BALL,BEST_LAY_FIRST_BALL,MATCHED_VOLUME_FIRST_BALL,BEST_BACK_FIRST_INN_FOUR_OV,BEST_LAY_FIRST_INN_FOUR_OV,MATCHED_VOLUME_FIRST_INN_FOUR_OV,BEST_BACK_FIRST_INN_SIX_OV,BEST_LAY_FIRST_INN_SIX_OV,MATCHED_VOLUME_FIRST_INN_SIX_OV,BEST_BACK_FIRST_INN_TEN_OV,BEST_LAY_FIRST_INN_TEN_OV,MATCHED_VOLUME_FIRST_INN_TEN_OV,BEST_BACK_FIRST_INN_FIFTEEN_OV,BEST_LAY_FIRST_INN_FIFTEEN_OV,MATCHED_VOLUME_FIRST_INN_FIFTEEN_OV,BEST_BACK_FIRST_INN_CONCLUSION,BEST_LAY_FIRST_INN_CONCLUSION,MATCHED_VOLUME_FIRST_INN_CONCLUSION,BEST_BACK_SECOND_INN_FOUR_OV,BEST_LAY_SECOND_INN_FOUR_OV,MATCHED_VOLUME_SECOND_INN_FOUR_OV,BEST_BACK_SECOND_INN_SIX_OV,BEST_LAY_SECOND_INN_SIX_OV,MATCHED_VOLUME_SECOND_INN_SIX_OV,BEST_BACK_SECOND_INN_TEN_OV,BEST_LAY_SECOND_INN_TEN_OV,MATCHED_VOLUME_SECOND_INN_TEN_OV,BEST_BACK_SECOND_INN_FIFTEEN_OV,BEST_LAY_SECOND_INN_FIFTEEN_OV,MATCHED_VOLUME_SECOND_INN_FIFTEEN_OV,TOTAL_MATCHED_VOLUME
2021-10-14 00:00:00.000 +0000,Group C/ WBBL/Sydney Sixers WBBL v Melbourne Stars WBBL,30999252,,189062602,Match Odds,12217242,Melbourne Stars WBBL,LOSER,0,WBBL/Sydney Sixers WBBL,Melbourne Stars WBBL,3.55,3.5,8864.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,158642.26
2021-10-14 00:00:00.000 +0000,Group C/ WBBL/Sydney Sixers WBBL v Melbourne Stars WBBL,30999252,,189062602,Match Odds,12217558,Sydney Sixers WBBL,WINNER,1,WBBL/Sydney Sixers WBBL,Melbourne Stars WBBL,1.4,1.38,69612.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,8315813.59
2021-10-16 00:00:00.000 +0000,Group C/ WBBL/Melbourne Renegades WBBL v Hobart Hurricanes WBBL,31001801,,189163135,Match Odds,12217370,Hobart Hurricanes WBBL,LOSER,0,WBBL/Melbourne Renegades WBBL,Hobart Hurricanes WBBL,2.58,2.62,12826.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,215816.4
2021-10-16 00:00:00.000 +0000,Group C/ WBBL/Melbourne Renegades WBBL v Hobart Hurricanes WBBL,31001801,,189163135,Match Odds,12215569,Melbourne Renegades WBBL,WINNER,1,WBBL/Melbourne Renegades WBBL,Hobart Hurricanes WBBL,1.62,1.63,59155.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,13697481.82
2021-10-16 00:00:00.000 +0000,Group C/ WBBL/Sydney Thunder WBBL v Adelaide Strikers WBBL,31001814,,189163568,Match Odds,12215567,Adelaide Strikers WBBL,WINNER,1,WBBL/Sydney Thunder WBBL,Adelaide Strikers WBBL,1.95,1.8,413355.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,10220659.87
2021-10-16 00:00:00.000 +0000,Group C/ WBBL/Sydney Thunder WBBL v Adelaide Strikers WBBL,31001814,,189163568,Match Odds,12217241,Sydney Thunder WBBL,LOSER,0,WBBL/Sydney Thunder WBBL,Adelaide Strikers WBBL,2.16,2.06,666665.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,4547082.11
2021-10-17 00:00:00.000 +0000,Group C/ WBBL/Hobart Hurricanes WBBL v Sydney Sixers WBBL,31005515,,189203476,Match Odds,12217370,Hobart Hurricanes WBBL,LOSER,0,WBBL/Hobart Hurricanes WBBL,Sydney Sixers WBBL,3.35,3.75,3695.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,488003.16
2021-10-17 00:00:00.000 +0000,Group C/ WBBL/Hobart Hurricanes WBBL v Sydney Sixers WBBL,31005515,,189203476,Match Odds,12217558,Sydney Sixers WBBL,WINNER,1,WBBL/Hobart Hurricanes WBBL,Sydney Sixers WBBL,1.36,1.37,147596.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,9383690.58
2021-10-19 00:00:00.000 +0000,Group C/ WBBL/Melbourne Stars WBBL v Hobart Hurricanes WBBL,31005917,,189291569,Match Odds,12217370,Hobart Hurricanes WBBL,WINNER,1,WBBL/Melbourne Stars WBBL,Hobart Hurricanes WBBL,2.58,2.66,10177.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,3202025.94
2021-10-19 00:00:00.000 +0000,Group C/ WBBL/Melbourne Stars WBBL v Hobart Hurricanes WBBL,31005917,,189291569,Match Odds,12217242,Melbourne Stars WBBL,LOSER,0,WBBL/Melbourne Stars WBBL,Hobart Hurricanes WBBL,1.61,1.62,39321.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,2570152.75
2021-10-19 00:00:00.000 +0000,Group C/ WBBL/Brisbane Heat WBBL v Perth Scorchers WBBL,31008320,,189291933,Match Odds,12217559,Brisbane Heat WBBL,WINNER,1,WBBL/Brisbane Heat WBBL,Perth Scorchers WBBL,2.68,2.72,13116.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,9624572.31
