Player,Nation,Age,Minutes,ShotsOnTargetAgainst,GoalsAgainst,Saves,Save%,HomeTeam,Away_Team,Date,PlayerTeam
Albert Kelly-Heald,nz NZL,19-341,90,8,6,2,25%,Auckland FC,Wellington Phoenix,22/02/2025,Wellington Phoenix
Alex Paulsen,nz NZL,22-233,90,5,1,4,80%,Auckland FC,Wellington Phoenix,22/02/2025,Auckland FC
Lawrence Thomas,au AUS,32-289,90,2,0,2,100%,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Western Sydney Wanderers
Adam Pavlesic,au AUS,22-207,90,4,4,1,25%,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Central Coast Mariners
Patrick Beach,au AUS,21-200,90,5,2,4,80%,Melbourne Victory,Melbourne City,22/02/2025,Melbourne City
Mitchell Langerak,au AUS,36-184,90,6,2,5,83%,Melbourne Victory,Melbourne City,22/02/2025,Melbourne Victory
Macklin Freke,au AUS,26-046,90,6,3,3,50%,Newcastle Jets,Brisbane Roar,21/02/2025,Brisbane Roar
Noah James,au AUS,24-007,90,5,1,4,80%,Newcastle Jets,Brisbane Roar,21/02/2025,Newcastle Jets
Harrison Devenish-Meares,au AUS,28-118,90,5,0,5,100%,Perth Glory,Sydney FC,22/02/2025,Sydney FC
Oliver Sail,nz NZL,29-040,90,4,0,4,100%,Perth Glory,Sydney FC,22/02/2025,Perth Glory
Ethan Cox,au AUS,21-047,90,10,3,8,80%,Western United,Adelaide United,23/02/2025,Adelaide United
Matthew Sutton,au AUS,24-353,90,0,0,0,,Western United,Adelaide United,23/02/2025,Western United
