Player,Player,Nation,Age,Minutes,ShotsOnTargetAgainst,GoalsAgainst,Saves,Save%,HomeTeam,Away_Team,Date,PlayerTeam
Lawrence Thomas,Lawrence Thomas,AUS,24-151,90,2,1,1,50,Brisbane Roar,Melbourne Victory,7/10/2016,Melbourne Victory
Michael Theo,Michael Theo,AUS,35-239,90,2,1,1,50,Brisbane Roar,Melbourne Victory,7/10/2016,Brisbane Roar
Ivan Necevski,Ivan Necevski,AUS,36-226,90,9,3,7,77.8,Perth Glory,Central Coast Mariners,8/10/2016,Central Coast Mariners
Liam Reddy,Liam Reddy,AUS,35-061,90,6,3,4,66.7,Perth Glory,Central Coast Mariners,8/10/2016,Perth Glory
Thomas Sørensen,Thomas Sorensen,DEN,40-118,57,0,0,0,,Wellington Phoenix,Melbourne City,8/10/2016,Melbourne City
Dean Bouzanis,Dean Bouzanis,AUS,26-006,28,1,0,1,100,Wellington Phoenix,Melbourne City,8/10/2016,Melbourne City
Glen Moss,Glen Moss,NZL,33-263,90,5,1,4,80,Wellington Phoenix,Melbourne City,8/10/2016,Wellington Phoenix
Danny Vukovic,Danny Vukovic,AUS,31-195,90,6,0,6,100,Western Sydney Wanderers,Sydney FC,8/10/2016,Sydney FC
Andrew Redmayne,Andrew Redmayne,AUS,27-269,90,7,4,3,42.9,Western Sydney Wanderers,Sydney FC,8/10/2016,Western Sydney Wanderers
Eugene Galekovic,Eugene Galekovic,AUS,35-119,90,3,1,2,66.7,Newcastle Jets,Adelaide United,9/10/2016,Adelaide United
Jack Duncan,Jack Duncan,AUS,23-173,90,4,1,3,75,Newcastle Jets,Adelaide United,9/10/2016,Newcastle Jets
Andrew Redmayne,Andrew Redmayne,AUS,27-275,90,5,1,4,80,Adelaide United,Western Sydney Wanderers,14/10/2016,Western Sydney Wanderers
Eugene Galekovic,Eugene Galekovic,AUS,35-124,90,4,2,2,50,Adelaide United,Western Sydney Wanderers,14/10/2016,Adelaide United
Dean Bouzanis,Dean Bouzanis,AUS,26-013,90,2,1,1,50,Melbourne Victory,Melbourne City,15/10/2016,Melbourne City
Lawrence Thomas,Lawrence Thomas,AUS,24-159,90,9,4,5,55.6,Melbourne Victory,Melbourne City,15/10/2016,Melbourne Victory
Ivan Necevski,Ivan Necevski,AUS,36-233,90,6,4,3,50,Sydney FC,Central Coast Mariners,15/10/2016,Central Coast Mariners
Danny Vukovic,Danny Vukovic,AUS,31-202,90,2,0,2,100,Sydney FC,Central Coast Mariners,15/10/2016,Sydney FC
