DATE,HOME_TEAM,AWAY_TEAM,HOME_HT_SCORE,AWAY_HT_SCORE
7/10/2016,Brisbane Roar,Melbourne Victory,0,0
8/10/2016,Perth Glory,Central Coast Mariners,3,0
8/10/2016,Wellington Phoenix,Melbourne City,0,1
8/10/2016,Western Sydney Wanderers,Sydney FC,0,0
9/10/2016,Newcastle Jets,Adelaide United,1,1
14/10/2016,Adelaide United,Western Sydney Wanderers,1,0
15/10/2016,Melbourne Victory,Melbourne City,0,2
15/10/2016,Sydney FC,Central Coast Mariners,2,0
16/10/2016,Newcastle Jets,Brisbane Roar,1,0
16/10/2016,Perth Glory,Wellington Phoenix,0,0
21/10/2016,Melbourne City,Perth Glory,1,1
22/10/2016,Adelaide United,Melbourne Victory,0,1
22/10/2016,Central Coast Mariners,Brisbane Roar,0,1
23/10/2016,Wellington Phoenix,Sydney FC,0,0
23/10/2016,Western Sydney Wanderers,Newcastle Jets,2,0
28/10/2016,Melbourne City,Adelaide United,1,0
29/10/2016,Newcastle Jets,Sydney FC,0,1
29/10/2016,Western Sydney Wanderers,Central Coast Mariners,1,0
30/10/2016,Brisbane Roar,Perth Glory,1,0
31/10/2016,Melbourne Victory,Wellington Phoenix,2,0
4/11/2016,Brisbane Roar,Melbourne City,1,0
5/11/2016,Sydney FC,Melbourne Victory,0,1
5/11/2016,Wellington Phoenix,Newcastle Jets,2,0
6/11/2016,Adelaide United,Central Coast Mariners,1,0
6/11/2016,Perth Glory,Western Sydney Wanderers,1,1
10/11/2016,Melbourne City,Newcastle Jets,2,1
11/11/2016,Adelaide United,Brisbane Roar,0,0
12/11/2016,Central Coast Mariners,Wellington Phoenix,0,0
12/11/2016,Melbourne Victory,Western Sydney Wanderers,1,0
13/11/2016,Sydney FC,Perth Glory,2,0
18/11/2016,Perth Glory,Adelaide United,1,1
18/11/2016,Western Sydney Wanderers,Melbourne City,0,0
19/11/2016,Brisbane Roar,Sydney FC,1,1
20/11/2016,Newcastle Jets,Central Coast Mariners,0,1
24/11/2016,Central Coast Mariners,Perth Glory,1,0
25/11/2016,Western Sydney Wanderers,Brisbane Roar,0,1
26/11/2016,Melbourne Victory,Newcastle Jets,0,0
26/11/2016,Sydney FC,Adelaide United,0,0
27/11/2016,Melbourne City,Wellington Phoenix,1,0
2/12/2016,Melbourne Victory,Perth Glory,1,1
3/12/2016,Central Coast Mariners,Western Sydney Wanderers,1,2
3/12/2016,Melbourne City,Brisbane Roar,0,1
4/12/2016,Adelaide United,Wellington Phoenix,2,0
4/12/2016,Newcastle Jets,Sydney FC,0,0
9/12/2016,Sydney FC,Melbourne City,0,1
10/12/2016,Perth Glory,Newcastle Jets,1,2
10/12/2016,Wellington Phoenix,Central Coast Mariners,1,0
10/12/2016,Western Sydney Wanderers,Melbourne Victory,0,1
11/12/2016,Brisbane Roar,Adelaide United,2,0
16/12/2016,Newcastle Jets,Adelaide United,1,0
17/12/2016,Melbourne City,Melbourne Victory,1,1
17/12/2016,Perth Glory,Sydney FC,1,1
17/12/2016,Wellington Phoenix,Western Sydney Wanderers,0,1
18/12/2016,Central Coast Mariners,Brisbane Roar,0,1
23/12/2016,Brisbane Roar,Western Sydney Wanderers,0,0
26/12/2016,Adelaide United,Sydney FC,0,1
26/12/2016,Newcastle Jets,Wellington Phoenix,0,1
27/12/2016,Melbourne City,Perth Glory,2,2
28/12/2016,Melbourne Victory,Central Coast Mariners,1,0
30/12/2016,Sydney FC,Brisbane Roar,1,0
31/12/2016,Central Coast Mariners,Melbourne City,0,1
1/01/2017,Wellington Phoenix,Adelaide United,0,0
1/01/2017,Western Sydney Wanderers,Perth Glory,0,1
2/01/2017,Melbourne Victory,Newcastle Jets,2,0
5/01/2017,Perth Glory,Wellington Phoenix,1,1
6/01/2017,Melbourne City,Western Sydney Wanderers,1,0
7/01/2017,Adelaide United,Melbourne Victory,0,1
7/01/2017,Brisbane Roar,Newcastle Jets,1,1
8/01/2017,Central Coast Mariners,Sydney FC,0,1
12/01/2017,Adelaide United,Melbourne City,1,1
13/01/2017,Melbourne Victory,Brisbane Roar,3,2
14/01/2017,Sydney FC,Western Sydney Wanderers,0,0
14/01/2017,Wellington Phoenix,Central Coast Mariners,1,0
15/01/2017,Newcastle Jets,Perth Glory,2,1
17/01/2017,Wellington Phoenix,Melbourne Victory,1,0
19/01/2017,Melbourne City,Central Coast Mariners,2,1
20/01/2017,Sydney FC,Adelaide United,0,0
21/01/2017,Perth Glory,Melbourne Victory,0,0
21/01/2017,Wellington Phoenix,Brisbane Roar,0,0
22/01/2017,Western Sydney Wanderers,Newcastle Jets,1,0
26/01/2017,Melbourne Victory,Sydney FC,1,1
27/01/2017,Newcastle Jets,Melbourne City,1,0
28/01/2017,Brisbane Roar,Western Sydney Wanderers,1,1
28/01/2017,Central Coast Mariners,Perth Glory,0,0
29/01/2017,Adelaide United,Wellington Phoenix,1,2
3/02/2017,Brisbane Roar,Sydney FC,0,0
4/02/2017,Melbourne Victory,Melbourne City,0,0
4/02/2017,Perth Glory,Newcastle Jets,2,1
4/02/2017,Wellington Phoenix,Western Sydney Wanderers,0,1
5/02/2017,Central Coast Mariners,Adelaide United,1,0
9/02/2017,Sydney FC,Wellington Phoenix,2,1
10/02/2017,Adelaide United,Perth Glory,0,3
11/02/2017,Melbourne City,Brisbane Roar,0,2
12/02/2017,Western Sydney Wanderers,Central Coast Mariners,0,0
13/02/2017,Newcastle Jets,Melbourne Victory,0,0
17/02/2017,Adelaide United,Newcastle Jets,0,0
18/02/2017,Perth Glory,Brisbane Roar,1,2
18/02/2017,Wellington Phoenix,Melbourne City,0,2
18/02/2017,Western Sydney Wanderers,Sydney FC,1,0
19/02/2017,Central Coast Mariners,Melbourne Victory,0,1
24/02/2017,Melbourne City,Sydney FC,1,1
25/02/2017,Brisbane Roar,Wellington Phoenix,0,1
25/02/2017,Melbourne Victory,Adelaide United,0,0
25/02/2017,Perth Glory,Western Sydney Wanderers,1,0
26/02/2017,Newcastle Jets,Central Coast Mariners,1,0
3/03/2017,Sydney FC,Melbourne Victory,0,0
4/03/2017,Wellington Phoenix,Perth Glory,2,1
4/03/2017,Western Sydney Wanderers,Adelaide United,0,0
5/03/2017,Central Coast Mariners,Melbourne City,1,2
5/03/2017,Newcastle Jets,Brisbane Roar,1,0
10/03/2017,Sydney FC,Central Coast Mariners,1,0
11/03/2017,Melbourne Victory,Perth Glory,2,1
18/03/2017,Melbourne City,Newcastle Jets,1,0
19/03/2017,Adelaide United,Brisbane Roar,1,0
19/03/2017,Western Sydney Wanderers,Wellington Phoenix,2,0
24/03/2017,Western Sydney Wanderers,Melbourne City,1,1
25/03/2017,Brisbane Roar,Melbourne Victory,0,0
25/03/2017,Central Coast Mariners,Adelaide United,1,0
26/03/2017,Perth Glory,Sydney FC,0,2
26/03/2017,Wellington Phoenix,Newcastle Jets,2,0
31/03/2017,Adelaide United,Perth Glory,1,1
1/04/2017,Newcastle Jets,Western Sydney Wanderers,0,2
1/04/2017,Sydney FC,Melbourne City,0,0
2/04/2017,Brisbane Roar,Central Coast Mariners,0,0
2/04/2017,Melbourne Victory,Wellington Phoenix,0,2
7/04/2017,Melbourne City,Adelaide United,1,0
8/04/2017,Perth Glory,Brisbane Roar,1,0
