Player,Number,Nation,Pos,Age,Minutes,Goals,Assists,Penalty_Goals,Penalty_Shots,Shots,ShotsOnTarget,CardsYellow,CardsRed,FoulsAgainst,FoulsFor,Offsides,Crosses,TacklesWon,Intercepts,OwnGoals,home,away,date,player_team
Lachlan Rose,9,au AUS,FW,25-281,78,1,0,0,0,6,3,0,0,0,0,0,1,0,0,0,Adelaide United,Newcastle Jets,15/02/2025,Newcastle Jets
Ben Gibson,22,au AUS,FW,22-043,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adelaide United,Newcastle Jets,15/02/2025,Newcastle Jets
Clayton Taylor,13,au AUS,AM,20-351,90,1,0,0,0,2,2,0,0,0,2,0,2,1,1,0,Adelaide United,Newcastle Jets,15/02/2025,Newcastle Jets
Eli Adams,7,au AUS,AM,22-340,89,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,Adelaide United,Newcastle Jets,15/02/2025,Newcastle Jets
Matthew Scarcella,6,au AUS,MF,20-348,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Adelaide United,Newcastle Jets,15/02/2025,Newcastle Jets
Daniel Wilmering,23,au AUS,DM,24-058,90,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,Adelaide United,Newcastle Jets,15/02/2025,Newcastle Jets
Lachlan Bayliss,37,au AUS,DM,22-206,90,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,Adelaide United,Newcastle Jets,15/02/2025,Newcastle Jets
Callum Timmins,19,au AUS,DM,25-054,78,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,Adelaide United,Newcastle Jets,15/02/2025,Newcastle Jets
Charles M'Mombwa,20,tz TAN,MF,26-338,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Adelaide United,Newcastle Jets,15/02/2025,Newcastle Jets
Kota Mizunuma,18,jp JPN,DM,34-359,89,0,1,0,0,0,0,0,0,0,0,0,11,1,2,0,Adelaide United,Newcastle Jets,15/02/2025,Newcastle Jets
Will Dobson,28,au AUS,MF,17-161,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adelaide United,Newcastle Jets,15/02/2025,Newcastle Jets
Mark Natta,33,au AUS,CB,22-079,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Adelaide United,Newcastle Jets,15/02/2025,Newcastle Jets
Kostandinos Grozos,17,au AUS,CB,24-189,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Adelaide United,Newcastle Jets,15/02/2025,Newcastle Jets
Thomas Aquilina,39,au AUS,CB,24-013,90,0,0,0,0,2,0,0,0,2,0,0,1,2,0,0,Adelaide United,Newcastle Jets,15/02/2025,Newcastle Jets
Noah James,21,au AUS,GK,24-001,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adelaide United,Newcastle Jets,15/02/2025,Newcastle Jets
Archie Goodwin,26,au AUS,FW,20-100,68,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,Adelaide United,Newcastle Jets,15/02/2025,Adelaide United
Austin Ayoubi,42,au AUS,FW,23-203,22,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,Adelaide United,Newcastle Jets,15/02/2025,Adelaide United
Yaya Dukuly,19,au AUS,AM,22-029,68,0,0,0,0,4,3,0,0,0,1,0,5,0,0,0,Adelaide United,Newcastle Jets,15/02/2025,Adelaide United
