Player,Number,Nation,Pos,Age,Minutes,Goals,Assists,Penalty_Goals,Penalty_Shots,Shots,ShotsOnTarget,CardsYellow,CardsRed,FoulsAgainst,FoulsFor,Offsides,Crosses,TacklesWon,Intercepts,OwnGoals,date,player_team,date,player_team
Francisco Geraldes,12,pt POR,FW,29-310,90,0,0,0,0,2,1,0,0,1,3,0,6,1,0,0,Auckland FC,Wellington Phoenix,22/02/2025,Wellington Phoenix
Kosta Barbarouses,7,nz NZL,FW,35-003,90,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,Auckland FC,Wellington Phoenix,22/02/2025,Wellington Phoenix
Corban Piper,3,nz NZL,LM,22-165,72,0,0,0,0,1,0,1,0,2,2,0,1,1,0,0,Auckland FC,Wellington Phoenix,22/02/2025,Wellington Phoenix
Marco Rojas,21,nz NZL,"FW,MF",33-109,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Auckland FC,Wellington Phoenix,22/02/2025,Wellington Phoenix
Fin Conchie,5,nz NZL,CM,21-196,45,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,Auckland FC,Wellington Phoenix,22/02/2025,Wellington Phoenix
Alex Rufer,14,nz NZL,MF,28-255,45,0,0,0,0,0,0,0,0,2,4,0,0,2,0,0,Auckland FC,Wellington Phoenix,22/02/2025,Wellington Phoenix
Matthew Sheridan,27,nz NZL,CM,20-289,90,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,Auckland FC,Wellington Phoenix,22/02/2025,Wellington Phoenix
Hideki Ishige,9,jp JPN,RM,30-154,45,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,Auckland FC,Wellington Phoenix,22/02/2025,Wellington Phoenix
Nathan Walker,41,nz NZL,FW,19-023,45,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,Auckland FC,Wellington Phoenix,22/02/2025,Wellington Phoenix
Lukas Kelly-Heald,18,nz NZL,LB,19-341,45,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,Auckland FC,Wellington Phoenix,22/02/2025,Wellington Phoenix
Luke Brooke-Smith,29,nz NZL,MF,16-261,45,1,0,0,0,1,1,0,0,0,1,0,0,1,2,0,Auckland FC,Wellington Phoenix,22/02/2025,Wellington Phoenix
Scott Wootton,4,eng ENG,CB,33-163,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Auckland FC,Wellington Phoenix,22/02/2025,Wellington Phoenix
Isaac Hughes,15,nz NZL,CB,20-334,90,0,0,0,0,0,0,1,0,1,0,0,0,3,1,0,Auckland FC,Wellington Phoenix,22/02/2025,Wellington Phoenix
Tim Payne,6,nz NZL,RB,31-043,86,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,Auckland FC,Wellington Phoenix,22/02/2025,Wellington Phoenix
Luke Supyk,23,nz NZL,FW,18-355,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auckland FC,Wellington Phoenix,22/02/2025,Wellington Phoenix
Albert Kelly-Heald,30,nz NZL,GK,19-341,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auckland FC,Wellington Phoenix,22/02/2025,Wellington Phoenix
Guillermo May,10,uy URU,FW,26-348,90,0,1,0,0,7,1,0,0,2,2,1,0,2,1,0,Auckland FC,Wellington Phoenix,22/02/2025,Auckland FC
Max Mata,9,nz NZL,FW,24-227,45,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,Auckland FC,Wellington Phoenix,22/02/2025,Auckland FC
Jesse Randall,21,nz NZL,FW,22-187,45,1,0,0,0,3,1,0,0,0,0,0,0,1,1,0,Auckland FC,Wellington Phoenix,22/02/2025,Auckland FC
Neyder Moreno,25,co COL,LM,28-013,61,3,0,0,0,4,3,0,0,0,0,0,4,1,1,0,Auckland FC,Wellington Phoenix,22/02/2025,Auckland FC
Marlee Francois,11,au AUS,FW,22-055,29,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,Auckland FC,Wellington Phoenix,22/02/2025,Auckland FC
Felipe Gallegos,28,cl CHI,CM,33-081,61,0,1,0,0,0,0,0,0,1,0,0,2,2,1,0,Auckland FC,Wellington Phoenix,22/02/2025,Auckland FC
Louis Verstraete,6,be BEL,MF,25-294,29,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,Auckland FC,Wellington Phoenix,22/02/2025,Auckland FC
Jake Brimmer,22,au AUS,CM,26-325,81,0,0,0,0,1,1,0,0,3,0,0,1,2,0,0,Auckland FC,Wellington Phoenix,22/02/2025,Auckland FC
Cameron Howieson,7,nz NZL,MF,30-062,9,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,Auckland FC,Wellington Phoenix,22/02/2025,Auckland FC
Logan Rogerson,27,nz NZL,RM,26-270,90,2,0,0,0,3,2,0,0,3,6,0,0,2,0,0,Auckland FC,Wellington Phoenix,22/02/2025,Auckland FC
Francis de Vries,15,nz NZL,LB,30-086,90,0,0,0,0,0,0,0,0,1,0,0,16,4,1,0,Auckland FC,Wellington Phoenix,22/02/2025,Auckland FC
Nando Pijnaker,4,nz NZL,CB,25-363,61,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Auckland FC,Wellington Phoenix,22/02/2025,Auckland FC
Callan Elliot,17,nz NZL,DF,25-230,29,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Auckland FC,Wellington Phoenix,22/02/2025,Auckland FC
Tommy Smith,5,nz NZL,CB,34-328,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Auckland FC,Wellington Phoenix,22/02/2025,Auckland FC
Hiroki Sakai,2,jp JPN,RB,34-316,90,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,Auckland FC,Wellington Phoenix,22/02/2025,Auckland FC
Alex Paulsen,12,nz NZL,GK,22-233,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auckland FC,Wellington Phoenix,22/02/2025,Auckland FC
Zac Sapsford,7,au AUS,FW,22-190,64,1,1,0,0,2,1,0,0,1,3,0,1,0,0,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Western Sydney Wanderers
Marcus Antonsson,9,se SWE,FW,33-290,26,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Western Sydney Wanderers
Brandon Borrello,26,au AUS,FW,29-212,87,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Western Sydney Wanderers
Aydan Hammond,21,au AUS,MF,21-061,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Western Sydney Wanderers
Bozhidar Kraev,23,bg BUL,LM,27-244,90,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Western Sydney Wanderers
Oscar Priestman,18,au AUS,CM,21-334,64,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Western Sydney Wanderers
Mohamed Al Taay,6,iq IRQ,MF,24-252,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Western Sydney Wanderers
Dean Pelekanos,13,au AUS,CM,25-048,90,0,1,0,0,1,0,0,0,1,1,0,1,2,1,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Western Sydney Wanderers
Nicolas Milanovic,14,au AUS,RM,23-100,74,1,0,0,0,5,2,1,0,2,0,0,3,1,0,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Western Sydney Wanderers
Juan Mata,64,es ESP,"FW,MF",36-300,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Western Sydney Wanderers
Jack Clisby,19,au AUS,LB,33-006,87,1,0,0,0,2,1,0,0,2,0,0,1,1,0,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Western Sydney Wanderers
Alex Gersbach,3,au AUS,"DF,MF",27-290,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Western Sydney Wanderers
Alex Bonetig,4,au AUS,CB,22-186,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Western Sydney Wanderers
Anthony Pantazopoulos,22,au AUS,CB,21-306,90,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Western Sydney Wanderers
Gabriel Cleur,2,au AUS,RB,27-022,90,0,0,0,0,1,0,0,0,2,1,0,2,0,0,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Western Sydney Wanderers
