LOCAL_MEETING_DATE,SCHEDULED_RACE_TIME_MELBOURNE,ACTUAL_OFF_TIME_MELBOURNE,TRACK,STATE_CODE,RACE_NO,WIN_MARKET_ID,WIN_MARKET_NAME,PLACE_MARKET_ID,TRACK_TYPE,DISTANCE,RACE_TYPE,RACE_SPEED,PLACES_PAID,SELECTION_ID,SILK_NUMBER,SELECTION_NAME,SPEED_CATEGORY,EARLY_SPEED,LATE_SPEED,CARROT_CRUNCHER_RATED_PRICE,TOP_5_RANK,STALL_DRAW,TRAINER_NAME,JOCKEY_NAME,WEIGHT_VALUE,DAYS_SINCE_LAST_RUN,COLOUR_TYPE,FORM,SEX_TYPE,AGE,BRED,DAM_BRED,DAM_NAME,SIRE_BRED,SIRE_NAME,DAMSIRE_BRED,DAMSIRE_NAME,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,AVG_CORP_PRICE_AT_OFF,WIN_BSP_VOLUME,WIN_PREPLAY_MAX_PRICE_TAKEN,WIN_PREPLAY_MIN_PRICE_TAKEN,WIN_PREPLAY_LAST_PRICE_TAKEN,WIN_PREPLAY_WEIGHTED_AVERAGE_PRICE_TAKEN,WIN_PREPLAY_VOLUME,WIN_INPLAY_MAX_PRICE_TAKEN,WIN_INPLAY_MIN_PRICE_TAKEN,WIN_LAST_PRICE_TAKEN,WIN_INPLAY_WEIGHTED_AVERAGE_PRICE_TAKEN,WIN_INPLAY_VOLUME,PLACE_BSP_VOLUME,PLACE_MAX_PRICE_TAKEN,PLACE_MIN_PRICE_TAKEN,PLACE_LAST_PRICE_TAKEN,PLACE_WEIGHTED_AVERAGE_PRICE_TAKEN,PLACE_PREPLAY_VOLUME,BEST_AVAIL_BACK_AT_10AM_MELB_TIME,BEST_AVAIL_LAY_AT_10AM_MELB_TIME,BACK_MARKET_PERCENTAGE_AT_10AM_MELB_TIME,LAY_MARKET_PERCENTAGE_AT_10AM_MELB_TIME
2025-11-09,13:30:00.000,13:30:24.000,Ararat,VIC,1,250247048,R1 4000m Hcap,250247049,Country,4000,Hcap,Slow,3,79844875,1,Salsita,Backmarker,0.15,4.0,4.85,2.0,7,Emma-Lee & David Browne,Dean Parker,69.0,15,br/bl,22342,g,5,NZ,NZ,Salsa,AUS,Shocking,NZ,O'Reilly,0,9.6,1,2.82,8.1667,2572.01,11.5,4.9,10.5,8.65,3776.81,1000.0,2.3,1000.0,7.75,492.95,321.72,3.0,1.62,2.82,2.78,454.98,4.9,9.2,1.12,0.59
2025-11-09,13:30:00.000,13:30:24.000,Ararat,VIC,1,250247048,R1 4000m Hcap,250247049,Country,4000,Hcap,Slow,3,85283587,11,Americain Miss,Off Midfield,0.3055833333333333,3.0,68.15,,10,Kaye Edwards,Jordan Hart,65.0,10,br/bl,68379,m,6,AUS,AUS,Miss Reveal,USA,Americain,AUS,Testa Rossa,0,38.0,0,9.0,34.0,993.07,70.0,34.0,38.0,47.8,518.19,470.0,21.0,470.0,72.59,8.06,31.34,10.5,8.8,9.0,9.77,64.0,55.0,170.0,1.12,0.59
2025-11-09,13:30:00.000,13:30:24.000,Ararat,VIC,1,250247048,R1 4000m Hcap,250247049,Country,4000,Hcap,Slow,3,41223115,12,Sabre Athena,Backmarker,0.1666666666666666,4.0,101.14,,4,Mark Greig,Portia J Matthews,65.0,17,ch,80758,m,7,AUS,NZ,Lucretia,USA,Americain,IRE,Mastercraftsman,0,34.0,1,7.03,31.0,583.98,80.0,32.0,32.0,47.66,1140.29,470.0,22.0,470.0,48.67,17.01,120.42,10.5,6.6,7.2,7.81,389.25,65.0,280.0,1.12,0.59
2025-11-09,13:30:00.000,13:30:24.000,Ararat,VIC,1,250247048,R1 4000m Hcap,250247049,Country,4000,Hcap,Slow,3,87454238,13,Tosen Glory,Backmarker,0.0333333333333333,3.0,103.65,,2,Kelvin Bourke,Cillin Leonard,65.0,5,b,83376,g,6,AUS,AUS,Unhappy,JPN,Tosen Stardom,AUS,Redoute's Choice,0,85.0,0,15.5,46.0,435.75,95.0,55.0,85.0,71.63,164.78,1000.0,32.0,1000.0,281.51,14.58,52.14,16.0,13.0,15.5,15.28,55.23,55.0,290.0,1.12,0.59
2025-11-09,13:30:00.000,13:30:24.000,Ararat,VIC,1,250247048,R1 4000m Hcap,250247049,Country,4000,Hcap,Slow,3,47612742,2,Guido,Backmarker,0.0833333333333333,4.0,5.62,4.0,6,Mitchell Freedman,Joshua Parker,68.5,17,ch,x6447,g,7,NZ,NZ,Micro Explosive,IRE,Jakkalberry,USA,Ekraar,1,5.44,1,2.14,4.3333,3183.83,6.4,4.4,5.7,5.24,5154.88,8.0,1.01,1.01,1.82,1995.69,70.81,2.16,1.75,2.14,2.03,326.92,5.1,11.0,1.12,0.59
2025-11-09,13:30:00.000,13:30:24.000,Ararat,VIC,1,250247048,R1 4000m Hcap,250247049,Country,4000,Hcap,Slow,3,59684097,3,Don Stefano,Backmarker,0.0999999999999999,4.0,4.32,5.0,5,Emma-Lee & David Browne,Will Gordon,68.0,17,b,x9795,g,5,NZ,AUS,Pressera,JPN,Staphanos,AUS,Domesday,0,4.47,0,1.76,3.4333,4355.75,5.3,3.8,4.5,4.1,10408.48,470.0,2.92,470.0,4.27,573.6,143.46,1.95,1.56,1.76,1.75,631.54,4.1,7.8,1.12,0.59
2025-11-09,13:30:00.000,13:30:24.000,Ararat,VIC,1,250247048,R1 4000m Hcap,250247049,Country,4000,Hcap,Slow,3,64604021,5,In Your Hands,Backmarker,0.0166666666666666,3.0,7.17,3.0,3,Andrea Leek,Mr Luca Remondet,65.0,17,b,04152,m,6,NZ,AUS,Total Belief,NZ,Preferment,AUS,Not A Single Doubt,0,5.05,0,1.84,4.1333,4159.46,5.7,4.4,5.0,4.83,4662.6,360.0,3.7,260.0,5.59,387.18,231.1,2.0,1.74,1.85,1.81,1261.25,5.6,9.0,1.12,0.59
2025-11-09,13:30:00.000,13:30:24.000,Ararat,VIC,1,250247048,R1 4000m Hcap,250247049,Country,4000,Hcap,Slow,3,53184151,6,Rapid Impact,Backmarker,0.0666666666666666,1.0,142.43,,8,Simon Ryan,Jordan Ratcliffe,65.0,10,b,0x078,g,7,AUS,AUS,Princess Aria,JPN,Real Impact,IRE,Oratorio,0,400.0,0,39.52,151.0,159.87,480.0,200.0,360.0,293.57,102.7,1000.0,440.0,440.0,456.54,1.03,60.41,44.0,25.0,42.0,32.68,91.93,100.0,390.0,1.12,0.59
2025-11-09,13:30:00.000,13:30:24.000,Ararat,VIC,1,250247048,R1 4000m Hcap,250247049,Country,4000,Hcap,Slow,3,90324487,7,Grate Crack,Backmarker,0.0499999999999999,4.0,9.42,1.0,9,Henry Dwyer,Martin Kelly,65.0,12,b,78591,g,5,AUS,AUS,Ungrateful Ellen,IRE,Crackerjack King,IRE,Grey Swallow,0,9.59,0,2.72,7.8333,1369.89,12.0,8.0,9.0,9.69,4363.57,470.0,4.2,470.0,8.5,157.66,249.03,3.05,2.62,2.72,2.74,799.8,9.2,12.0,1.12,0.59
2025-11-09,13:30:00.000,13:30:24.000,Ararat,VIC,1,250247048,R1 4000m Hcap,250247049,Country,4000,Hcap,Slow,3,75673414,8,Jenni The Tank,Off Midfield,0.2222499999999999,3.0,13.36,,1,Shane Jackson,Tom Ryan,65.0,12,b/br,06883,m,5,NZ,AUS,King's Violet,FR,Almanzor,AUS,Commands,0,11.02,0,3.43,9.5,1671.2,13.5,9.2,11.0,11.55,1875.86,470.0,9.0,360.0,14.55,103.28,230.04,3.65,3.15,3.5,3.43,447.32,10.0,24.0,1.12,0.59
