venue_name,match_id,match_home_team,match_away_team,match_date,match_local_time,match_attendance,match_round,match_home_team_goals,match_home_team_behinds,match_home_team_score,match_away_team_goals,match_away_team_behinds,match_away_team_score,match_margin,match_winner,match_weather_temp_c,match_weather_type,player_id,player_first_name,player_last_name,player_height_cm,player_weight_kg,player_is_retired,player_team,guernsey_number,kicks,marks,handballs,disposals,effective_disposals,disposal_efficiency_percentage,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,hitouts_to_advantage,hitout_win_percentage,intercept_marks,marks_on_lead,pressure_acts,rating_points,ruck_contests,score_launches,shots_at_goal,spoils,subbed,player_position,date
Adelaide Oval,16719,Adelaide,Richmond,6/06/2024,19:00:00,0,13,10,11,71,12,7,79,8,Richmond,18,MOSTLY_SUNNY,11898,Brodie,Smith,194,0,FALSE,Adelaide,33,11,4,9,20,17,85,0,1,0,2,4,2,0,2,0,2,0,3,16,0,0,0,0,0,86,66,NA,0,0,2,455,1,2,0,0,1,0,0,7,8,0,3,0,0,0,0,8,8.2,0,0,1,0,NA,BPL,6/06/2024
Adelaide Oval,16719,Adelaide,Richmond,6/06/2024,19:00:00,0,13,10,11,71,12,7,79,8,Richmond,18,MOSTLY_SUNNY,11921,Dion,Prestia,175,0,FALSE,Richmond,3,8,3,6,14,8,57,0,0,0,4,2,2,2,2,0,0,0,7,8,0,0,1,0,1,75,61,NA,1,1,2,93,4,3,0,0,0,0,0,4,3,0,5,0,0,0,1,15,2.9,0,0,0,0,NA,R,6/06/2024
Adelaide Oval,16719,Adelaide,Richmond,6/06/2024,19:00:00,0,13,10,11,71,12,7,79,8,Richmond,18,MOSTLY_SUNNY,12171,Rory,Laird,178,0,FALSE,Adelaide,29,10,2,18,28,20,71,0,0,0,5,0,2,7,5,1,1,0,11,18,0,0,1,0,0,82,90,NA,2,5,8,273,4,1,0,0,0,0,0,13,4,0,9,0,0,0,0,19,14.3,0,1,0,0,NA,RR,6/06/2024
Adelaide Oval,16719,Adelaide,Richmond,6/06/2024,19:00:00,0,13,10,11,71,12,7,79,8,Richmond,18,MOSTLY_SUNNY,12180,Nick,Vlastuin,187,0,FALSE,Richmond,1,11,7,3,14,13,93,0,0,0,1,3,1,1,5,0,4,0,3,9,0,0,3,0,0,79,52,NA,0,1,2,278,3,6,0,3,3,0,0,5,10,0,2,0,0,4,0,7,3.2,0,2,0,2,NA,HBFR,6/06/2024
Adelaide Oval,16719,Adelaide,Richmond,6/06/2024,19:00:00,0,13,10,11,71,12,7,79,8,Richmond,18,MOSTLY_SUNNY,12324,Kamdyn,McIntosh,191,0,FALSE,Richmond,33,10,4,2,12,9,75,2,1,0,4,1,2,1,2,1,1,0,3,9,0,1,2,0,0,84,73,NA,0,1,5,254,2,4,1,0,0,0,0,5,7,0,1,0,0,2,0,18,12.3,0,2,4,0,NA,WL,6/06/2024
Adelaide Oval,16719,Adelaide,Richmond,6/06/2024,19:00:00,0,13,10,11,71,12,7,79,8,Richmond,18,MOSTLY_SUNNY,12379,Toby,Nankervis,199,0,FALSE,Richmond,25,8,4,5,13,9,69,0,0,43,7,3,1,3,3,1,0,0,10,4,2,0,6,0,1,76,118,NA,0,3,6,178,2,1,0,0,0,0,0,6,5,1,2,13,59.7,1,1,23,14.6,72,4,0,5,NA,RK,6/06/2024
Adelaide Oval,16719,Adelaide,Richmond,6/06/2024,19:00:00,0,13,10,11,71,12,7,79,8,Richmond,18,MOSTLY_SUNNY,12409,Daniel,Rioli,179,0,FALSE,Richmond,17,13,6,7,20,16,80,0,0,0,1,4,0,0,3,0,1,0,6,13,0,0,3,4,0,87,72,NA,0,0,2,416,5,6,0,2,2,0,0,5,9,1,6,0,0,1,1,11,10.6,0,1,0,2,NA,CHB,6/06/2024
Adelaide Oval,16719,Adelaide,Richmond,6/06/2024,19:00:00,0,13,10,11,71,12,7,79,8,Richmond,18,MOSTLY_SUNNY,12425,Jayden,Short,178,0,FALSE,Richmond,15,23,8,8,31,24,77,0,0,0,0,7,3,0,5,0,1,0,4,22,1,0,2,1,0,85,106,NA,0,0,6,704,6,4,0,0,1,0,0,6,17,0,3,0,0,1,0,9,6.7,0,2,0,2,NA,INT,6/06/2024
Adelaide Oval,16719,Adelaide,Richmond,6/06/2024,19:00:00,0,13,10,11,71,12,7,79,8,Richmond,18,MOSTLY_SUNNY,12441,Ben,Keays,185,0,FALSE,Adelaide,2,3,2,11,14,10,71,0,0,0,0,0,2,1,2,1,1,0,10,5,1,0,1,0,0,89,35,NA,0,1,5,70,3,1,0,0,0,1,1,9,1,5,7,0,0,0,0,16,10.6,0,2,0,0,NA,HFFL,6/06/2024
Adelaide Oval,16719,Adelaide,Richmond,6/06/2024,19:00:00,0,13,10,11,71,12,7,79,8,Richmond,18,MOSTLY_SUNNY,12464,Nathan,Broad,192,0,FALSE,Richmond,35,10,6,2,12,10,83,1,0,0,0,2,1,0,2,0,1,0,1,10,0,0,7,0,0,87,55,NA,0,0,1,281,1,2,0,0,2,0,0,4,8,0,1,0,0,1,1,4,10.8,0,0,1,7,NA,HBFL,6/06/2024
Adelaide Oval,16719,Adelaide,Richmond,6/06/2024,19:00:00,0,13,10,11,71,12,7,79,8,Richmond,18,MOSTLY_SUNNY,12512,Tim,Taranto,188,0,FALSE,Richmond,14,13,4,13,26,17,65,0,0,0,8,0,5,6,3,2,1,0,14,12,0,1,0,0,1,86,108,NA,2,4,5,423,3,2,1,0,0,0,0,8,7,1,10,0,0,0,0,28,17.1,0,0,0,0,NA,RR,6/06/2024
