EVENT_DATE,PATH,EVENT_ID,MARKET_TYPE,MARKET_ID,MARKET_NAME,SELECTION_ID,RUNNER_NAME,RUNNER_STATUS,IS_WINNER,TOTAL_GOALS,HOME_TEAM,AWAY_TEAM,HOME_MARGIN,HOME_SCORE,AWAY_SCORE,BEST_BACK_KICK_OFF,BEST_LAY_KICK_OFF,MATCHED_VOLUME_KICK_OFF,HALF_TIME,BEST_BACK_PRICE_HALF_TIME,BEST_LAY_PRICE_HALF_TIME,MATCHED_VOLUME_HALF_TIME,TOTAL_MATCHED_VOLUME
2024-11-01 00:00:00.000 Z,Australian Soccer/Australian A-League Women/Fixtures 1 Nov/Western United (W) v Wellington Phoenix (W),33721734,MATCH_ODDS,235010910,Match Odds,58805,The Draw,LOSER,0,6,Western United (W),Wellington Phoenix (W),-2,4,2,5,5.3,102.19,2024-11-01 08:47:42.000 Z,65,85,849.14,1091.55
2024-11-01 00:00:00.000 Z,Australian Soccer/Australian A-League Women/Fixtures 1 Nov/Western United (W) v Wellington Phoenix (W),33721734,MATCH_ODDS,235010910,Match Odds,41934374,Wellington Phoenix (W),LOSER,0,6,Western United (W),Wellington Phoenix (W),-2,4,2,7,7.8,207.01,2024-11-01 08:47:42.000 Z,330,330,1004.39,1072.22
2024-11-01 00:00:00.000 Z,Australian Soccer/Australian A-League Women/Fixtures 1 Nov/Western United (W) v Wellington Phoenix (W),33721734,MATCH_ODDS,235010910,Match Odds,50440795,Western United (W),WINNER,1,6,Western United (W),Wellington Phoenix (W),-2,4,2,1.48,1.51,540.02,2024-11-01 08:47:42.000 Z,1.01,1.02,9876.01,33608.01
2024-11-02 00:00:00.000 Z,Australian Soccer/Australian A-League Women/Fixtures 2 Nov/Canberra United (W) v Brisbane Roar FC (W),33740558,MATCH_ODDS,235346010,Match Odds,37905964,Brisbane Roar FC (W),LOSER,0,5,Canberra United (W),Brisbane Roar FC (W),-1,3,2,2.4,2.5,38.41,2024-11-02 05:48:33.000 Z,16,17.5,278.68,491.12
2024-11-02 00:00:00.000 Z,Australian Soccer/Australian A-League Women/Fixtures 2 Nov/Canberra United (W) v Brisbane Roar FC (W),33740558,MATCH_ODDS,235346010,Match Odds,8839009,Canberra United (W),WINNER,1,5,Canberra United (W),Brisbane Roar FC (W),-1,3,2,2.78,2.88,15.48,2024-11-02 05:48:33.000 Z,1.21,1.23,1023.09,8199.55
2024-11-02 00:00:00.000 Z,Australian Soccer/Australian A-League Women/Fixtures 2 Nov/Canberra United (W) v Brisbane Roar FC (W),33740558,MATCH_ODDS,235346010,Match Odds,58805,The Draw,LOSER,0,5,Canberra United (W),Brisbane Roar FC (W),-1,3,2,4.2,4.4,9.85,2024-11-02 05:48:33.000 Z,8,8.4,66.56,420.71
2024-11-02 00:00:00.000 Z,Australian Soccer/Australian A-League Women/Fixtures 2 Nov/Central Coast Mariners (W) v Sydney FC (W),33740563,MATCH_ODDS,235346115,Match Odds,61640820,Central Coast Mariners (W),WINNER,1,4,Central Coast Mariners (W),Sydney FC (W),-2,3,1,5.9,6,68.05,2024-11-02 04:03:00.000 Z,2.2,2.24,914.87,16150.66
2024-11-02 00:00:00.000 Z,Australian Soccer/Australian A-League Women/Fixtures 2 Nov/Central Coast Mariners (W) v Sydney FC (W),33740563,MATCH_ODDS,235346115,Match Odds,8839012,Sydney FC (W),LOSER,0,4,Central Coast Mariners (W),Sydney FC (W),-2,3,1,1.64,1.68,105.83,2024-11-02 04:03:00.000 Z,3.95,4.1,2649.93,3174.54
2024-11-02 00:00:00.000 Z,Australian Soccer/Australian A-League Women/Fixtures 2 Nov/Central Coast Mariners (W) v Sydney FC (W),33740563,MATCH_ODDS,235346115,Match Odds,58805,The Draw,LOSER,0,4,Central Coast Mariners (W),Sydney FC (W),-2,3,1,4.3,4.5,24.94,2024-11-02 04:03:00.000 Z,3.3,3.4,889.12,1165.93
2024-11-02 00:00:00.000 Z,Australian Soccer/Australian A-League Women/Fixtures 2 Nov/Adelaide United (W) v Melbourne Victory (W),33740564,MATCH_ODDS,235346220,Match Odds,8839013,Adelaide United (W),LOSER,0,,Adelaide United (W),Melbourne Victory (W),1,2,,6.6,7.2,17.66,2024-11-02 06:51:26.000 Z,,,60.62,60.62
2024-11-02 00:00:00.000 Z,Australian Soccer/Australian A-League Women/Fixtures 2 Nov/Adelaide United (W) v Melbourne Victory (W),33740564,MATCH_ODDS,235346220,Match Odds,8839001,Melbourne Victory (W),WINNER,1,,Adelaide United (W),Melbourne Victory (W),1,2,,1.47,1.51,22.73,2024-11-02 06:51:26.000 Z,,,87.07,87.07
2024-11-02 00:00:00.000 Z,Australian Soccer/Australian A-League Women/Fixtures 2 Nov/Adelaide United (W) v Melbourne Victory (W),33740564,MATCH_ODDS,235346220,Match Odds,58805,The Draw,LOSER,0,,Adelaide United (W),Melbourne Victory (W),1,2,,5.1,5.7,1.66,2024-11-02 06:51:26.000 Z,,,25.5,25.5
2024-11-03 00:00:00.000 Z,Australian Soccer/Australian A-League Women/Fixtures 3 Nov/Melbourne City (W) v Perth Glory (W),33740560,MATCH_ODDS,235346325,Match Odds,10475264,Melbourne City (W),WINNER,1,7,Melbourne City (W),Perth Glory (W),-3,5,2,1.22,1.26,907.18,2024-11-03 04:48:28.000 Z,2.92,3,6812.2,10805.68
2024-11-03 00:00:00.000 Z,Australian Soccer/Australian A-League Women/Fixtures 3 Nov/Melbourne City (W) v Perth Glory (W),33740560,MATCH_ODDS,235346325,Match Odds,8839004,Perth Glory (W),LOSER,0,7,Melbourne City (W),Perth Glory (W),-3,5,2,16,17.5,65.41,2024-11-03 04:48:28.000 Z,2.74,2.82,643.71,1140.92
