EVENT_DATE,PATH,EVENT_ID,MARKET_TYPE,MARKET_ID,MARKET_NAME,SELECTION_ID,RUNNER_NAME,RUNNER_STATUS,IS_WINNER,TOTAL_POINTS,HOME_TEAM,AWAY_TEAM,HOME_MARGIN,HOME_SCORE,AWAY_SCORE,BEST_BACK_FIRST_BOUNCE,BEST_LAY_FIRST_BOUNCE,MATCHED_VOLUME_FIRST_BOUNCE,BEST_BACK_PRICE_APPROX_QUARTER_TIME,BEST_LAY_PRICE_APPROX_QUARTER_TIME,MATCHED_VOLUME_QUARTER_TIME,BEST_BACK_PRICE_HALF_TIME,BEST_LAY_PRICE_HALF_TIME,MATCHED_VOLUME_HALF_TIME,BEST_BACK_PRICE_APPROX_THREE_QUARTER_TIME,BEST_LAY_PRICE_APPROX_THREE_QUARTER_TIME,MATCHED_VOLUME_APPROX_THREE_QUARTER_TIME,TOTAL_MATCHED_VOLUME
25/08/2022,Women's AFL/Carlton (W) v Collingwood (W),31684708,MATCH_ODDS,202435516,Match Odds,12443132,Carlton (W),LOSER,0,54,Carlton (W),Collingwood (W),-18,18,36,2.86,3,1222.92,1.5,4,1344.72,1.5,10,1383.9,1.01,1000,1402.58,1402.61
25/08/2022,Women's AFL/Carlton (W) v Collingwood (W),31684708,MATCH_ODDS,202435516,Match Odds,12443130,Collingwood (W),WINNER,1,54,Carlton (W),Collingwood (W),-18,18,36,1.46,1.56,8495.01,1.1,2,8953.68,1.1,1.8,8988.4,1.02,1.28,9138.11,9220.25
26/08/2022,Women's AFL/Adelaide (W) v Melbourne (W),31684712,MATCH_ODDS,202435900,Match Odds,12443131,Adelaide (W),LOSER,0,70,Adelaide (W),Melbourne (W),-18,26,44,2.1,2.12,4722.92,1.01,4.2,4919.97,1.01,12.5,4932.19,1.01,12.5,4932.19,4937.28
26/08/2022,Women's AFL/Adelaide (W) v Melbourne (W),31684712,MATCH_ODDS,202435900,Match Odds,12443129,Melbourne (W),WINNER,1,70,Adelaide (W),Melbourne (W),-18,26,44,1.88,1.9,11218.71,1.01,2.54,12338.3,1.01,1.88,12362.59,1.01,2.54,12362.59,12885.04
27/08/2022,Women's AFL/North Melbourne (W) v Gold Coast (W),31684713,MATCH_ODDS,202436284,Match Odds,26814172,Gold Coast (W),LOSER,0,54,North Melbourne (W),Gold Coast (W),26,40,14,1.67,1000,94.94,1.67,1000,94.94,1.67,1000,94.94,1.67,1000,96.37,96.37
27/08/2022,Women's AFL/North Melbourne (W) v Gold Coast (W),31684713,MATCH_ODDS,202436284,Match Odds,22505674,North Melbourne (W),WINNER,1,54,North Melbourne (W),Gold Coast (W),26,40,14,1.06,1.12,5262.16,1.01,1.06,6116.47,1.01,1.06,6116.47,,1.01,6243.44,6243.44
27/08/2022,Women's AFL/West Coast (W) v Port Adelaide (W),31684715,MATCH_ODDS,202436668,Match Odds,47691800,Port Adelaide (W),LOSER,0,68,West Coast (W),Port Adelaide (W),12,40,28,1.37,1.55,782.65,1.5,3.15,1219.78,1.01,3.15,1234.41,1.01,1.4,1234.41,1234.78
27/08/2022,Women's AFL/West Coast (W) v Port Adelaide (W),31684715,MATCH_ODDS,202436668,Match Odds,26814174,West Coast (W),WINNER,1,68,West Coast (W),Port Adelaide (W),12,40,28,3.15,6.2,986.43,1.5,6.2,1030.24,2,6.2,1040.24,1.2,42,1045.24,1134.3
27/08/2022,Women's AFL/Sydney (W) v St Kilda (W),31684730,MATCH_ODDS,202437052,Match Odds,26814175,St Kilda (W),WINNER,1,83,Sydney (W),St Kilda (W),-29,27,56,1.46,1.57,2861.25,1.38,1.66,2922.17,1.01,1.22,2930.82,,1.06,2941,2941
27/08/2022,Women's AFL/Sydney (W) v St Kilda (W),31684730,MATCH_ODDS,202437052,Match Odds,47691797,Sydney (W),LOSER,0,83,Sydney (W),St Kilda (W),-29,27,56,2.52,6.4,773.45,2.4,6.4,813.04,5,24,818.04,2.4,1000,818.33,818.36
27/08/2022,Women's AFL/Essendon (W) v Hawthorn (W),31684734,MATCH_ODDS,202437436,Match Odds,47691799,Essendon (W),WINNER,1,80,Essendon (W),Hawthorn (W),26,53,27,1.1,1.16,3512.67,1.01,1.3,3573.7,1.01,1.3,3717.94,1.1,1.5,4065.67,4238.79
27/08/2022,Women's AFL/Essendon (W) v Hawthorn (W),31684734,MATCH_ODDS,202437436,Match Odds,47691798,Hawthorn (W),LOSER,0,80,Essendon (W),Hawthorn (W),26,53,27,6.2,1000,308.46,3.55,1000,313.46,3.55,12.5,326.01,2.2,12.5,520.01,520.04
28/08/2022,Women's AFL/Western Bulldogs (W) v GWS (W),31684735,MATCH_ODDS,202437820,Match Odds,12543370,GWS (W),LOSER,0,75,Western Bulldogs (W),GWS (W),7,41,34,3,7,184.85,1.01,7,185.86,2,7,187.28,1.01,1000,190.86,190.86
28/08/2022,Women's AFL/Western Bulldogs (W) v GWS (W),31684735,MATCH_ODDS,202437820,Match Odds,12443127,Western Bulldogs (W),WINNER,1,75,Western Bulldogs (W),GWS (W),7,41,34,1.46,1.56,1561.93,1.01,1000,1562,1.01,1000,1570.52,1.05,1.5,1593.99,1597.41
28/08/2022,Women's AFL/Brisbane (W) v Fremantle (W),31684739,MATCH_ODDS,202438204,Match Odds,12551709,Brisbane (W),WINNER,1,103,Brisbane (W),Fremantle (W),49,76,27,1.1,1.13,4180.7,1.01,1.16,4180.7,1.01,1.16,4180.7,,1000,4184.11,4190.58
28/08/2022,Women's AFL/Brisbane (W) v Fremantle (W),31684739,MATCH_ODDS,202438204,Match Odds,12443128,Fremantle (W),LOSER,0,103,Brisbane (W),Fremantle (W),49,76,27,6.6,1000,260.37,1.01,1000,260.37,1.01,1000,260.37,1.02,1000,260.37,260.4
28/08/2022,Women's AFL/Geelong (W) v Richmond (W),31684740,MATCH_ODDS,202438588,Match Odds,22505676,Geelong (W),WINNER,1,26,Geelong (W),Richmond (W),4,15,11,2.04,2.22,8792.08,1.99,3,9447.81,1.99,1000,9967.81,1.99,1000,9967.81,10036.93
28/08/2022,Women's AFL/Geelong (W) v Richmond (W),31684740,MATCH_ODDS,202438588,Match Odds,26814173,Richmond (W),LOSER,0,26,Geelong (W),Richmond (W),4,15,11,1.82,1.97,4721.31,1.01,2.14,5482.99,1.1,2.14,5482.99,1.02,2.14,5482.99,5529.72
2/09/2022,Women's AFL/Melbourne (W) v North Melbourne (W),31700671,MATCH_ODDS,202763835,Match Odds,12443129,Melbourne (W),WINNER,1,50,Melbourne (W),North Melbourne (W),2,26,24,1.28,1.29,1866.36,1.01,1000,3661.36,1.01,1000,3661.36,1.02,1000,3665.97,3680.81
2/09/2022,Women's AFL/Melbourne (W) v North Melbourne (W),31700671,MATCH_ODDS,202763835,Match Odds,22505674,North Melbourne (W),LOSER,0,50,Melbourne (W),North Melbourne (W),2,26,24,4.4,1000,54.28,1.01,1000,54.28,1.5,1000,54.28,1.02,1000,54.28,67.43
3/09/2022,Women's AFL/Richmond (W) v Adelaide (W),31700672,MATCH_ODDS,202764079,Match Odds,12443131,Adelaide (W),WINNER,1,63,Richmond (W),Adelaide (W),-9,27,36,1.17,1.57,2216.4,1.05,1.57,2338.4,1.05,1.57,2338.4,1.05,1.57,2347.13,2350.51
3/09/2022,Women's AFL/Richmond (W) v Adelaide (W),31700672,MATCH_ODDS,202764079,Match Odds,26814173,Richmond (W),LOSER,0,63,Richmond (W),Adelaide (W),-9,27,36,6,1000,69,1.01,1000,69,1.01,1000,69,1.01,1000,74,74
3/09/2022,Women's AFL/Port Adelaide (W) v Western Bulldogs (W),31700674,MATCH_ODDS,202764323,Match Odds,47691800,Port Adelaide (W),LOSER,0,37,Port Adelaide (W),Western Bulldogs (W),-19,9,28,3,1000,133.63,1.01,1000,133.63,1.01,1000,133.63,1.3,1000,133.63,138.63
3/09/2022,Women's AFL/Port Adelaide (W) v Western Bulldogs (W),31700674,MATCH_ODDS,202764323,Match Odds,12443127,Western Bulldogs (W),WINNER,1,37,Port Adelaide (W),Western Bulldogs (W),-19,9,28,1.42,2.2,251.25,1.2,2.2,452.67,1.2,2.2,452.67,1.2,2.2,452.67,687.55
3/09/2022,Women's AFL/Fremantle (W) v Geelong (W),31700677,MATCH_ODDS,202764567,Match Odds,12443128,Fremantle (W),LOSER,0,28,Fremantle (W),Geelong (W),-26,1,27,1.51,1.6,458.97,1.01,2.2,458.97,1.01,1000,460.44,1.02,1000,460.44,460.47
3/09/2022,Women's AFL/Fremantle (W) v Geelong (W),31700677,MATCH_ODDS,202764567,Match Odds,22505676,Geelong (W),WINNER,1,28,Fremantle (W),Geelong (W),-26,1,27,2.64,1000,162.24,1.01,1000,162.24,1.01,1000,164.01,1.01,1000,164.01,167.39
4/09/2022,Women's AFL/Essendon (W) v Carlton (W),31700681,MATCH_ODDS,202764811,Match Odds,12443132,Carlton (W),WINNER,1,63,Essendon (W),Carlton (W),-1,31,32,2.44,3,689.2,1.01,3,724.68,1.01,3,724.68,1.01,1.07,727.38,785.34
4/09/2022,Women's AFL/Essendon (W) v Carlton (W),31700681,MATCH_ODDS,202764811,Match Odds,47691799,Essendon (W),LOSER,0,63,Essendon (W),Carlton (W),-1,31,32,1.62,1000,900.47,1.01,1000,900.47,1.01,1000,900.47,1.01,1000,900.47,908.34
4/09/2022,Women's AFL/Collingwood (W) v Sydney (W),31700682,MATCH_ODDS,202765055,Match Odds,12443130,Collingwood (W),WINNER,1,59,Collingwood (W),Sydney (W),31,45,14,1.04,1.05,1313.51,1.01,1000,1660.16,1.01,1000,1660.16,,1.01,1663.54,1663.54
4/09/2022,Women's AFL/Collingwood (W) v Sydney (W),31700682,MATCH_ODDS,202765055,Match Odds,47691797,Sydney (W),LOSER,0,59,Collingwood (W),Sydney (W),31,45,14,16,25,63.55,2,1000,63.55,1.67,1000,63.55,1.67,1000,63.55,63.55
4/09/2022,Women's AFL/GWS (W) v Brisbane (W),31700683,MATCH_ODDS,202765299,Match Odds,12551709,Brisbane (W),WINNER,1,87,GWS (W),Brisbane (W),-47,20,67,1.04,1.15,1660.64,1.01,1.7,1660.64,1.01,1.07,1687.12,,1.01,1706.55,1706.55
