LOCAL_MEETING_DATE,SCHEDULED_RACE_TIME,ACTUAL_OFF_TIME,TRACK,STATE_CODE,RACE_NO,WIN_MARKET_ID,WIN_MARKET_NAME,PLACE_MARKET_ID,RACING_TYPE,DISTANCE,RACE_TYPE,SELECTION_ID,TAB_NUMBER,SELECTION_NAME,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,WIN_BSP_VOLUME,WIN_PREPLAY_MAX_PRICE_TAKEN,WIN_PREPLAY_MIN_PRICE_TAKEN,WIN_PREPLAY_LAST_PRICE_TAKEN,WIN_PREPLAY_WEIGHTED_AVERAGE_PRICE_TAKEN,WIN_PREPLAY_VOLUME,WIN_INPLAY_MAX_PRICE_TAKEN,WIN_INPLAY_MIN_PRICE_TAKEN,WIN_LAST_PRICE_TAKEN,WIN_INPLAY_WEIGHTED_AVERAGE_PRICE_TAKEN,WIN_INPLAY_VOLUME,PLACE_BSP_VOLUME,PLACE_MAX_PRICE_TAKEN,PLACE_MIN_PRICE_TAKEN,PLACE_LAST_PRICE_TAKEN,PLACE_WEIGHTED_AVERAGE_PRICE_TAKEN,PLACE_PREPLAY_VOLUME,BEST_AVAIL_BACK_AT_SCHEDULED_OFF,BEST_AVAIL_LAY_AT_SCHEDULED_OFF,BACK_MARKET_PERCENTAGE_AT_SCHEDULED_OFF,LAY_MARKET_PERCENTAGE_AT_SCHEDULED_OFF
1/10/2022,5:43:00 PM,5:44:15 PM,Albion Park,QLD,1,204149161,R1 1660m Pace M,204149162,Harness,1660,Pace,44193656,1,So Much More,LOSER,5.45,WINNER,1.63,799.62,6.8,4.6,4.8,5.19,3491.73,18,1.43,18,2.79,1838.56,823.25,1.88,1.6,1.72,1.77,500.14,5.7,5.9,1.04,0.99
1/10/2022,5:43:00 PM,5:44:15 PM,Albion Park,QLD,1,204149161,R1 1660m Pace M,204149162,Harness,1660,Pace,38185205,2,Delightful Reason,LOSER,19.15,LOSER,3.86,306.29,19.5,14,18,17.02,287.63,980,9,500,22.2,160.46,418.69,,,,,,17,17.5,1.04,0.99
1/10/2022,5:43:00 PM,5:44:15 PM,Albion Park,QLD,1,204149161,R1 1660m Pace M,204149162,Harness,1660,Pace,42170703,3,Magical Maya,LOSER,14.33,LOSER,3.81,348.47,16.5,6.6,14.5,12.55,856.19,990,6.6,990,26.01,183.34,146.28,3.85,2.98,3.8,3.25,267.79,14,14.5,1.04,0.99
1/10/2022,5:43:00 PM,5:44:15 PM,Albion Park,QLD,1,204149161,R1 1660m Pace M,204149162,Harness,1660,Pace,39811484,4,Awaywego,LOSER,3.15,WINNER,1.49,1818.86,4.1,2.84,3.05,3.21,7153.07,120,1.13,120,2.29,4652.42,1257.27,1.82,1.46,1.47,1.55,357.96,2.94,2.98,1.04,0.99
1/10/2022,5:43:00 PM,5:44:15 PM,Albion Park,QLD,1,204149161,R1 1660m Pace M,204149162,Harness,1660,Pace,24704748,5,Mummys Boy,LOSER,57.15,LOSER,13.51,175.47,85,36,75,61.81,67.44,990,28,990,104.85,12.52,149.39,,,,,,55,65,1.04,0.99
1/10/2022,5:43:00 PM,5:44:15 PM,Albion Park,QLD,1,204149161,R1 1660m Pace M,204149162,Harness,1660,Pace,24914343,6,Rocknroll Classic,WINNER,32,WINNER,6.39,149.07,34,22,34,26.19,108.62,980,1.06,1.06,2.66,2322.49,112.36,6.8,5.2,6.2,5.45,32.42,23,24,1.04,0.99
1/10/2022,5:43:00 PM,5:44:15 PM,Albion Park,QLD,1,204149161,R1 1660m Pace M,204149162,Harness,1660,Pace,23493524,7,Mistery Road,LOSER,29.44,LOSER,6.23,228.4,32,17,29,26.74,235.81,980,4.5,980,22.21,95.47,187.79,,,,,,22,28,1.04,0.99
1/10/2022,5:43:00 PM,5:44:15 PM,Albion Park,QLD,1,204149161,R1 1660m Pace M,204149162,Harness,1660,Pace,838821,8,Just Joshin,LOSER,31.94,LOSER,49.68,173.41,40,14.5,29,25.23,340,980,26,980,63.26,40.26,35.49,18.5,3.15,18.5,8.23,379.36,16.5,20,1.04,0.99
1/10/2022,5:43:00 PM,5:44:15 PM,Albion Park,QLD,1,204149161,R1 1660m Pace M,204149162,Harness,1660,Pace,19709861,9,Hipstar,LOSER,4.1,LOSER,1.69,1372.41,4.9,3.8,4.2,4.18,2323.31,770,3.35,530,19.61,811.05,723.6,1.76,1.64,1.65,1.64,115.5,4.6,4.7,1.04,0.99
1/10/2022,5:43:00 PM,5:44:15 PM,Albion Park,QLD,1,204149161,R1 1660m Pace M,204149162,Harness,1660,Pace,36255343,10,The Hummer,LOSER,139.92,LOSER,73.51,60.11,280,120,260,152.71,34.2,990,20,990,64.25,28.62,26.79,55,42,42,48.5,0.02,140,230,1.04,0.99
