LOCAL_MEETING_DATE,SCHEDULED_RACE_TIME,ACTUAL_OFF_TIME,TRACK,STATE_CODE,RACE_NO,WIN_MARKET_ID,WIN_MARKET_NAME,PLACE_MARKET_ID,RACING_TYPE,DISTANCE,RACE_TYPE,SELECTION_ID,TAB_NUMBER,SELECTION_NAME,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,WIN_BSP_VOLUME,WIN_PREPLAY_MAX_PRICE_TAKEN,WIN_PREPLAY_MIN_PRICE_TAKEN,WIN_PREPLAY_LAST_PRICE_TAKEN,WIN_PREPLAY_WEIGHTED_AVERAGE_PRICE_TAKEN,WIN_PREPLAY_VOLUME,WIN_INPLAY_MAX_PRICE_TAKEN,WIN_INPLAY_MIN_PRICE_TAKEN,WIN_LAST_PRICE_TAKEN,WIN_INPLAY_WEIGHTED_AVERAGE_PRICE_TAKEN,WIN_INPLAY_VOLUME,PLACE_BSP_VOLUME,PLACE_MAX_PRICE_TAKEN,PLACE_MIN_PRICE_TAKEN,PLACE_LAST_PRICE_TAKEN,PLACE_WEIGHTED_AVERAGE_PRICE_TAKEN,PLACE_PREPLAY_VOLUME,BEST_AVAIL_BACK_AT_SCHEDULED_OFF,BEST_AVAIL_LAY_AT_SCHEDULED_OFF,BACK_MARKET_PERCENTAGE_AT_SCHEDULED_OFF,LAY_MARKET_PERCENTAGE_AT_SCHEDULED_OFF
2026-06-01,12:40:00.000,12:41:14.000,Corowa,NSW,1,258736248,R1 900m Mdn,258736249,Thoroughbred,900,Mdn,98995304,2,Noteabeel,WINNER,14.5,WINNER,4.7,469.71,17,11.5,13.5,13.68,1356.13,9,1.02,1.06,1.43,504.03,132.65,4.9,2.98,4.6,3.91,305.84,13.5,14.5,1.01,0.97
2026-06-01,12:40:00.000,12:41:14.000,Corowa,NSW,1,258736248,R1 900m Mdn,258736249,Thoroughbred,900,Mdn,98995305,3,Vodka Soda,LOSER,38,LOSER,8.6,389.21,48,19.5,32,29.18,350.24,770,5.1,250,34.97,102.34,75.66,6.6,3.8,6.6,4.92,43.8,32,34,1.01,0.97
2026-06-01,12:40:00.000,12:41:14.000,Corowa,NSW,1,258736248,R1 900m Mdn,258736249,Thoroughbred,900,Mdn,2658367,4,Hes Fierce,LOSER,3.65,WINNER,1.39,1517.04,3.6,2.5,3.5,3.13,3302.84,65,1.73,40,5.68,303.99,769.66,1.45,1.38,1.39,1.41,155.71,3.35,3.45,1.01,0.97
2026-06-01,12:40:00.000,12:41:14.000,Corowa,NSW,1,258736248,R1 900m Mdn,258736249,Thoroughbred,900,Mdn,98995306,5,Silk Slip,LOSER,206.22,LOSER,22,103.14,540,110,220,263.97,67.42,690,200,690,225.64,2.62,56.28,23,7,23,20.49,11.89,220,280,1.01,0.97
2026-06-01,12:40:00.000,12:41:14.000,Corowa,NSW,1,258736248,R1 900m Mdn,258736249,Thoroughbred,900,Mdn,98995307,6,Vickies Dream,LOSER,2.72,WINNER,1.35,3569.05,4.3,2.32,2.8,3.1,16190.35,130,2.32,110,5.34,161.64,697.34,1.59,1.35,1.37,1.38,1625.07,2.9,2.92,1.01,0.97
2026-06-01,12:40:00.000,12:41:14.000,Corowa,NSW,1,258736248,R1 900m Mdn,258736249,Thoroughbred,900,Mdn,97726075,7,Aerial Artist,LOSER,26,LOSER,4.61,298.88,55,22,28,25.62,621.4,770,6,450,21.35,126.1,144.13,5.6,4.2,4.3,4.61,110.67,27,29,1.01,0.97
2026-06-01,12:40:00.000,12:41:14.000,Corowa,NSW,1,258736248,R1 900m Mdn,258736249,Thoroughbred,900,Mdn,98995308,9,Im A Dream Girl,LOSER,440.15,LOSER,70,87.63,540,200,520,384.23,39.51,690,690,690,690,0.02,59.58,50,48,48,49.53,10.62,380,400,1.01,0.97
2026-06-01,12:40:00.000,12:41:14.000,Corowa,NSW,1,258736248,R1 900m Mdn,258736249,Thoroughbred,900,Mdn,89060741,10,Metro Girl,LOSER,11.5,LOSER,3.05,761.79,15,9,9.6,11.09,1608.15,250,5.1,250,17.72,23.45,250.55,2.7,2.48,2.64,2.64,168.02,10.5,12,1.01,0.97
2026-06-01,12:40:00.000,12:41:14.000,Corowa,NSW,1,258736248,R1 900m Mdn,258736249,Thoroughbred,900,Mdn,84943433,11,Shes First Lady,LOSER,11.5,LOSER,2.18,689.06,19.5,7.2,10,9.53,2109.41,250,10.5,250,13.44,135.44,236.4,2.5,2.18,2.2,2.36,258.37,10,11,1.01,0.97
2026-06-01,12:40:00.000,12:41:14.000,Corowa,NSW,1,258736248,R1 900m Mdn,258736249,Thoroughbred,900,Mdn,98995309,12,Tenacious Tiger,LOSER,44,LOSER,7.2,249.45,85,23,55,49.58,303.43,770,12,450,33.69,61.8,99.98,8.6,3.05,8,7.09,267.18,44,48,1.01,0.97
