EVENT_DATE,PATH,EVENT_ID,MARKET_TYPE,MARKET_ID,MARKET_NAME,SELECTION_ID,RUNNER_NAME,RUNNER_STATUS,IS_WINNER,HOME_TEAM,AWAY_TEAM,BEST_BACK_FIRST_BALL,BEST_LAY_FIRST_BALL,MATCHED_VOLUME_FIRST_BALL,BEST_BACK_FIRST_INN_FOUR_OV,BEST_LAY_FIRST_INN_FOUR_OV,MATCHED_VOLUME_FIRST_INN_FOUR_OV,BEST_BACK_FIRST_INN_SIX_OV,BEST_LAY_FIRST_INN_SIX_OV,MATCHED_VOLUME_FIRST_INN_SIX_OV,BEST_BACK_FIRST_INN_TEN_OV,BEST_LAY_FIRST_INN_TEN_OV,MATCHED_VOLUME_FIRST_INN_TEN_OV,BEST_BACK_FIRST_INN_FIFTEEN_OV,BEST_LAY_FIRST_INN_FIFTEEN_OV,MATCHED_VOLUME_FIRST_INN_FIFTEEN_OV,BEST_BACK_FIRST_INN_CONCLUSION,BEST_LAY_FIRST_INN_CONCLUSION,MATCHED_VOLUME_FIRST_INN_CONCLUSION,BEST_BACK_SECOND_INN_FOUR_OV,BEST_LAY_SECOND_INN_FOUR_OV,MATCHED_VOLUME_SECOND_INN_FOUR_OV,BEST_BACK_SECOND_INN_SIX_OV,BEST_LAY_SECOND_INN_SIX_OV,MATCHED_VOLUME_SECOND_INN_SIX_OV,BEST_BACK_SECOND_INN_TEN_OV,BEST_LAY_SECOND_INN_TEN_OV,MATCHED_VOLUME_SECOND_INN_TEN_OV,BEST_BACK_SECOND_INN_FIFTEEN_OV,BEST_LAY_SECOND_INN_FIFTEEN_OV,MATCHED_VOLUME_SECOND_INN_FIFTEEN_OV,TOTAL_MATCHED_VOLUME
2023-12-07 00:00:00.000 +0000, Twenty20 Big Bash/Brisbane Heat v Melbourne Stars,32821471,MATCH_ODDS,221680061,Match Odds,5728194,Brisbane Heat,WINNER,1,Brisbane Heat,Melbourne Stars,1.96,1.97,669056.85,1.57,1.55,3608157.12,1.49,1.46,5142293.34,1.4,1.37,7803336.4,1.27,1.26,11523451.89,1.21,1.18,20072021.09,1.16,1.13,29431208.37,1.05,1.04,31363369.08,1.01,1.01,33403913.75,,1.01,33804331.33,33804331.33
2023-12-07 00:00:00.000 +0000, Twenty20 Big Bash/Brisbane Heat v Melbourne Stars,32821471,MATCH_ODDS,221680061,Match Odds,5728187,Melbourne Stars,LOSER,0,Brisbane Heat,Melbourne Stars,2.02,2.04,229398.05,2.76,2.74,968498.79,3.3,3.1,1115317.2,3.65,3.6,1496678.66,4.8,4.3,1639004.4,6.2,6.2,1933666.8,8.2,7.8,2057104.96,25,22,2126570.32,130,100,2147844.55,1000,,2156504.64,2156504.83
2023-12-08 00:00:00.000 +0000, Twenty20 Big Bash/Sydney Sixers v Melbourne Renegades,32821473,MATCH_ODDS,221680333,Match Odds,5728189,Melbourne Renegades,LOSER,0,Sydney Sixers,Melbourne Renegades,2.32,2.36,96540.72,4.3,4,272376.45,2.94,2.88,352597.84,4,4,377280.51,4,4,515507.4,3.6,3.5,777030.62,3.2,3,1132283.44,5.1,5,1271785.52,5.3,5.1,1583800.37,3.3,3.1,1792472.84,2022918.2
2023-12-08 00:00:00.000 +0000, Twenty20 Big Bash/Sydney Sixers v Melbourne Renegades,32821473,MATCH_ODDS,221680333,Match Odds,5728225,Sydney Sixers,WINNER,1,Sydney Sixers,Melbourne Renegades,1.74,1.75,1259469.92,1.39,1.24,5069312.42,1.56,1.48,7766297.27,1.34,1.32,10504160.68,1.34,1.32,14549125.23,1.4,1.38,22015751.8,1.51,1.43,30499368.63,1.25,1.23,33164000.05,1.26,1.22,37642355.22,1.52,1.37,46148896.44,59026288.86
2023-12-11 00:00:00.000 +0000, Twenty20 Big Bash/Hobart Hurricanes v Sydney Sixers,32853006,MATCH_ODDS,222218327,Match Odds,5728193,Hobart Hurricanes,LOSER,0,Hobart Hurricanes,Sydney Sixers,1.79,1.8,1195750.28,1.61,1.54,6172344.38,1.61,1.59,7847984.13,4.5,4.4,10337042.81,4.2,4,10812747.68,4.9,4.7,11317793.42,6,6.2,11543597.17,4.3,4,11691840.27,7,6.6,11915262.75,7.6,5.9,12114561.59,12272138.53
2023-12-11 00:00:00.000 +0000, Twenty20 Big Bash/Hobart Hurricanes v Sydney Sixers,32853006,MATCH_ODDS,222218327,Match Odds,5728225,Sydney Sixers,WINNER,1,Hobart Hurricanes,Sydney Sixers,2.24,2.26,118115.99,2.84,2.8,572978.8,2.66,2.64,764066.54,1.29,1.28,5255856.86,1.34,1.31,8896831.55,1.28,1.25,13927180.34,1.21,1.18,21739764.8,1.34,1.29,23530662.72,1.18,1.17,27675442.44,1.17,1.14,35045882.33,44138369.22
2023-12-12 00:00:00.000 +0000, Twenty20 Big Bash/Sydney Thunder v Brisbane Heat,32853009,MATCH_ODDS,222218525,Match Odds,5728194,Brisbane Heat,WINNER,1,Sydney Thunder,Brisbane Heat,2.08,2.1,409916.96,2.22,2.18,2288366.62,2.32,2.28,2257603.23,1.86,1.84,3180724.05,2.08,2.04,6095488.95,2.6,2.5,9202969.54,1.91,1.83,12222821.49,2.34,2.4,13764598.73,1.36,1.32,18426310.11,1.13,1.08,30404355.4,40381298.3
2023-12-12 00:00:00.000 +0000, Twenty20 Big Bash/Sydney Thunder v Brisbane Heat,32853009,MATCH_ODDS,222218525,Match Odds,5728190,Sydney Thunder,LOSER,0,Sydney Thunder,Brisbane Heat,1.91,1.92,829571.27,1.92,1.82,6885109.82,1.8,1.76,6659301.73,2.28,2.16,10035912.34,1.98,1.9,12929056.65,1.65,1.63,18059395.68,2.18,2.1,22542270.87,1.75,1.67,24184143.36,3.85,3.55,26313028.4,12.5,10,26612122.7,26823540.44
2023-12-13 00:00:00.000 +0000, Twenty20 Big Bash/Melbourne Stars v Perth Scorchers,32853012,MATCH_ODDS,222295568,Match Odds,5728187,Melbourne Stars,LOSER,0,Melbourne Stars,Perth Scorchers,2.76,2.84,82942.44,2.68,2.62,463579.79,3,3.05,609035.66,6.4,6.8,785573.34,27,26,831615.06,30,29,857420.03,100,90,902394.96,310,280,905158.48,1000,890,908914.21,,,908926.46,908926.46
2023-12-13 00:00:00.000 +0000, Twenty20 Big Bash/Melbourne Stars v Perth Scorchers,32853012,MATCH_ODDS,222295568,Match Odds,5728188,Perth Scorchers,WINNER,1,Melbourne Stars,Perth Scorchers,1.56,1.57,898271.11,1.61,1.58,4975080.78,1.51,1.38,6049801.78,1.17,1.16,9826268.98,1.07,1.03,16394085.33,1.04,1.03,18938821.28,1.02,1.01,23239707.48,,1.01,23382479.77,,1.01,23439653.35,,,23440001.65,23440001.65
2023-12-19 00:00:00.000 +0000, Twenty20 Big Bash/Adelaide Strikers v Sydney Thunder,32853015,MATCH_ODDS,222508451,Match Odds,5728253,Adelaide Strikers,WINNER,1,Adelaide Strikers,Sydney Thunder,2,2.02,1050148.39,2.18,2.12,2367121.69,2.82,2.8,2737235.28,3.15,3.15,3046638.78,5.5,5.3,3587440.25,3.8,3.7,3937118.7,2.22,2.14,4415861.37,2.4,2.34,4852763.22,1.43,1.38,7707964.04,1.12,1.08,17484886.06,26739994.79
2023-12-19 00:00:00.000 +0000, Twenty20 Big Bash/Adelaide Strikers v Sydney Thunder,32853015,MATCH_ODDS,222508451,Match Odds,5728190,Sydney Thunder,LOSER,0,Adelaide Strikers,Sydney Thunder,1.98,1.99,325451.28,1.91,1.84,3219867.96,1.55,1.53,4684821.27,1.46,1.45,6810778.61,1.24,1.22,11518296.81,1.37,1.35,16588568.15,1.94,1.75,22071326.88,1.74,1.71,23807816.95,3.6,3.4,25492801.56,10,9.2,25719645.76,25933884.68
2023-12-20 00:00:00.000 +0000, Twenty20 Big Bash/Perth Scorchers v Hobart Hurricanes,32853016,MATCH_ODDS,222508633,Match Odds,5728193,Hobart Hurricanes,LOSER,0,Perth Scorchers,Hobart Hurricanes,2.72,2.7,115915.39,8.2,5.4,245167.26,8.6,8,273659.99,7.6,6.4,345432.25,6,5,395567.61,2.14,2.1,593873.71,3.05,2.98,1885541.46,6,5.8,1961356.8,9.8,9.4,2011726.67,1000,,2042192.47,2042198.21
2023-12-20 00:00:00.000 +0000, Twenty20 Big Bash/Perth Scorchers v Hobart Hurricanes,32853016,MATCH_ODDS,222508633,Match Odds,5728188,Perth Scorchers,WINNER,1,Perth Scorchers,Hobart Hurricanes,1.58,1.59,1055059.21,1.24,1.13,8020318.02,1.14,1.13,11054253.11,1.16,1.15,14706957.17,1.26,1.2,19977639.61,1.9,1.85,26477780.31,1.51,1.01,32573835.65,1.36,1.19,34901729.51,1.12,1.11,40431032,,1.01,45055094.46,45055197.83
2023-12-21 00:00:00.000 +0000, Twenty20 Big Bash/Melbourne Renegades v Brisbane Heat,32853018,MATCH_ODDS,222594323,Match Odds,5728194,Brisbane Heat,WINNER,1,Melbourne Renegades,Brisbane Heat,2.04,2.06,352760.46,2,1.86,6027224.5,2.16,2.14,6584320.17,1.85,1.83,7785504.92,2.12,1.91,12178036.59,2.24,2.2,16836865.02,2.72,2.68,19769024.11,2.64,2.52,19822312.21,1.58,1.54,21866309.6,1.27,1.21,29052044.26,32886776.76
2023-12-21 00:00:00.000 +0000, Twenty20 Big Bash/Melbourne Renegades v Brisbane Heat,32853018,MATCH_ODDS,222594323,Match Odds,5728189,Melbourne Renegades,LOSER,0,Melbourne Renegades,Brisbane Heat,1.94,1.95,937290.61,2.06,1.88,2042689.29,1.88,1.84,4417063.41,2.18,2.18,6001615.95,2.08,1.9,6980747.78,1.91,1.81,8718407.25,1.62,1.53,14552627.93,1.65,1.56,16589729.27,2.76,2.72,17428290.76,5.3,4.8,17577812.9,17622363.06
2023-12-22 00:00:00.000 +0000, Twenty20 Big Bash/Sydney Sixers v Adelaide Strikers,32853021,MATCH_ODDS,222633686,Match Odds,5728253,Adelaide Strikers,LOSER,0,Sydney Sixers,Adelaide Strikers,2.1,2.12,118660.41,2.38,2.32,286602.17,1.65,1.62,2989014.19,1.62,1.61,4867439.47,1.86,1.57,7865341.85,1.72,1.65,11883351.4,1.8,1.73,15759748.25,1.66,1.61,19433696.01,1.27,1.25,23117044.62,1.41,1.35,27898727.04,30506132.01
2023-12-22 00:00:00.000 +0000, Twenty20 Big Bash/Sydney Sixers v Adelaide Strikers,32853021,MATCH_ODDS,222633686,Match Odds,5728225,Sydney Sixers,WINNER,1,Sydney Sixers,Adelaide Strikers,1.89,1.9,964335.91,1.77,1.7,5196629.1,2.6,2.58,5955645.59,2.64,2.58,6187949.67,2.18,2.16,7690549.5,2.5,2.42,8200126.44,2.32,2.28,11523069.07,2.64,2.5,11688549.99,5,4.8,11810018.39,3.6,3.55,12152809.34,19201097.51
2023-12-23 00:00:00.000 +0000, Twenty20 Big Bash/Melbourne Stars v Sydney Thunder,32853022,MATCH_ODDS,222664311,Match Odds,5728187,Melbourne Stars,LOSER,0,Melbourne Stars,Sydney Thunder,1.95,1.94,411428.05,2.28,2.12,1421943.54,2.24,2.16,1581319.16,1.78,1.68,2886842.67,1.91,1.76,4775273.84,2.48,2.46,8489222.97,3.9,3.75,8577344.01,9.2,7,8596925.8,3.75,3.7,8714033.54,14.5,13.5,8818287.64,8861417.89
2023-12-23 00:00:00.000 +0000, Twenty20 Big Bash/Melbourne Stars v Sydney Thunder,32853022,MATCH_ODDS,222664311,Match Odds,5728190,Sydney Thunder,WINNER,1,Melbourne Stars,Sydney Thunder,2.04,2.06,225689.57,1.88,1.81,1303811.64,1.84,1.8,2865560.7,2.46,2.44,3292875.49,2.24,2.2,4631330.99,1.7,1.66,6748499.66,1.38,1.33,10481711.2,1.15,1.09,11995665.04,1.42,1.35,19755187.35,1.08,1.05,26377144.91,30018380.25
