Date,Track,Race Name,Race,Market,Selection_ID,TAB_Number,Runner_Name,RP,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,Value
2026-08-01,Albion Park,R1 1660m Pace M,1.0,260598478,3810463,1,FLYING COLOURS,10.96,0.0,2.85,1.0,1.31,-0.25963631707004736
2026-08-01,Albion Park,R1 1660m Pace M,1.0,260598478,10704417,9,DRAGON,10.2,0.0,6.19,1.0,2.18,-0.0635116728436124
2026-08-01,Albion Park,R1 1660m Pace M,1.0,260598478,12117173,6,JOHN WAYNE,61.72,0.0,350.0,0.0,32.0,0.013345060642533099
2026-08-01,Albion Park,R1 1660m Pace M,1.0,260598478,58928891,3,MY ULTIMATE COSSIE,13.91,0.0,25.0,0.0,9.2,0.03189072609633357
2026-08-01,Albion Park,R1 1660m Pace M,1.0,260598478,65072320,10,REAL TIN TIN,13.57,0.0,75.0,0.0,7.6,0.060358634242200934
2026-08-01,Albion Park,R1 1660m Pace M,1.0,260598478,70180919,2,BLACKJACK CRIPPA,7.88,0.0,10.0,0.0,2.9,0.026903553299492372
2026-08-01,Albion Park,R1 1660m Pace M,1.0,260598478,71474471,7,SCRUFFY,12.04,0.0,22.0,0.0,4.4,0.03760193295077016
2026-08-01,Albion Park,R1 1660m Pace M,1.0,260598478,71942736,4,MY ULTIMATE FELIX,30.36,0.0,415.62,0.0,22.0,0.030532032433853287
2026-08-01,Albion Park,R1 1660m Pace M,1.0,260598478,75366385,5,RACE FOR RICHES,4.36,0.0,10.5,0.0,2.62,0.13411970292704237
2026-08-01,Albion Park,R1 1660m Pace M,1.0,260598478,96967003,8,WILLIAMS,5.66,1.0,5.38,1.0,1.72,-0.00919516071827342
2026-08-01,Albion Park,R2 2138m Pace M,2.0,260598481,24265609,9,SEND IT,43.3,0.0,311.14,0.0,18.5,0.019880700949098606
2026-08-01,Albion Park,R2 2138m Pace M,2.0,260598481,36610708,6,KOSIMO,27.2,0.0,121.21,0.0,8.6,0.028514561504826334
2026-08-01,Albion Park,R2 2138m Pace M,2.0,260598481,37258173,2,CONGO LINE,20.56,0.0,103.94,0.0,8.6,0.03901719714082279
