Date,Code,State,Venue,Tipster,Market_Id,Selection_Id,Bet_Type,Best_Bet,Bet_Text,Selection_Name,Win_Lose,Bsp,Tipster_Profit,Back_Profit,Lay_Profit
1/03/2023,Greyhounds,QLD,Rockhampton,Jaycin Campbell,210652635,41997806,back,FALSE,Back WIN #2 Dixie Gambles,Dr Kammi,0,210.00,-1.00,-1.00,0.00
1/03/2023,Greyhounds,QLD,Rockhampton,Jaycin Campbell,210652640,50463674,lay,TRUE,Lay WIN #4 Excessive,Excessive,1,2.64,-1.00,1.64,-1.00
1/03/2023,Greyhounds,QLD,Rockhampton,Jaycin Campbell,210652655,50663194,back,FALSE,Back WIN #1 White Like,White Like Snow,0,2.80,-1.00,-1.00,0.56
1/03/2023,Greyhounds,QLD,Rockhampton,Jaycin Campbell,210652670,51477771,lay,FALSE,Lay WIN #2 Mr Original,Mr Original,1,2.32,-1.00,1.32,-1.00
1/03/2023,Thoroughbred,WA,Ascot,Daniel Cripps,210599969,53089443,lay,TRUE,Lay PLACE #5 Yes Of Cou,Yes Of Course,0,2.48,0.68,-1.00,0.68
1/03/2023,Thoroughbred,NZ,Awapuni,Robert Logan,210555744,48458225,back,TRUE,Back PLACE #1 Diss is D,Diss Is Dramatic,0,11.57,-1.00,-1.00,0.09
1/03/2023,Thoroughbred,NZ,Awapuni,Robert Logan,210555744,48871657,back,TRUE,Back WIN #8 Val Di Zold,Val Di Zoldo,1,5.20,4.20,4.20,-1.00
1/03/2023,Thoroughbred,SA,Balaklava,Lachlan Mosley,210597752,48198610,back,FALSE,Back WIN #7 Exalted Dam,Exalted Dame,1,2.96,1.96,1.96,-1.00
1/03/2023,Thoroughbred,SA,Balaklava,Lachlan Mosley,210597758,53088537,back,TRUE,Back WIN #13 Pearl Adios,Pearl Adios,1,1.85,0.85,0.85,-1.00
1/03/2023,Thoroughbred,SA,Balaklava,Lachlan Mosley,210597765,42154686,back,FALSE,Back WIN #11 Rebel Mist,Rebel Mistress,0,14.74,-1.00,-1.00,0.07
1/03/2023,Thoroughbred,SA,Balaklava,Lachlan Mosley,210597765,53088542,back,FALSE,Back WIN #2 Exalted Bel,Exalted Belle,0,150.00,-1.00,-1.00,0.01
1/03/2023,Thoroughbred,SA,Balaklava,Lachlan Mosley,210597771,43154285,lay,TRUE,Lay WIN #1 Max Fire,Max Fire,0,2.18,0.85,-1.00,0.85
1/03/2023,Thoroughbred,SA,Balaklava,Lachlan Mosley,210597777,53088555,back,FALSE,Back WIN #6 Street Hust,Street Hustler,0,23.00,-1.00,-1.00,0.05
1/03/2023,Thoroughbred,SA,Balaklava,Lachlan Mosley,210597783,53088557,back,FALSE,Back WIN #6 The Gov,The Gov,1,3.56,2.56,2.56,-1.00
1/03/2023,Thoroughbred,SA,Balaklava,Lachlan Mosley,210597789,39208471,back,FALSE,Back WIN #3 Covered Cal,Covered Call,0,11.08,-1.00,-1.00,0.10
1/03/2023,Thoroughbred,QLD,Doomben,Cam O'Brien,210599375,9008731,lay,TRUE,Lay WIN #5 Ocean Empero,Ocean Emperor,0,3.00,0.50,-1.00,0.50
1/03/2023,Thoroughbred,QLD,Doomben,Shane Ciurleo,210599359,53089354,back,TRUE,Back WIN #11 Ocean Endeavour,Ocean Endeavour,0,2.21,-1.00,-1.00,0.83
1/03/2023,Thoroughbred,QLD,Doomben,Shane Ciurleo,210599367,1334173,lay,TRUE,Lay WIN #5 Nashira,Nashira,1,2.10,-1.00,1.10,-1.00
1/03/2023,Thoroughbred,QLD,Doomben,Shane Ciurleo,210599371,105470,lay,FALSE,Lay WIN #9 Secret Tales,Secret Tales,1,4.72,-1.00,3.72,-1.00
