Date,Code,State,Venue,Tipster,Market_Id,Selection_Id,Bet_Type,Best_Bet,Bet_Text,Selection_Name,Win_Lose,Bsp,Tipster_Profit,Back_Profit,Lay_Profit
1/04/2023,Greyhounds,NSW,Wentworth Park,David Allan,212121366,42385587,back,FALSE,Back WIN #4 Bandit Jane,Bandit Jane,1,2.44,1.44,1.44,-1.00
1/04/2023,Greyhounds,NSW,Wentworth Park,David Allan,212121371,42256510,lay,TRUE,Lay WIN #4 Cawbourne Magic,Cawbourne Magic,1,2.75,-1.00,1.75,-1.00
1/04/2023,Greyhounds,NSW,Wentworth Park,David Allan,212121381,39789004,back,FALSE,Back WIN #2 Zipping Kry,Zipping Kyrgios,0,6.44,-1.00,-1.00,0.18
1/04/2023,Greyhounds,NSW,Wentworth Park,David Allan,212121381,54212415,back,FALSE,Back WIN #9 Kaheem Bale,Kaheem Bale,0,7.00,-1.00,-1.00,0.17
1/04/2023,Greyhounds,NSW,Wentworth Park,David Allan,212121386,42688902,back,TRUE,Back WIN #2 Simply Limelight,Simply Limelight,1,3.56,2.56,2.56,-1.00
1/04/2023,Greyhounds,NSW,Wentworth Park,David Allan,212121391,47612954,back,FALSE,Back WIN #2 Yachi Bale,Yachi Bale,0,3.93,-1.00,-1.00,0.34
1/04/2023,Greyhounds,NSW,Wentworth Park,David Allan,212121401,10204659,back,FALSE,Back WIN #1 Mortified,Mortified,1,2.76,1.76,1.76,-1.00
1/04/2023,Harness,QLD,Albion Park,Ryan Spice,212077898,19728354,back,TRUE,Back TO LAY #1 Hipstar,Hipstar,1,2.04,1.04,1.04,-1.00
1/04/2023,Harness,QLD,Albion Park,Ryan Spice,212077904,21464192,back,FALSE,Back EW #8 Captains Pi,Captains Pick,0,5.99,-1.00,-1.00,0.20
1/04/2023,Harness,QLD,Albion Park,Ryan Spice,212077905,21464192,back,FALSE,Back EW #8 Captains Pi,Captains Pick,0,2.40,-1.00,-1.00,0.71
1/04/2023,Harness,QLD,Albion Park,Ryan Spice,212077910,19086646,back,TRUE,Back PLACE #1 Northview Hustler,Northview Hustler,0,10.93,-1.00,-1.00,0.10
1/04/2023,Thoroughbred,WA,Ascot,Terry Leighton,212042448,53858699,back,FALSE,Back WIN #4 Senorita Do,Senorita Dorotea,0,4.32,-1.00,-1.00,0.30
1/04/2023,Thoroughbred,WA,Ascot,Terry Leighton,212042448,54140124,back,FALSE,Back SAVE #6 Ex Sport G,Ex Sport Girl,1,5.70,4.70,4.70,-1.00
1/04/2023,Thoroughbred,WA,Ascot,Terry Leighton,212042456,40249930,back,FALSE,Back WIN #4 Ghobella,Ghobella,0,6.67,-1.00,-1.00,0.18
1/04/2023,Thoroughbred,WA,Ascot,Terry Leighton,212042460,2442589,back,TRUE,Back WIN #4 Top Of The,Top Of The Pops,0,3.10,-1.00,-1.00,0.48
1/04/2023,Thoroughbred,WA,Ascot,Terry Leighton,212042464,54140130,back,FALSE,Back WIN #1 Snow Prince,Snow Prince,0,4.30,-1.00,-1.00,0.30
1/04/2023,Thoroughbred,WA,Ascot,Terry Leighton,212042464,2966799,back,FALSE,Back WIN #4 Happy As La,Happy As Larry,0,12.61,-1.00,-1.00,0.09
1/04/2023,Thoroughbred,WA,Ascot,Terry Leighton,212042476,49710195,back,TRUE,Back WIN #6 Catch These,Catch These Hands,1,3.67,2.67,2.67,-1.00
1/04/2023,Thoroughbred,WA,Ascot,Tom Haylock,212042468,840525,back,FALSE,Back WIN #2 LIVE TO TELL,Live To Tell,1,2.82,1.82,1.82,-1.00
1/04/2023,Thoroughbred,NZ,Awapuni,Loveracing.Nz,212076948,9370077,back,TRUE,Back WIN #7 Astron,Astron,0,2.37,-1.00,-1.00,0.73
1/04/2023,Thoroughbred,NZ,Awapuni,Loveracing.Nz,212076956,467538,lay,TRUE,Lay WIN #2 Brando,Brando,1,4.74,-1.00,3.74,-1.00
1/04/2023,Thoroughbred,VIC,Bendigo,Glenn Ingram,212040299,46080229,back,FALSE,Back WIN #7 SFP,Sing For Peace,0,2.24,-1.00,-1.00,0.81
1/04/2023,Thoroughbred,VIC,Bendigo,Jackson Oldham,212040299,46080229,lay,TRUE,Lay WIN Sing For Peace,Sing For Peace,0,2.24,0.81,-1.00,0.81
1/04/2023,Thoroughbred,VIC,Bendigo,Jackson Oldham,212040308,28616066,back,TRUE,Back WIN Life Lessons,Life Lessons,0,3.35,-1.00,-1.00,0.43
1/04/2023,Thoroughbred,VIC,Bendigo,Tom Haylock,212040326,54139290,back,TRUE,Back #6 MARBLE ARCH,Marble Arch,0,7.21,-1.00,-1.00,0.16
1/04/2023,Thoroughbred,VIC,Bendigo,Tom Haylock,212040326,54139296,back,FALSE,Back #16 RUNNING BY,Running By,0,11.00,-1.00,-1.00,0.10
1/04/2023,Thoroughbred,VIC,Bendigo,Tom Haylock,212040326,2050794,back,FALSE,Back #2 MERIDIUS,Meridius,0,13.23,-1.00,-1.00,0.08
1/04/2023,Thoroughbred,VIC,Bendigo,Tom Haylock,212040335,53680592,back,FALSE,Back #5 MUNHAMEK,Munhamek,0,3.10,-1.00,-1.00,0.48
1/04/2023,Thoroughbred,VIC,Bendigo,Tom Haylock,212040335,43668876,back,FALSE,Back #2 JUST FOLK,Just Folk,0,8.10,-1.00,-1.00,0.14
1/04/2023,Thoroughbred,QLD,Doomben,Shane Ciurleo,212040908,1090611,lay,TRUE,Lay WIN #11 Argyle Pink,Argyle Pink,1,5.63,-1.00,4.63,-1.00
1/04/2023,Thoroughbred,QLD,Doomben,Shane Ciurleo,212040916,42139081,back,TRUE,Back WIN #6 Manhood,Manhood,0,2.47,-1.00,-1.00,0.68
1/04/2023,Thoroughbred,SA,Morphettville,Lachlan Mosley,212040542,42879301,back,TRUE,Back WIN #4 Philonize,Philonize,0,1.50,-1.00,-1.00,1.99
1/04/2023,Thoroughbred,SA,Morphettville,Lachlan Mosley,212040547,45737052,lay,TRUE,Lay WIN #3 Eaglelou,Eaglelou,0,3.84,0.35,-1.00,0.35
1/04/2023,Thoroughbred,NSW,Randwick,Dean Evans,211994415,47441528,back,FALSE,Back WIN #2 Mr Brightsi,Mr Brightside,1,6.02,5.02,5.02,-1.00
1/04/2023,Thoroughbred,NSW,Randwick,Dean Evans,211994415,54109305,back,FALSE,Back WIN #16 Zougotcha,Zougotcha,0,8.56,-1.00,-1.00,0.13
