Date,Code,State,Venue,Tipster,Market_Id,Selection_Id,Bet_Type,Best_Bet,Bet_Text,Selection_Name,Win_Lose,Bsp,Tipster_Profit,Back_Profit,Lay_Profit
1/05/2023,Greyhounds,VIC,Ballarat,Michael Tye,213606292,55373836,back,FALSE,Back WIN #8 SJ,Shima Johnny,1,1.68,0.68,0.68,-1.00
1/05/2023,Greyhounds,VIC,Ballarat,Michael Tye,213606312,49978593,back,TRUE,Back WIN #1 NMI,No More Issues,1,1.87,0.87,0.87,-1.00
1/05/2023,Greyhounds,VIC,Ballarat,Michael Tye,213606342,52810494,back,FALSE,Back WIN #1 Thing One,Thing One,0,4.00,-1.00,-1.00,0.33
1/05/2023,Greyhounds,VIC,Ballarat,Michael Tye,213606297,41120260,back,FALSE,Back WIN #6 HCR,High Card Riot,1,4.07,3.07,3.07,-1.00
1/05/2023,Greyhounds,VIC,Ballarat,Michael Tye,213606322,39499444,back,FALSE,Back WIN #3 FY,Fabriola Yanis,0,6.63,-1.00,-1.00,0.18
1/05/2023,Greyhounds,VIC,Ballarat,Michael Tye,213606302,40346886,back,FALSE,Back WIN #8 TP,Trending Power,0,20.53,-1.00,-1.00,0.05
1/05/2023,Greyhounds,VIC,Ballarat,Michael Tye,213606317,50062666,lay,TRUE,Lay WIN #7 CK,Cindys Kyle,0,4.10,0.32,-1.00,0.32
1/05/2023,Harness,VIC,Swan Hill,Darren And Brett Carroll,213556033,45759606,back,TRUE,Back WIN #7 CR,Country Rockstar,0,2.10,-1.00,-1.00,0.91
1/05/2023,Harness,VIC,Swan Hill,Darren And Brett Carroll,213556029,41911128,back,FALSE,Back WIN #11 KA,Keayang Alex,0,2.62,-1.00,-1.00,0.62
1/05/2023,Harness,VIC,Swan Hill,Darren And Brett Carroll,213556035,19006455,back,FALSE,Back WIN #5 OMH,One Muscle Hill,0,3.57,-1.00,-1.00,0.39
1/05/2023,Harness,VIC,Swan Hill,Darren And Brett Carroll,213556039,48673141,lay,TRUE,Lay WIN #1 HHW,Hez Harrywho,0,36.33,0.03,-1.00,0.03
1/05/2023,Thoroughbred,VIC,Bairnsdale,Glenn Ingram,213514755,38407814,back,FALSE,Back WIN #3 Red Stilett,Red Stiletto,0,2.90,-1.00,-1.00,0.53
2/05/2023,Harness,QLD,Albion Park,Ryan Spice,213598871,55257617,back,TRUE,Back WIN #4 Dele Row,Dele Row,1,1.45,0.45,0.45,-1.00
2/05/2023,Harness,QLD,Albion Park,Ryan Spice,213598869,55257613,back,FALSE,Back WIN #6 Ollie Ollie,Ollie Ollie,1,1.90,0.90,0.90,-1.00
2/05/2023,Harness,QLD,Albion Park,Ryan Spice,213598883,55257624,back,FALSE,Back E\/W #11 Rock Botto,Rock Bottom,0,4.65,-1.00,-1.00,0.27
2/05/2023,Harness,QLD,Albion Park,Ryan Spice,213598877,54187353,lay,FALSE,Lay WIN #2 Empress Byeline,Empress Byeline,0,1.99,1.01,-1.00,1.01
2/05/2023,Harness,SA,Globe Derby,Mark Lawrence,213618501,55257319,back,FALSE,Back WIN #3 Maluka Miss,Maluka Miss,1,1.37,0.37,0.37,-1.00
2/05/2023,Harness,SA,Globe Derby,Mark Lawrence,213618495,28339104,back,TRUE,Back WIN #7 Thiswaytothebeach,Thiswaytothebeach,1,2.52,1.52,1.52,-1.00
2/05/2023,Harness,SA,Globe Derby,Mark Lawrence,213618493,2019002,back,FALSE,Back WIN #1 Absolution,Absolution,1,3.24,2.24,2.24,-1.00
2/05/2023,Harness,SA,Globe Derby,Mark Lawrence,213618491,38979748,lay,TRUE,Lay WIN #2 Roberts Delight,Roberts Delight,0,3.45,0.41,-1.00,0.41
2/05/2023,Harness,WA,Narrogin,Scott Hill,213606678,27355826,back,FALSE,Back WIN #7 Ark of Rock,Ark Of Rock,0,3.77,-1.00,-1.00,0.36
2/05/2023,Harness,WA,Narrogin,Scott Hill,213606666,55257299,back,TRUE,Back WIN #7 Seaside Gem,Seaside Gem,0,4.20,-1.00,-1.00,0.31
2/05/2023,Harness,WA,Narrogin,Scott Hill,213606670,36010291,back,FALSE,Back WIN #2 Our Glowing,Our Glowing Star,0,14.08,-1.00,-1.00,0.08
2/05/2023,Harness,WA,Narrogin,Scott Hill,213606670,40534728,back,FALSE,Back WIN #7 Batavia Str,Batavia Streamline,0,21.55,-1.00,-1.00,0.05
2/05/2023,Harness,WA,Narrogin,Scott Hill,213606674,44344968,lay,TRUE,Lay WIN #5 Rockmyster,Rockmyster,0,24.99,0.04,-1.00,0.04
2/05/2023,Harness,VIC,Shepparton,Darren And Brett Carroll,213598901,54739286,back,FALSE,Back WIN #9 Alfresco,Alfresco,1,2.67,1.67,1.67,-1.00
2/05/2023,Harness,VIC,Shepparton,Darren And Brett Carroll,213598907,55245291,back,TRUE,Back WIN #5 Our Vincent,Our Vincent Can Gogh,1,4.68,3.68,3.68,-1.00
2/05/2023,Harness,VIC,Shepparton,Darren And Brett Carroll,213598907,55245291,back,TRUE,Back WIN #5 Our Vincent Can Gogh,Our Vincent Can Gogh,1,4.68,3.68,3.68,-1.00
2/05/2023,Harness,VIC,Shepparton,Darren And Brett Carroll,213598895,55245285,back,FALSE,Back WIN #7 Michen Roy,Michen Roy,0,5.62,-1.00,-1.00,0.22
2/05/2023,Harness,VIC,Shepparton,Darren And Brett Carroll,213598904,28485677,back,FALSE,Back WIN #9 Emrites,Emrites,1,7.00,6.00,6.00,-1.00
2/05/2023,Harness,VIC,Shepparton,Darren And Brett Carroll,213598901,18739483,back,FALSE,Back WIN #1 Zaras All G,Zaras All Good,0,14.00,-1.00,-1.00,0.08
2/05/2023,Harness,VIC,Shepparton,Darren And Brett Carroll,213598886,55245273,lay,TRUE,Lay WIN #6 Ya Bottom Do,Ya Bottom Dollar,0,4.52,0.28,-1.00,0.28
2/05/2023,Harness,VIC,Shepparton,Darren And Brett Carroll,213598886,55245273,lay,TRUE,Lay WIN #6 Ya Bottom Dollar ,Ya Bottom Dollar,0,4.52,0.28,-1.00,0.28
2/05/2023,Thoroughbred,VIC,Warrnambool,Betfair,213600863,3798404,lay,FALSE,Lay WIN #2 Capulet,Capulet,0,11.30,0.10,-1.00,0.10
2/05/2023,Thoroughbred,VIC,Warrnambool,Glenn Ingram,213600891,55287073,back,FALSE,Back WIN #6 Hooah Havan,Hooah Havana,0,2.36,-1.00,-1.00,0.73
2/05/2023,Thoroughbred,VIC,Warrnambool,Jackson Oldham,213600891,55287073,back,TRUE,Back WIN #6 Hooah Havan,Hooah Havana,0,2.36,-1.00,-1.00,0.73
2/05/2023,Thoroughbred,VIC,Warrnambool,Jackson Oldham,213600884,55287067,back,FALSE,Back WIN #2 Visinari,Visinari,0,3.51,-1.00,-1.00,0.40
2/05/2023,Thoroughbred,VIC,Warrnambool,Jackson Oldham,213600856,55287050,back,FALSE,Back WIN #16 Yaltara,Yaltara,0,4.50,-1.00,-1.00,0.29
2/05/2023,Thoroughbred,VIC,Warrnambool,Jackson Oldham,213600863,55287056,back,FALSE,Back WIN #7 Rose Of Sha,Rose Of Shalaa,1,4.50,3.50,3.50,-1.00
2/05/2023,Thoroughbred,VIC,Warrnambool,Jackson Oldham,213600898,55287082,back,FALSE,Back WIN #16 Theycallme,Theycallmebruce,0,4.90,-1.00,-1.00,0.26
2/05/2023,Thoroughbred,VIC,Warrnambool,Jackson Oldham,213600842,26336596,lay,TRUE,Lay WIN #7 Reserve Stre,Reserve Street,0,12.82,0.08,-1.00,0.08
3/05/2023,Thoroughbred,WA,Ascot,Daniel Cripps,213651422,42270524,lay,TRUE,Lay WIN #1 Frantic War,Frantic War,0,6.74,0.17,-1.00,0.17
3/05/2023,Thoroughbred,NSW,Canterbury,Cam O'Brien,213650035,12647527,lay,TRUE,Lay PLACE #7 Domingo,Domingo,1,1.74,-1.00,0.74,-1.00
3/05/2023,Thoroughbred,NSW,Canterbury,Kingsley From Wolfden,213650043,49512995,lay,TRUE,Lay PLACE #12 Glowing G,Glowing Gold,0,5.83,0.21,-1.00,0.21
3/05/2023,Thoroughbred,NSW,Canterbury,Linton Chataway,213650032,46240805,back,FALSE,Back WIN #6 I Am Jade,I Am Jade,0,2.81,-1.00,-1.00,0.55
3/05/2023,Thoroughbred,NSW,Canterbury,Linton Chataway,213650036,1234694,back,FALSE,Back WIN #1 Storm King,Storm King,1,4.48,3.48,3.48,-1.00
3/05/2023,Thoroughbred,NSW,Canterbury,Linton Chataway,213650036,12647527,back,FALSE,Back WIN #7 Domingo,Domingo,0,4.99,-1.00,-1.00,0.25
3/05/2023,Thoroughbred,NSW,Canterbury,Linton Chataway,213650040,55414717,back,FALSE,Back WIN #12 Great Barr,Great Barrier Reef,0,5.80,-1.00,-1.00,0.21
3/05/2023,Thoroughbred,NSW,Canterbury,Linton Chataway,213650032,55414712,back,FALSE,Back WIN #3 Prefer The ,Prefer The Wink,0,5.94,-1.00,-1.00,0.20
3/05/2023,Thoroughbred,NSW,Canterbury,Linton Chataway,213650044,35276959,back,TRUE,Back WIN #8 Tradition,Tradition,0,7.40,-1.00,-1.00,0.16
3/05/2023,Thoroughbred,NSW,Canterbury,Linton Chataway,213650040,55414715,lay,TRUE,Lay WIN #6 Overlord,Overlord,0,11.00,0.10,-1.00,0.10
3/05/2023,Thoroughbred,NSW,Canterbury,Marc Lambourne,213650028,55414709,lay,TRUE,Lay WIN #13 Yomo Island,Vomo Island,0,2.75,0.57,-1.00,0.57
