Date,Code,State,Venue,Tipster,Market_Id,Selection_Id,Bet_Type,Best_Bet,Bet_Text,Selection_Name,Win_Lose,Bsp,Tipster_Profit,Back_Profit,Lay_Profit
1/06/2023,Greyhounds,QLD,Albion Park,Jaycin Campbell,214858034,55782526,back,TRUE,Back 7. Trooper Tears,Trooper Tears,0,1.89,-1.00,-1.00,1.12
1/06/2023,Greyhounds,QLD,Albion Park,Jaycin Campbell,214858039,51053546,lay,TRUE,Lay 1. Custard Monelli,Custard Monelli,0,3.60,0.38,-1.00,0.38
1/06/2023,Greyhounds,QLD,Albion Park,Jaycin Campbell,214858044,49914718,back,FALSE,Back 6. Pudding Monelli,Pudding Monelli,0,31.88,-1.00,-1.00,0.03
1/06/2023,Greyhounds,QLD,Albion Park,Jaycin Campbell,214858064,51477811,back,FALSE,Back 2. All Spritzed Up,All Spritzed Up,0,2.70,-1.00,-1.00,0.59
1/06/2023,Thoroughbred,VIC,Echuca,Chris Camilleri,214827416,56576397,back,FALSE,Back 13. Tjaarda,Tjaarda,0,4.30,-1.00,-1.00,0.30
1/06/2023,Thoroughbred,VIC,Echuca,Jackson Oldham,214827416,56576397,back,TRUE,Back 13. Tjaarda,Tjaarda,0,4.30,-1.00,-1.00,0.30
1/06/2023,Thoroughbred,VIC,Echuca,Glenn Ingram,214827416,56576396,back,TRUE,Back 12. Our Red Morning,Our Red Morning,0,6.70,-1.00,-1.00,0.18
1/06/2023,Thoroughbred,VIC,Echuca,Betfair,214827422,56576401,lay,FALSE,Lay 3. Lucky Prize,Lucky Prize,0,3.19,0.46,-1.00,0.46
1/06/2023,Thoroughbred,VIC,Echuca,Jackson Oldham,214827446,56576425,lay,TRUE,Lay 10. Dancelittlesis,Dancelittlesister,0,5.76,0.21,-1.00,0.21
1/06/2023,Thoroughbred,VIC,Echuca,Chris Camilleri,214827446,56576425,lay,TRUE,Lay 10. Dancelittlesister,Dancelittlesister,0,5.76,0.21,-1.00,0.21
1/06/2023,Harness,VIC,Kilmore,Darren And Brett Carroll,214829581,2644095,back,FALSE,Back 8. Rockaway Beach,Rockaway Beach,0,4.30,-1.00,-1.00,0.30
1/06/2023,Harness,VIC,Kilmore,Darren And Brett Carroll,214829583,52273148,lay,TRUE,Lay 1. Im Rowdy,Im Rowdy,0,10.55,0.10,-1.00,0.10
1/06/2023,Harness,VIC,Kilmore,Darren And Brett Carroll,214829585,56528738,back,TRUE,Back 4. Kyvalley Michael,Kyvalley Michael,1,1.58,0.58,0.58,-1.00
1/06/2023,Harness,VIC,Kilmore,Darren And Brett Carroll,214829589,27290172,back,FALSE,Back 11. Dangerous,Dangerous,1,1.24,0.24,0.24,-1.00
1/06/2023,Harness,VIC,Kilmore,Darren And Brett Carroll,214829593,56528747,back,FALSE,Back 9. Our Princess Di,Our Princess Di,0,1.77,-1.00,-1.00,1.29
1/06/2023,Greyhounds,VIC,Sandown Park,Michael Tye,214858191,50141595,back,FALSE,Back 2. Pepita,Pepita,0,1.26,-1.00,-1.00,3.80
1/06/2023,Greyhounds,VIC,Sandown Park,Michael Tye,214858196,45280020,back,FALSE,Back 4. Bobby Axelrod,Bobby Axelrod,1,2.16,1.16,1.16,-1.00
1/06/2023,Greyhounds,VIC,Sandown Park,Michael Tye,214858201,54139902,back,FALSE,Back 5. Rachaels Tears,Rachaels Tears,1,3.70,2.70,2.70,-1.00
1/06/2023,Greyhounds,VIC,Sandown Park,Michael Tye,214858201,42464475,lay,TRUE,Lay 1. Zipping Eve,Zipping Eve,0,5.14,0.24,-1.00,0.24
1/06/2023,Greyhounds,VIC,Sandown Park,Michael Tye,214858211,45461853,back,TRUE,Back 4. Scofflaw,Scofflaw,0,2.95,-1.00,-1.00,0.51
1/06/2023,Greyhounds,VIC,Sandown Park,Michael Tye,214858221,56606731,back,FALSE,Back 4. Raven Owl,Raven Owl,0,11.57,-1.00,-1.00,0.09
1/06/2023,Greyhounds,VIC,Sandown Park,Michael Tye,214858231,48934274,back,FALSE,Back 8. Big Energy,Big Energy,1,1.44,0.44,0.44,-1.00
1/06/2023,Thoroughbred,NSW,Wyong,Linton Chataway,214828764,50088122,back,TRUE,Back 3. Notabadone,Notabadone,1,2.32,1.32,1.32,-1.00
