Date,Code,State,Venue,Tipster,Market_Id,Selection_Id,Bet_Type,Best_Bet,Bet_Text,Selection_Name,Win_Lose,Bsp,Tipster_Profit,Back_Profit,Lay_Profit
1/08/2023,Harness,QLD,Albion Park,Ryan Spice,216565372,1332567,back,TRUE,Back 8. Call To Order,Call To Order,0,5.44,-1.00,-1.00,0.23
1/08/2023,Harness,QLD,Albion Park,Ryan Spice,216565368,5536743,back,TRUE,Back 1. Gus,Gus,1,1.97,0.97,0.97,-1.00
1/08/2023,Thoroughbred,VIC,Pakenham,Betfair,216569004,42218034,lay,FALSE,Lay 1. Raid The Bar,Raid The Bar,0,3.88,0.35,-1.00,0.35
1/08/2023,Thoroughbred,VIC,Pakenham,Jackson Oldham,216568996,38838368,lay,TRUE,Lay 5. Rayza Warrior,Rayza Warrior,0,6.63,0.18,-1.00,0.18
1/08/2023,Thoroughbred,VIC,Pakenham,Jackson Oldham,216568984,48872151,back,TRUE,Back 5. Runsir,Runsir,1,2.70,1.70,1.70,-1.00
1/08/2023,Harness,VIC,Shepparton,Darren And Brett Carroll,216565465,43668175,back,TRUE,Back 6. Hugo Maguire,Hugo Maguire,0,2.94,-1.00,-1.00,0.52
1/08/2023,Harness,VIC,Shepparton,Darren And Brett Carroll,216565471,58691425,back,FALSE,Back 4. Hopes Choice,Hopes Choice,0,3.50,-1.00,-1.00,0.40
1/08/2023,Harness,VIC,Shepparton,Darren And Brett Carroll,216565463,46863068,lay,FALSE,Lay 4. Itzmineonthelin,Itzmineontheline,1,5.61,-1.00,4.61,-1.00
1/08/2023,Harness,VIC,Shepparton,Darren And Brett Carroll,216565457,7098611,lay,TRUE,Lay 1. Focus,Focus,0,4.61,0.28,-1.00,0.28
1/08/2023,Harness,VIC,Shepparton,Darren And Brett Carroll,216565467,1332993,back,FALSE,Back 6. Viking,Viking,1,1.29,0.29,0.29,-1.00
1/08/2023,Harness,VIC,Shepparton,Darren And Brett Carroll,216565469,36982562,back,FALSE,Back 5. Super Service,Super Service,1,4.40,3.40,3.40,-1.00
1/08/2023,Harness,VIC,Shepparton,Darren And Brett Carroll,216565461,58691419,back,FALSE,Back 9. Indelible Mase,Indelible Mase,1,4.90,3.90,3.90,-1.00
2/08/2023,Thoroughbred,QLD,Doomben,Shane Ciurleo,216591779,50560277,back,TRUE,Back 5. Island Tide,Island Tide,0,2.72,-1.00,-1.00,0.58
2/08/2023,Thoroughbred,QLD,Doomben,Shane Ciurleo,216591795,49244166,lay,FALSE,Lay 9. Great Barrier R,Great Barrier Reef,0,7.84,0.15,-1.00,0.15
2/08/2023,Thoroughbred,QLD,Doomben,Shane Ciurleo,216591767,58312719,lay,TRUE,Lay 3. Totspur,Totspur,0,3.15,0.47,-1.00,0.47
2/08/2023,Thoroughbred,QLD,Doomben,Shane Ciurleo,216591771,5489130,back,FALSE,Back 2. Wolf Moon,Wolf Moon,1,2.72,1.72,1.72,-1.00
2/08/2023,Thoroughbred,QLD,Doomben,The Analyst,216591779,50560277,back,TRUE,Back 5. Island Tide,Island Tide,0,2.72,-1.00,-1.00,0.58
2/08/2023,Thoroughbred,QLD,Doomben,The Analyst,216591767,58312719,lay,TRUE,Lay 3. Totspur,Totspur,0,3.15,0.47,-1.00,0.47
2/08/2023,Thoroughbred,SA,Gawler,Lachlan Mosley,216592430,49977265,back,TRUE,Back 4. Jilladora,Jilladora,0,2.98,-1.00,-1.00,0.51
2/08/2023,Thoroughbred,SA,Gawler,Lachlan Mosley,216592442,58813816,back,FALSE,Back 9. Exopipi,Exopipi,0,10.50,-1.00,-1.00,0.11
2/08/2023,Thoroughbred,SA,Gawler,Lachlan Mosley,216592412,58813797,back,FALSE,Back 7. Seven Shots,Seven Shots,0,16.00,-1.00,-1.00,0.07
2/08/2023,Thoroughbred,SA,Gawler,Lachlan Mosley,216592424,38937015,back,FALSE,Back 7. Mystic Knot,Mystic Knot,0,20.17,-1.00,-1.00,0.05
2/08/2023,Thoroughbred,SA,Gawler,The Analyst,216592430,49977265,back,TRUE,Back 4. Jilladora,Jilladora,0,2.98,-1.00,-1.00,0.51
2/08/2023,Thoroughbred,NSW,Randwick,Linton Chataway,216593045,49618956,lay,FALSE,Lay 5. Le Chocolat,Le Chocolat,0,2.78,0.56,-1.00,0.56
2/08/2023,Thoroughbred,NSW,Randwick,Linton Chataway,216593069,58813866,back,TRUE,Back 8. Howgoodareyou,Howgoodareyou,1,2.31,1.31,1.31,-1.00
2/08/2023,Thoroughbred,NSW,Randwick,The Analyst,216593045,49618956,lay,TRUE,Lay 5. Le Chocolat,Le Chocolat,0,2.78,0.56,-1.00,0.56
2/08/2023,Thoroughbred,NSW,Randwick,The Analyst,216593069,58813866,back,TRUE,Back 8. Howgoodareyou,Howgoodareyou,1,2.31,1.31,1.31,-1.00
2/08/2023,Thoroughbred,VIC,Sale,Jackson Oldham,216591818,8611534,lay,TRUE,Lay 2. Enzo,Enzo,0,7.72,0.15,-1.00,0.15
2/08/2023,Thoroughbred,VIC,Sale,Jackson Oldham,216591845,58813926,back,TRUE,Back 3. Insulation,Insulation,1,1.89,0.89,0.89,-1.00
2/08/2023,Thoroughbred,VIC,Sale,The Analyst,216591818,8611534,lay,TRUE,Lay 2. Enzo,Enzo,0,7.72,0.15,-1.00,0.15
2/08/2023,Thoroughbred,VIC,Sale,The Analyst,216591845,58813926,back,TRUE,Back 3. Insulation,Insulation,1,1.89,0.89,0.89,-1.00
3/08/2023,Greyhounds,QLD,Albion Park,Jaycin Campbell,216672880,47334829,back,FALSE,Back 1. Locked On Scotch,Locked On Scotch,0,2.41,-1.00,-1.00,0.71
3/08/2023,Greyhounds,QLD,Albion Park,Jaycin Campbell,216672870,46520563,back,FALSE,Back 1. Select Moment,Select Moment,0,3.90,-1.00,-1.00,0.34
3/08/2023,Greyhounds,QLD,Albion Park,Jaycin Campbell,216672855,57018750,back,FALSE,Back 1. Canya Hammer,Canya Hammer,0,11.48,-1.00,-1.00,0.10
3/08/2023,Greyhounds,QLD,Albion Park,Jaycin Campbell,216672885,41729566,lay,TRUE,Lay 5. Panama Pepper,Panama Pepper,0,4.20,0.31,-1.00,0.31
3/08/2023,Harness,VIC,Kilmore,Darren And Brett Carroll,216631532,58814642,back,TRUE,Back 4. Belle Neige,Belle Neige,0,1.60,-1.00,-1.00,1.66
