Date,Code,State,Venue,Tipster,Market_Id,Selection_Id,Bet_Type,Best_Bet,Bet_Text,Selection_Name,Win_Lose,Bsp,Tipster_Profit,Back_Profit,Lay_Profit
1/11/2023,Thoroughbred,VIC,Bendigo,Chris Camilleri,220486880,62294440,back,FALSE,Back 11. Alectrona,11. Alectrona,1,1.93,0.93,0.93,-1.00
1/11/2023,Thoroughbred,VIC,Bendigo,Chris Camilleri,220486916,62064028,lay,FALSE,Lay 8. Material Dreams,8. Material Dreams,1,9.32,-1.00,8.32,-1.00
1/11/2023,Thoroughbred,VIC,Bendigo,Chris Camilleri,220486925,11024322,back,FALSE,Back 2. Rich Fortune,2. Rich Fortune,0,4.88,-1.00,-1.00,0.26
1/11/2023,Thoroughbred,VIC,Bendigo,Glenn Ingram,220486889,62294442,back,FALSE,Back 3. Persian Spirit,3. Persian Spirit,0,4.16,-1.00,-1.00,0.32
1/11/2023,Thoroughbred,SA,Strathalbyn,Lachlan Mosley,220482930,61068588,back,FALSE,Back 11. Ruling Goddess,11. Ruling Goddess,1,12.00,11.00,11.00,-1.00
1/11/2023,Thoroughbred,SA,Strathalbyn,Lachlan Mosley,220482918,26800143,back,FALSE,Back 5. The Bull Mccabe,5. The Bull Mccabe,0,8.11,-1.00,-1.00,0.14
1/11/2023,Thoroughbred,SA,Strathalbyn,Lachlan Mosley,220482924,55978173,back,FALSE,Back 4. A Touch Frosty,4. A Touch Frosty,0,3.44,-1.00,-1.00,0.41
1/11/2023,Thoroughbred,SA,Strathalbyn,Lachlan Mosley,220482936,62294313,back,FALSE,Back 4. Lord Morton,4. Lord Morton,0,3.00,-1.00,-1.00,0.50
1/11/2023,Thoroughbred,SA,Strathalbyn,Lachlan Mosley,220482942,62294317,back,FALSE,Back 11. Gadidae,11. Gadidae,0,13.50,-1.00,-1.00,0.08
1/11/2023,Thoroughbred,SA,Strathalbyn,Lachlan Mosley,220482948,47787373,back,FALSE,Back 2. Commander Meroo,2. Commander Meroo,0,7.76,-1.00,-1.00,0.15
1/11/2023,Greyhounds,VIC,The Meadows,Michael Tye,220539953,58100373,back,FALSE,Back 8. Our Jojo,8. Our Jojo,1,1.49,0.49,0.49,-1.00
1/11/2023,Greyhounds,VIC,The Meadows,Michael Tye,220539973,56729581,lay,FALSE,Lay 8. Halloween,8. Halloween,0,3.83,0.35,-1.00,0.35
1/11/2023,Greyhounds,VIC,The Meadows,Michael Tye,220539948,61523282,back,FALSE,Back 6. Bernardo Beast,6. Bernardo Beast,0,5.20,-1.00,-1.00,0.24
