Date,Code,State,Venue,Tipster,Market_Id,Selection_Id,Bet_Type,Best_Bet,Bet_Text,Selection_Name,Win_Lose,Bsp,Tipster_Profit,Back_Profit,Lay_Profit
1/01/2024,THO,VIC,Flemington,Jackson Oldham,222975912,64343036,back,2,"BACK: 1. Midtown Boss (WIN) for 4 unit(s) (Rated at: $1.65)

Midtown Boss has clearly the best ratings in this race, first-up last preparation down the straight he was less than a length off talented Airman, who split I Am Me and Bella Nipotina later in the year. Midtown Boss has been gelded since, moved to Matt Laurie and has jumped out like a jet, should win. ",1. Midtown Boss,1,2.257150129,1.257150129,1.257150129,-1
1/01/2024,THO,VIC,Flemington,Liam Clancey,222975912,64343036,back,1,,1. Midtown Boss,1,2.257150129,1.257150129,1.257150129,-1
1/01/2024,THO,VIC,Flemington,Wolfden Pro Picks,222975912,64343036,back,2,,1. Midtown Boss,1,2.257150129,1.257150129,1.257150129,-1
1/01/2024,THO,VIC,Flemington,Jackson Oldham,222975920,64343043,lay,2,"LAY: 2. Carrazana (WIN) for 3 unit(s) (Rated at: $3.5)

I've got Ginger 'n' Pink and Carrazana flipped in my market, with the former, a firm favourite. Carrazana has ability and has jumped out very well at Flemington but is likely best over 1600m-2000m and will have a map disadvantage vs his rivals in the market.",2. Carrazana,0,4.710922258,0.269474791,-1,0.269474791
1/01/2024,THO,VIC,Flemington,Liam Clancey,222975920,64343044,back,1,,3. Ginger N Pink,0,3.143916604,-1,-1,0.466436054
1/01/2024,THO,VIC,Flemington,Jackson Oldham,222975944,28276397,back,1,"BACK: 3. Hasseltoff  (WIN) for 1 unit(s) (Rated at: $9.85)

Hasseltoff hasn't won since he won on this day last year. I get the feeling this was a target race for him, has a terrific fourth-up record and was good vs the race shape last start at Caulfield, gets D.Lane on. ",3. Hasseltoff,0,19.38058313,-1,-1,0.054405238
1/01/2024,THO,VIC,Flemington,Jackson Oldham,222975944,43035115,back,1,"BACK: Texas Tea (WIN) for 1 unit(s) (Rated at: $4.6)

Texas Tea was sensational first-up off a long spell at Sandown behind Who Dares, in a tougher race than this. He may be flat second-up but if he isn't, deserves to be clear favourite. ",8. Texas Tea,0,5.322250343,-1,-1,0.231360963
1/01/2024,THO,VIC,Flemington,Jackson Oldham,222975952,64343058,back,1,"NO BET.   

Glentaneous is flying, is the most likely winner of the race but no edge at the current price.",8. Glentaneous,1,2.8755104,1.8755104,1.8755104,-1
1/01/2024,THO,VIC,Flemington,Liam Clancey,222975953,21813008,lay,2,,1. Amade,1,4.160286917,-1,3.160286917,-1
1/01/2024,THO,VIC,Flemington,Liam Clancey,222975960,36621872,back,1,,9. Mr Exclusive,0,32,-1,-1,0.032258065
