Date,Code,State,Venue,Tipster,Market_Id,Selection_Id,Bet_Type,Best_Bet,Bet_Text,Selection_Name,Win_Lose,Bsp,Tipster_Profit,Back_Profit,Lay_Profit
1/06/2024,Greyhounds,WA,Mandurah,Jaycin Campbell,229523035,64084627,lay,TRUE,"LAY: 8. Sunset Serengeti (WIN) for 2 units (Rated at $4.00)

Admittedly, Sunset Serengeti has been in sparkling form winning the Mandurah Oaks and WA Oaks with ease. Despite these recent accomplishments, tonight is a new race and she appears to have her work cut out for her. There’s plenty of early speed engaged underneath her and I can’t see her getting across this field. She has only won one from five out of box eight and is far better suited to drawing lower where she can find the rail.
",Sunset Serengeti,0,3.62,0.38,-1.00,0.38
1/06/2024,Greyhounds,WA,Mandurah,Jaycin Campbell,229523040,44232816,back,TRUE,"BACK: 1. Hinto (WIN) for 4 units (Rated at $1.80) 

Hinto has been racing in superb order of late winning three of his past five starts. His form at Mandurah is second to none winning six of his eight starts with a further two placings. He’s exceptionally well drawn here in box one with West On Miley and Sunset Pepe both having enough speed to hold out his main rival in Sunset Hornet. The pair both get tired turning for home and like to use the track which is where Hinto will strike, railing hard underneath and coming home with a wet sail.

",Hinto,0,1.83,-1.00,-1.00,1.20
1/06/2024,Harness,QLD,Albion Park,Ryan Spice,229475419,57419724,back,FALSE,"BACK: 1. Always Smokin  (PLACE) for 2 units (Rated at $1.80) 

Always Smokin has options from his perfect draw, lead or trail suspect he is right in the thick of the finish. Last week upon return he was held up badly over the concluding stages.",Always Smokin,1,1.64,0.64,0.64,-1.00
1/06/2024,Harness,QLD,Albion Park,Ryan Spice,229475422,38262512,lay,TRUE,"LAY: 6. Major Perry (PLACE) for 2 units (Rated at $3.00)

Major Perry was blessed in run last week when winning his Band 5. Jumping in grade sharply and having what looks to be a poor map tonight, happy to go against this McCarthy runner again.
",Major Perry,0,5.00,0.25,-1.00,0.25
1/06/2024,Harness,QLD,Albion Park,Ryan Spice,229475424,50687852,back,FALSE,"BACK: 6. Girl From Rosedale (WIN) for 2 units (Rated at $3.00) 

Girl From Rosedale is in career best form, her last start win was off the charts when breezing in 1.53.7. Should pay to stick with her whilst she is going this well.",Girl From Rosedale,0,4.30,-1.00,-1.00,0.30
1/06/2024,Harness,QLD,Albion Park,Ryan Spice,229475436,422914,back,TRUE,"BACK: 6. Constantinople (WIN) for 3 units (Rated at $2.00)

Constantinople is a trotter with an excellent career record (35: 16 | 4 | 3), he excels at the mile trip and likes to dictate on the front end. With the front row draw suspect he presses on and takes catching.",Constantinople,0,1.95,-1.00,-1.00,1.05
1/06/2024,Harness,QLD,Albion Park,Ryan Spice,229475439,61641612,back,TRUE,"BACK: 4. Shes Fullofspirit (WIN) for 3 units (Rated at $1.90) 

Shes Fullofspirit loves the mile and loves to lead, she looks to get her favoured set up again.",Shes Fullofspirit,0,2.25,-1.00,-1.00,0.80
1/06/2024,Harness,WA,Bunbury,Scott Hill,229475738,69912975,back,FALSE,"BACK: 3. Artful Miki (WIN) for 2 units (Rated at $2.00)

The Miki's look to have it here but Artful Miki with the barrier draw advantage looks the one to beat",Artful Miki,1,1.40,0.40,0.40,-1.00
1/06/2024,Harness,WA,Bunbury,Scott Hill,229475740,68900854,back,FALSE,"BACK: 6. Bank Notice (WIN) for 2 units (Rated at $2.00)

Bank Notice looks to have a bit on these I think, despite the barrier draw looks the one to beat",Bank Notice,1,1.28,0.28,0.28,-1.00
1/06/2024,Harness,WA,Bunbury,Scott Hill,229475746,69912988,back,TRUE,"BACK: 1. Im Lord Logan (WIN) for 3 units (Rated at $1.50) 

Expect Im Lord Logan to win here, he can lead or sit leaders back and be too classy.",Im Lord Logan,1,1.59,0.59,0.59,-1.00
1/06/2024,Harness,WA,Bunbury,Scott Hill,229475748,47281807,back,FALSE,"BACK: 8. Dourado (WIN) for 2 units (Rated at $2.50)

Dourado is going really well and expect him to work into a nice spot in the running line and hit the line hard.",Dourado,0,2.48,-1.00,-1.00,0.68
