Date,Code,State,Venue,Tipster,Market_Id,Selection_Id,Bet_Type,Best_Bet,Bet_Text,Selection_Name,Win_Lose, Bsp ,  Tipster_Profit  ,  Back_Profit  ,  Lay_Profit  
1/10/2024,Greyhounds,NSW,Gosford,Joe Lannutti,233780715,72851424,BACK,TRUE,Rated Price: 2.2 | Stake: 2 Units,2. My Monroe ,0,1.34,-$2.00 ,-$2.00 , $5.47 
1/10/2024,Greyhounds,NSW,Gosford,Joe Lannutti,233780680,61219235,BACK,FALSE,Rated Price: 3 | Stake: 1 Units,7. Lydia Wave,1,2.83, $1.70 , $1.70 ,-$1.00 
1/10/2024,Greyhounds,NSW,Gosford,Joe Lannutti,233780720,73793204,LAY,FALSE,Rated Price: 4 | Stake: 1 Units,7. Dior Wick,0,8, $0.13 ,-$1.00 , $0.13 
1/10/2024,Greyhounds,NSW,Gosford,Joe Lannutti,233780695,51685843,LAY,FALSE,Rated Price: 6 | Stake: 1 Units,7. Ebby Justice,0,9.36, $0.11 ,-$1.00 , $0.11 
1/10/2024,Greyhounds,NSW,Gosford,Joe Lannutti,233780705,62908809,LAY,FALSE,Rated Price: 6.5 | Stake: 2 Units,4. Zeus Keeping,0,12.31, $0.16 ,-$2.00 , $0.16 
1/10/2024,Greyhounds,NSW,Gosford,Joe Lannutti,233780700,56272350,LAY,TRUE,Rated Price: 5.5 | Stake: 2 Units,8. Scarlet Oak,0,17.56, $0.11 ,-$2.00 , $0.11 
1/10/2024,Harness,QLD,Albion Park,Ryan Spice,233779514,67083333,BACK,TRUE,Rated Price: 2 | Stake: 2 Units,7. Aroda,0,1.77,-$2.00 ,-$2.00 , $2.42 
1/10/2024,Harness,QLD,Albion Park,Ryan Spice,233779522,28658211,BACK,TRUE,Rated Price: 2.5 | Stake: 2 Units,7. Tairlaw Toll,0,2.18,-$2.00 ,-$2.00 , $1.58 
1/10/2024,Harness,QLD,Albion Park,Ryan Spice,233779512,74308437,BACK,TRUE,Rated Price: 1.8 | Stake: 2 Units,9. Sun Wukong,0,2.36,-$2.00 ,-$2.00 , $1.37 
1/10/2024,Harness,WA,Gloucester Park,Scott Hill,233788712,28467512,LAY,FALSE,Rated Price: 3 | Stake: 2 Units,3. Hengheng,0,2.22, $1.52 ,-$2.00 , $1.52 
1/10/2024,Harness,WA,Gloucester Park,Scott Hill,233788712,860095,BACK,FALSE,Rated Price: 2.8 | Stake: 2 Units,5. Benji,1,2.4, $2.60 , $2.60 ,-$2.00 
1/10/2024,Harness,WA,Gloucester Park,Scott Hill,233788706,42403661,BACK,FALSE,Rated Price: 2.2 | Stake: 2 Units,2. Seven No Trumps,0,2.72,-$2.00 ,-$2.00 , $1.08 
1/10/2024,Harness,WA,Gloucester Park,Scott Hill,233788709,43701142,BACK,FALSE,Rated Price: 2.5 | Stake: 3 Units,9. Jaxon Morgan,1,9.57, $23.91 , $23.91 ,-$3.00 
1/10/2024,Harness,NSW,Menangle,Will Norman,233781677,74308400,BACK,TRUE,Rated Price: 2.5 | Stake: 2 Units,6. Peace Out,0,2.57,-$2.00 ,-$2.00 , $1.18 
1/10/2024,Harness,NSW,Menangle,Will Norman,233781671,73498832,BACK,FALSE,Rated Price: 2.3 | Stake: 1 Units,7. Last Clansman,0,2.58,-$1.00 ,-$1.00 , $0.59 
1/10/2024,Harness,SA,Port Pirie,Mark Lawrence,233775773,57926070,BACK,TRUE,Rated Price: 1.8 | Stake: 2 Units,6. Always Torque Tome,1,2.62, $3.01 , $3.01 ,-$2.00 
1/10/2024,Harness,SA,Port Pirie,Mark Lawrence,233775775,20944037,LAY,TRUE,Rated Price: 6.5 | Stake: 2 Units,3. Brie,0,9.17, $0.23 ,-$2.00 , $0.23 
1/10/2024,Harness,VIC,Swan Hill,Brett & Darren Carroll,233780268,73953102,BACK,TRUE,Rated Price: 2 | Stake: 2 Units,7. Blake Bolac,1,2.36, $2.53 , $2.53 ,-$2.00 
1/10/2024,Harness,VIC,Swan Hill,Brett & Darren Carroll,233780275,38262853,BACK,FALSE,Rated Price: 2.5 | Stake: 1 Units,3. Mynameisruby,0,2.42,-$1.00 ,-$1.00 , $0.65 
1/10/2024,Harness,VIC,Swan Hill,Brett & Darren Carroll,233780264,2943657,LAY,TRUE,Rated Price: 7 | Stake: 1 Units,11. Chirripo,0,4.27, $0.28 ,-$1.00 , $0.28 
1/10/2024,Harness,VIC,Swan Hill,Brett & Darren Carroll,233780279,74301158,BACK,FALSE,Rated Price: 2.5 | Stake: 1 Units,7. La Frank,0,5.64,-$1.00 ,-$1.00 , $0.20 
1/10/2024,Thoroughbred,NSW,Newcastle,Linton Chataway,233718850,74226923,LAY,TRUE,Rated Price: 4.8 | Stake: 1 Units,14. Ti Amo Tanto,0,6.2, $0.17 ,-$1.00 , $0.17 
1/10/2024,Thoroughbred,NSW,Newcastle,Mitch Lewis,233718835,71373456,BACK,FALSE,Rated Price: 2.5 | Stake: 2 Units,8. Lady Ichikawa,1,2.32, $2.38 , $2.38 ,-$2.00 
1/10/2024,Thoroughbred,NSW,Newcastle,Mitch Lewis,233718860,926641,BACK,TRUE,Rated Price: 2.7 | Stake: 2 Units,4. Be Real,0,3.41,-$2.00 ,-$2.00 , $0.75 
1/10/2024,Thoroughbred,VIC,Tatura,Glenn Ingram,233720164,74338773,BACK,TRUE,Rated Price: 5 | Stake: 2 Units,5. Shamrock Bay,1,3.95, $5.49 , $5.49 ,-$2.00 
1/10/2024,Thoroughbred,VIC,Tatura,Jackson Oldham,233720147,3996901,BACK,TRUE,Rated Price: 1.65 | Stake: 2 Units,7. Finale ,1,1.47, $0.87 , $0.87 ,-$2.00 
1/10/2024,Thoroughbred,VIC,Tatura,Jackson Oldham,233720163,84508,LAY,TRUE,Rated Price: 4.4 | Stake: 1 Units,6. Sea Mist,0,3.9, $0.32 ,-$1.00 , $0.32 
2/10/2024,Greyhounds,VIC,Ballarat,Michael Tye,233830221,73919574,BACK,FALSE,Rated Price: 3 | Stake: 1 Units,7. Paw Barton,0,2.44,-$1.00 ,-$1.00 , $0.65 
2/10/2024,Greyhounds,VIC,Ballarat,Michael Tye,233830251,74461750,BACK,FALSE,Rated Price: 2.65 | Stake: 1 Units,3. Little Darl ,0,4.1,-$1.00 ,-$1.00 , $0.30 
2/10/2024,Greyhounds,VIC,Ballarat,Michael Tye,233830231,71868559,BACK,TRUE,Rated Price: 3.5 | Stake: 2 Units,4. Lethal Avenger,0,4.8,-$2.00 ,-$2.00 , $0.49 
2/10/2024,Greyhounds,QLD,Rockhampton,Jaycin Campbell,233835941,66654117,BACK,TRUE,Rated Price: 3 | Stake: 2 Units,2. Infamous,1,2.43, $2.66 , $2.66 ,-$2.00 
2/10/2024,Greyhounds,QLD,Rockhampton,Jaycin Campbell,233835953,67504296,BACK,FALSE,Rated Price: 5 | Stake: 1 Units,3. Sergeant Green,0,2.66,-$1.00 ,-$1.00 , $0.56 
2/10/2024,Greyhounds,QLD,Rockhampton,Jaycin Campbell,233835964,65487671,BACK,FALSE,Rated Price: 4 | Stake: 1 Units,1. Swift Mike,0,3.38,-$1.00 ,-$1.00 , $0.39 
2/10/2024,Greyhounds,QLD,Rockhampton,Jaycin Campbell,233835936,67504189,BACK,FALSE,Rated Price: 3 | Stake: 2 Units,4. Such A Life,0,5.4,-$2.00 ,-$2.00 , $0.42 
2/10/2024,Greyhounds,QLD,Rockhampton,Jaycin Campbell,233835941,70822340,LAY,TRUE,Rated Price: 6 | Stake: 2 Units,3. Goof Ball,0,8.11, $0.26 ,-$2.00 , $0.26 
2/10/2024,Harness,NSW,Bathurst,Will Norman,233830183,45490507,BACK,FALSE,Rated Price: 2.5 | Stake: 2 Units,6. Rebounder,0,3.07,-$2.00 ,-$2.00 , $0.90 
2/10/2024,Harness,NSW,Bathurst,Will Norman,233830189,273172,BACK,TRUE,Rated Price: 2.7 | Stake: 2 Units,1. Valentini,1,4.68, $6.84 , $6.84 ,-$2.00 
2/10/2024,Harness,NSW,Bathurst,Will Norman,233830204,722333,BACK,FALSE,Rated Price: 7 | Stake: 1 Units,7. Uncle Tony,0,7.67,-$1.00 ,-$1.00 , $0.14 
2/10/2024,Harness,NSW,Bathurst,Will Norman,233830204,72585610,BACK,FALSE,Rated Price: 5 | Stake: 1 Units,6. Sonny Writer,0,9.93,-$1.00 ,-$1.00 , $0.10 
2/10/2024,Harness,NSW,Bathurst,Will Norman,233830192,40112072,BACK,FALSE,Rated Price: 6 | Stake: 1 Units,9. Magic Matteo,0,10.19,-$1.00 ,-$1.00 , $0.10 
2/10/2024,Harness,NSW,Bathurst,Will Norman,233830201,23626513,BACK,FALSE,Rated Price: 9 | Stake: 1 Units,3. Dottie Feels Good,0,11.55,-$1.00 ,-$1.00 , $0.09 
2/10/2024,Harness,NSW,Bathurst,Will Norman,233830201,5248450,BACK,FALSE,Rated Price: 3.5 | Stake: 2 Units,5. The Ringmaster,0,11.62,-$2.00 ,-$2.00 , $0.18 
2/10/2024,Thoroughbred,SA,Balaklava,Lachlan Mosley,233780211,74459603,BACK,FALSE,Rated Price:  | Stake: 2 Units,11. Justa Star ,1,1.42, $0.78 , $0.78 ,-$2.00 
2/10/2024,Thoroughbred,SA,Balaklava,Lachlan Mosley,233780228,70633037,BACK,TRUE,Rated Price:  | Stake: 3 Units,2. Riche Damour,0,3.36,-$3.00 ,-$3.00 , $1.18 
2/10/2024,Thoroughbred,VIC,Cranbourne,Glenn Ingram,233780379,74459884,BACK,TRUE,Rated Price: 3 | Stake: 2 Units,2. Champagne Tonight,0,3.87,-$2.00 ,-$2.00 , $0.65 
2/10/2024,Thoroughbred,VIC,Cranbourne,Jackson Oldham,233780415,74459924,LAY,TRUE,Rated Price: 4.2 | Stake: 1 Units,3. Platinum Destroyer ,1,3.44,-$1.00 , $2.27 ,-$1.00 
2/10/2024,Thoroughbred,VIC,Cranbourne,Jackson Oldham,233780379,74459884,BACK,TRUE,Rated Price: 2.4 | Stake: 2 Units,2. Champagne Tonight,0,3.87,-$2.00 ,-$2.00 , $0.65 
2/10/2024,Thoroughbred,VIC,Cranbourne,Jackson Oldham,233780442,4156073,BACK,FALSE,Rated Price: 3.7 | Stake: 2 Units,3. Gangitano,0,5.26,-$2.00 ,-$2.00 , $0.44 
2/10/2024,Thoroughbred,QLD,Eagle Farm,Linton Chataway,233780371,67039940,BACK,FALSE,Rated Price: 3 | Stake: 1 Units,12. Sunlord,0,2.66,-$1.00 ,-$1.00 , $0.56 
2/10/2024,Thoroughbred,QLD,Eagle Farm,Linton Chataway,233780343,74459390,BACK,TRUE,Rated Price: 3 | Stake: 2 Units,2. Flying Aurelius,1,2.78, $3.31 , $3.31 ,-$2.00 
2/10/2024,Thoroughbred,QLD,Eagle Farm,Linton Chataway,233780357,74459405,LAY,TRUE,Rated Price: 5 | Stake: 1 Units,5. Tiz Enuf,0,5.55, $0.20 ,-$1.00 , $0.20 
2/10/2024,Thoroughbred,QLD,Eagle Farm,The Leg Up,233780350,74459402,LAY,FALSE,Rated Price: 4.8 | Stake: 1 Units,15. Starsonus,0,3.1, $0.44 ,-$1.00 , $0.44 
2/10/2024,Thoroughbred,NSW,Rosehill,Mitch Lewis,233780500,74459792,BACK,FALSE,Rated Price: 2.2 | Stake: 3 Units,10. Mergeila,0,2.22,-$3.00 ,-$3.00 , $2.21 
2/10/2024,Thoroughbred,NSW,Rosehill,Mitch Lewis,233780484,69390012,BACK,TRUE,Rated Price: 2.4 | Stake: 4 Units,1. Need Some Luck,0,2.45,-$4.00 ,-$4.00 , $2.48 
2/10/2024,Thoroughbred,NSW,Rosehill,Mitch Lewis,233780452,68891001,BACK,FALSE,Rated Price: 5 | Stake: 1 Units,5. Monte Veebee,0,3.34,-$1.00 ,-$1.00 , $0.38 
