Date,Code,State,Venue,Tipster,Market_Id,Selection_Id,Bet_Type,Best_Bet,Bet_Text,Selection_Name,Win_Lose,  Bsp  ,   Tipster_Profit   ,   Back_Profit   ,   Lay_Profit   
1/11/2024,Greyhounds,VIC,Geelong,Michael Tye,235342310,75718404,BACK,TRUE,Rated Price: 3.25 | Stake: 2 Units,4. Crackerjack Tonk ,0, $3.28 ,-$2.00 ,-$2.00 , $0.82 
1/11/2024,Greyhounds,VIC,Geelong,Michael Tye,235342315,55534054,BACK,FALSE,Rated Price: 8.5 | Stake: 2 Units,8. Arandt About ,0, $15.01 ,-$2.00 ,-$2.00 , $0.13 
1/11/2024,Greyhounds,VIC,Geelong,Michael Tye,235342325,73527201,BACK,FALSE,Rated Price: 3.15 | Stake: 2 Units,6. Set To Sizzle ,0, $4.30 ,-$2.00 ,-$2.00 , $0.56 
1/11/2024,Greyhounds,VIC,Geelong,Michael Tye,235342335,66295761,BACK,FALSE,Rated Price: 2.85 | Stake: 1 Units,1. Leggett Bale ,1, $4.03 , $2.82 , $2.82 ,-$1.00 
1/11/2024,Greyhounds,VIC,Geelong,Michael Tye,235342315,75718405,LAY,TRUE,Rated Price: 4.8 | Stake: 1 Units,3. Mepunga Rocky ,0, $2.50 , $0.62 ,-$1.00 , $0.62 
1/11/2024,Greyhounds,VIC,Geelong,Michael Tye,235342305,74264734,BACK,FALSE,Rated Price: 3 | Stake: 2 Units,1. Lightning Range ,1, $3.08 , $3.87 , $3.87 ,-$2.00 
1/11/2024,Harness,WA,Gloucester Park,Scott Hill,235346572,365074,BACK,FALSE,Rated Price: 2 | Stake: 2 Units,11. Lion Queen,0, $3.05 ,-$2.00 ,-$2.00 , $0.91 
1/11/2024,Harness,WA,Gloucester Park,Scott Hill,235346575,54341273,BACK,FALSE,Rated Price: 2.5 | Stake: 2 Units,10. Tommy Waterhouse ,0, $2.24 ,-$2.00 ,-$2.00 , $1.50 
1/11/2024,Harness,WA,Gloucester Park,Scott Hill,235346578,25357192,BACK,FALSE,Rated Price: 2.8 | Stake: 2 Units,4. Hampton Banner,0, $2.40 ,-$2.00 ,-$2.00 , $1.33 
1/11/2024,Harness,WA,Gloucester Park,Scott Hill,235346587,38697698,BACK,FALSE,Rated Price: 4 | Stake: 1 Units,8. Solesseo Matuca,0, $6.42 ,-$1.00 ,-$1.00 , $0.17 
1/11/2024,Harness,WA,Gloucester Park,Scott Hill,235346593,10102036,BACK,FALSE,Rated Price: 2.2 | Stake: 2 Units,3. Dark Eyes,0, $8.65 ,-$2.00 ,-$2.00 , $0.24 
1/11/2024,Harness,WA,Gloucester Park,Scott Hill,235346599,27614819,LAY,FALSE,Rated Price: 3 | Stake: 2 Units,2. Longreach Bay,1, $3.30 ,-$2.00 , $4.28 ,-$2.00 
1/11/2024,Harness,WA,Gloucester Park,Scott Hill,235346584,75677741,BACK,FALSE,Rated Price: 2.5 | Stake: 2 Units,9. Christopher Dance,1, $2.82 , $3.39 , $3.39 ,-$2.00 
1/11/2024,Harness,WA,Gloucester Park,Scott Hill,235346590,54914969,BACK,TRUE,Rated Price: 1.85 | Stake: 3 Units,4. Insta Gator,1, $2.30 , $3.63 , $3.63 ,-$3.00 
1/11/2024,Thoroughbred,QLD,Ipswich,Linton Chataway,235294221,75718006,BACK,TRUE,Rated Price: 2 | Stake: 2 Units,4. Stellar Lady,0, $3.35 ,-$2.00 ,-$2.00 , $0.79 
