Date,Code,State,Venue,Tipster,Market_Id,Selection_Id,Bet_Type,Best_Bet,Bet_Text,Selection_Name,Win_Lose, Bsp , Tipster_Profit , Back_Profit , Lay_Profit 
1/12/2024,Harness,TAS,Launceston,Jamie Cockshutt,236621338,71868943,BACK,TRUE,Rated Price:  | Stake: 2 Units,1. Smokescreen,1, $1.98 , $1.82 , $1.96 ,-$2.00 
1/12/2024,Harness,TAS,Launceston,Jamie Cockshutt,236621340,23483988,BACK,FALSE,Rated Price:  | Stake: 1 Units,8. Arden Roanoke ,0, $17.63 ,-$1.00 ,-$1.00 , $0.06 
1/12/2024,Harness,TAS,Launceston,Jamie Cockshutt,236621340,5093804,BACK,TRUE,Rated Price:  | Stake: 3 Units,1. Indelible,0, $1.42 ,-$3.00 ,-$3.00 , $7.14 
1/12/2024,Harness,TAS,Launceston,Jamie Cockshutt,236621342,72892135,BACK,FALSE,Rated Price:  | Stake: 1 Units,2. Unmatched ,0, $6.60 ,-$1.00 ,-$1.00 , $0.18 
1/12/2024,Harness,TAS,Launceston,Jamie Cockshutt,236621342,76967182,BACK,FALSE,Rated Price:  | Stake: 2 Units,9. Vinni The Gangster ,0, $3.05 ,-$2.00 ,-$2.00 , $0.98 
1/12/2024,Harness,TAS,Launceston,Jamie Cockshutt,236621344,4920538,BACK,FALSE,Rated Price:  | Stake: 2 Units,1. Justify ,0, $29.27 ,-$2.00 ,-$2.00 , $0.07 
1/12/2024,Harness,TAS,Launceston,Jamie Cockshutt,236621344,66581355,BACK,FALSE,Rated Price:  | Stake: 3 Units,3. Watch It Happen ,1, $3.34 , $6.53 , $7.02 ,-$3.00 
1/12/2024,Harness,TAS,Launceston,Jamie Cockshutt,236621346,58604042,BACK,TRUE,Rated Price:  | Stake: 4 Units,5. Swiatek Leis ,0, $2.60 ,-$4.00 ,-$4.00 , $2.50 
1/12/2024,Harness,TAS,Launceston,Jamie Cockshutt,236621348,36499970,BACK,FALSE,Rated Price:  | Stake: 2 Units,12. Beyond Delight ,0, $6.58 ,-$2.00 ,-$2.00 , $0.36 
1/12/2024,Harness,TAS,Launceston,Jamie Cockshutt,236621348,64368215,BACK,FALSE,Rated Price:  | Stake: 2 Units,5. Glenledi Elvis ,1, $3.87 , $5.34 , $5.74 ,-$2.00 
1/12/2024,Harness,TAS,Launceston,Jamie Cockshutt,236621350,58636684,BACK,FALSE,Rated Price:  | Stake: 5 Units,1. Smooth Machete ,0, $1.33 ,-$5.00 ,-$5.00 , $15.15 
1/12/2024,Harness,TAS,Launceston,Jamie Cockshutt,236621352,53727805,BACK,FALSE,Rated Price:  | Stake: 1 Units,8. Jilliby Mendoza ,0, $27.69 ,-$1.00 ,-$1.00 , $0.04 
1/12/2024,Harness,TAS,Launceston,Jamie Cockshutt,236621352,47662181,BACK,FALSE,Rated Price:  | Stake: 3 Units,6. Iden Lady Lincoln,0, $4.10 ,-$3.00 ,-$3.00 , $0.97 
1/12/2024,Harness,TAS,Launceston,Jamie Cockshutt,236621354,27399216,BACK,FALSE,Rated Price:  | Stake: 2 Units,11. Major Lester ,0, $8.54 ,-$2.00 ,-$2.00 , $0.27 
1/12/2024,Harness,TAS,Launceston,Jamie Cockshutt,236621354,48855956,BACK,TRUE,Rated Price:  | Stake: 3 Units,5. Major Celebrity ,0, $1.70 ,-$3.00 ,-$3.00 , $4.29 
1/12/2024,Harness,TAS,Launceston,Jamie Cockshutt,236621356,68602640,BACK,TRUE,Rated Price:  | Stake: 3 Units,8. Octagonise ,1, $3.40 , $6.70 , $7.20 ,-$3.00 
1/12/2024,Harness,VIC,Stawell,Brett & Darren Carroll,236621111,77023360,BACK,FALSE,Rated Price: 2.6 | Stake: 1 Units,10. Sportsbou,0, $3.81 ,-$1.00 ,-$1.00 , $0.36 
1/12/2024,Harness,VIC,Stawell,Brett & Darren Carroll,236621115,48318670,BACK,FALSE,Rated Price: 1.8 | Stake: 3 Units,1. Tinsel Tiara,0, $1.64 ,-$3.00 ,-$3.00 , $4.69 
1/12/2024,Harness,VIC,Stawell,Brett & Darren Carroll,236621117,59724106,BACK,TRUE,Rated Price: 1.7 | Stake: 4 Units,2. Rudy Gee,0, $2.01 ,-$4.00 ,-$4.00 , $3.96 
1/12/2024,Thoroughbred,SA,Clare,Lachlan Mosley,236582882,65787408,BACK,FALSE,Rated Price:  | Stake: 3 Units,7. Amber Nook,1, $1.75 , $2.09 , $2.25 ,-$3.00 
1/12/2024,Thoroughbred,SA,Clare,Lachlan Mosley,236582913,44144289,BACK,FALSE,Rated Price:  | Stake: 2 Units,9. Mr Whitacre,1, $2.63 , $3.03 , $3.26 ,-$2.00 
1/12/2024,Thoroughbred,NSW,Maitland,Will Norman,236618366,37834754,BACK,FALSE,Rated Price: 4 | Stake: 2 Units,8. Night To Remember,0, $4.99 ,-$2.00 ,-$2.00 , $0.50 
1/12/2024,Thoroughbred,NSW,Maitland,Will Norman,236618372,38540815,BACK,TRUE,Rated Price: 2.5 | Stake: 2 Units,1. De La Renta,1, $2.73 , $3.22 , $3.46 ,-$2.00 
1/12/2024,Thoroughbred,NSW,Newcastle,Joshua Ingram,236584183,77082668,BACK,TRUE,Rated Price:  | Stake: 3 Units,7. Cutepi,1, $5.87 , $13.15 , $14.61 ,-$3.00 
