Tipster_Name,MeetingDate,TrackName,Content,International_Meeting,Racing_Code,Race,Selection,BettingStrategy,MarketType,RP,SelectionName,Stake,BestBet,Market_ID,Selection_ID,MBR,RESULT,BSP,PROFIT_BSP,PROFIT_BSP_RP,PROFIT_BESTBET
Michael Tye,1/06/2026,Sandown Park,EXPERT TIPS,FALSE,Greyhounds,2,7,BACK,WIN,$1.68,7. Maxi Grin,2,,258765744,95965495,8,1,1.42,0.77,0.00,0.00
Michael Tye,1/06/2026,Sandown Park,EXPERT TIPS,FALSE,Greyhounds,4,3,BACK,WIN,$1.90,3. Paw Xerox ,4,BEST BET,258765754,96183674,8,0,2.44,-4.00,-4.00,-4.00
Brett & Darren Carroll,1/06/2026,Stawell,EXPERT TIPS,FALSE,Harness,1,6,BACK,WIN,$2.40,6. Delightful Reyna,1,,258764904,98996693,8,0,1.93,-1.00,0.00,0.00
Brett & Darren Carroll,1/06/2026,Stawell,EXPERT TIPS,FALSE,Harness,1,6,BACK,WIN,$2.50,6. Delightful Reyna ,1,,258764904,98996693,8,0,1.93,-1.00,0.00,0.00
Brett & Darren Carroll,1/06/2026,Stawell,EXPERT TIPS,FALSE,Harness,4,5,BACK,WIN,$2.50,5. Mattyo,1,,258764910,56409272,8,0,3.97,-1.00,-1.00,0.00
Brett & Darren Carroll,1/06/2026,Stawell,EXPERT TIPS,FALSE,Harness,5,2,BACK,WIN,$1.80,2. Isthisthereallife,2,BEST BET,258764912,97726712,8,1,1.68,1.25,0.00,1.25
Brett & Darren Carroll,1/06/2026,Stawell,EXPERT TIPS,FALSE,Harness,7,4,BACK,WIN,$2.40,4. Jansen,2,,258764916,97803899,8,0,2.99,-2.00,-2.00,0.00
Ryan Spice,2/06/2026,Albion Park,EXPERT TIPS,FALSE,Harness,3,6,BACK,WIN,$1.90,6. Shankys Shot,3,BEST BET,258787697,97762587,8,0,3.03,-3.00,-3.00,-3.00
Ryan Spice,2/06/2026,Albion Park,EXPERT TIPS,FALSE,Harness,6,9,BACK,WIN,$3.00,9. Barlor Heaven,2,BEST BET,258787703,90526444,8,0,1.74,-2.00,0.00,-2.00
Mitch Lewis,2/06/2026,Kembla Grange,EXPERT TIPS,FALSE,Thoroughbred,4,1,BACK,WIN,$2.40,1. Smoke N Darts,2,,258763102,98417849,10,1,4.1,5.58,5.58,0.00
Mitch Lewis,2/06/2026,Kembla Grange,EXPERT TIPS,FALSE,Thoroughbred,7,1,BACK,WIN,$3.00,1. Presides,2,BEST BET,258763111,69352349,10,1,3,3.60,3.60,3.60
Will Norman,2/06/2026,Menangle,EXPERT TIPS,FALSE,Harness,1,6,BACK,WIN,$1.50,6. Gladiatrix,2,,258793607,5237327,8,1,1.56,1.03,1.03,0.00
Will Norman,2/06/2026,Menangle,EXPERT TIPS,FALSE,Harness,5,1,BACK,WIN,$1.50,1. Peachesncream,1,,258793619,99002724,8,1,4.24,2.98,2.98,0.00
Will Norman,2/06/2026,Menangle,EXPERT TIPS,FALSE,Harness,7,5,BACK,WIN,$1.70,5. Perfectdelight,2,BEST BET,258793625,79771647,8,1,2.29,2.37,2.37,2.37
Will Norman,2/06/2026,Menangle,EXPERT TIPS,FALSE,Harness,9,7,LAY,WIN,$5.00,7. Cya Art,1,,258793631,38686861,8,0,14.06,0.07,0.00,0.00
Brett & Darren Carroll,2/06/2026,Shepparton,EXPERT TIPS,FALSE,Harness,2,4,BACK,WIN,$4.00,4. Miss Joplin,1,,258790755,79067476,8,0,13,-1.00,-1.00,0.00
Brett & Darren Carroll,2/06/2026,Shepparton,EXPERT TIPS,FALSE,Harness,5,8,BACK,WIN,$2.50,8. Hitch To His Star,2,BEST BET,258790761,81889611,8,0,2.42,-2.00,0.00,-2.00
Brett & Darren Carroll,2/06/2026,Shepparton,EXPERT TIPS,FALSE,Harness,6,3,BACK,WIN,$4.00,3. Interestinme,1,,258790763,98996743,8,0,7.82,-1.00,-1.00,0.00
Brett & Darren Carroll,2/06/2026,Shepparton,EXPERT TIPS,FALSE,Harness,9,7,BACK,WIN,$1.40,7. Katie Lorraine,3,BEST BET,258790769,98996747,8,1,1.32,0.88,0.00,0.88
Michael Tye,3/06/2026,Ballarat,EXPERT TIPS,FALSE,Greyhounds,10,8,LAY,WIN,$7.00,8. Leap Of Faith,2,,258825316,70079516,8,1,9.4,-2.00,0.00,0.00
Michael Tye,3/06/2026,Ballarat,EXPERT TIPS,FALSE,Greyhounds,10,8,LAY,PLACE,$7.00,8. Leap Of Faith,2,,258825317,70079516,8,1,2.39,-2.00,-2.00,0.00
Michael Tye,3/06/2026,Ballarat,EXPERT TIPS,FALSE,Greyhounds,12,4,LAY,WIN,$3.00,4. Mile A Minute ,2,,258825326,67821709,8,1,3.02,-2.00,0.00,0.00
Michael Tye,3/06/2026,Ballarat,EXPERT TIPS,FALSE,Greyhounds,2,8,BACK,WIN,$1.65,8. Lilly Zoom ,4,BEST BET,258825276,87454494,8,1,1.79,2.91,2.91,2.91
Michael Tye,3/06/2026,Ballarat,EXPERT TIPS,FALSE,Greyhounds,6,8,BACK,WIN,$2.25,8. Upended ,3,,258825296,89489409,8,1,1.79,2.18,0.00,0.00
Michael Tye,3/06/2026,Ballarat,EXPERT TIPS,FALSE,Greyhounds,6,5,LAY,WIN,$3.20,5. Mother Georgia ,3,BEST BET,258825296,91027742,8,0,2.87,1.48,1.48,1.48
Michael Tye,3/06/2026,Ballarat,EXPERT TIPS,FALSE,Greyhounds,7,1,BACK,WIN,$1.45,1. Hurricane ,4,,258825301,93828007,8,0,1.75,-4.00,-4.00,0.00
Michael Tye,3/06/2026,Ballarat,EXPERT TIPS,FALSE,Greyhounds,8,3,LAY,WIN,$4.40,3. Crackerjack Ralf ,2,,258825306,99142370,8,1,4.41,-2.00,0.00,0.00
Brett & Darren Carroll,3/06/2026,Bendigo,EXPERT TIPS,FALSE,Harness,2,4,BACK,WIN,$3.00,4. Dreamtime Nala,2,,258824442,64547761,8,1,1.75,1.38,0.00,0.00
Brett & Darren Carroll,3/06/2026,Bendigo,EXPERT TIPS,FALSE,Harness,4,8,BACK,WIN,$3.00,8. Tivoli,1,,258824446,4774370,8,1,2.92,1.77,0.00,0.00
Brett & Darren Carroll,3/06/2026,Bendigo,EXPERT TIPS,FALSE,Harness,6,1,LAY,WIN,$7.00,1. Shazza Love,1,,258824450,95965242,8,0,7.87,0.13,0.00,0.00
Brett & Darren Carroll,3/06/2026,Bendigo,EXPERT TIPS,FALSE,Harness,8,6,BACK,WIN,$2.50,6. Royal Appointment,2,BEST BET,258824454,4669929,8,0,2.3,-2.00,0.00,-2.00
Jackson Oldham,3/06/2026,Sandown,EXPERT TIPS,FALSE,Thoroughbred,8,7,BACK,WIN,$2.40,7. Rodriquez,2,BEST BET,258790742,90286836,8,0,2.64,-2.00,-2.00,-2.00
