Date,Track,Race Name,Race,MarketId,SelectionId,Rug,Dog,Rated Price,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,WIN_VALUE
2024-01-01,Albion Park,R1 520m Mdn,1,223079794,61489695,1,Rather Flash,2.93,,,,,
2024-01-01,Albion Park,R1 520m Mdn,1,223079794,64458801,2,Hudson Pink,11.89,,,,,
2024-01-01,Albion Park,R1 520m Mdn,1,223079794,64458802,3,Absolution,6.15,,,,,
2024-01-01,Albion Park,R1 520m Mdn,1,223079794,64458803,4,Henry Locksmith,7.67,,,,,
2024-01-01,Albion Park,R1 520m Mdn,1,223079794,64458804,6,Fast Money,9.89,,,,,
2024-01-01,Albion Park,R1 520m Mdn,1,223079794,64458805,7,Jimmy Giant,8.09,,,,,
2024-01-01,Albion Park,R1 520m Mdn,1,223079794,64458806,8,Raider,17.55,,,,,
2024-01-01,Albion Park,R10 395m Gr5,10,223079839,61967374,1,Too Tough Tess,15.2,,,,,
2024-01-01,Albion Park,R10 395m Gr5,10,223079839,59621466,3,Jayson Bull,5.44,,,,,
2024-01-01,Albion Park,R10 395m Gr5,10,223079839,61967363,4,Aidans Queen,2.21,,,,,
2024-01-01,Albion Park,R10 395m Gr5,10,223079839,47662090,6,Dayseas Unique,16.09,,,,,
2024-01-01,Albion Park,R10 395m Gr5,10,223079839,50062533,7,Refulgent,13.71,,,,,
2024-01-01,Albion Park,R10 395m Gr5,10,223079839,56173640,8,Whos Rose,15.52,,,,,
2024-01-01,Albion Park,R10 395m Gr5,10,223079839,64458811,9,Heres Howie,10.22,,,,,
2024-01-01,Albion Park,R11 395m Gr5,11,223079844,64084547,1,Logan Alpha,3.13,,,,,
2024-01-01,Albion Park,R11 395m Gr5,11,223079844,64458812,2,Annihilating,4.29,,,,,
2024-01-01,Albion Park,R11 395m Gr5,11,223079844,57593625,3,Comical Bill,5.64,,,,,
2024-01-01,Albion Park,R11 395m Gr5,11,223079844,60491045,5,Wardlaw,6.16,,,,,
2024-01-01,Albion Park,R11 395m Gr5,11,223079844,46055735,7,My Ninja,45.85,,,,,
2024-01-01,Albion Park,R11 395m Gr5,11,223079844,58100200,8,Indian Heat,11.63,,,,,
2024-01-01,Albion Park,R2 520m Nvce,2,223079799,53575669,1,Comical Hope,25.81,,,,,
2024-01-01,Albion Park,R2 520m Nvce,2,223079799,64458807,2,Big Easy Al,4.27,,,,,
2024-01-01,Albion Park,R2 520m Nvce,2,223079799,62632859,3,Haras Heidi,8.59,,,,,
2024-01-01,Albion Park,R2 520m Nvce,2,223079799,63518976,4,Copacetic,7.21,,,,,
2024-01-01,Albion Park,R2 520m Nvce,2,223079799,59187257,5,Circle The Storm,5.65,,,,,
2024-01-01,Albion Park,R2 520m Nvce,2,223079799,64458808,6,Blazing Lantana,6.81,,,,,
2024-01-01,Albion Park,R2 520m Nvce,2,223079799,55133292,7,City Steamer,16.95,,,,,
2024-01-01,Albion Park,R2 520m Nvce,2,223079799,63572459,8,Circle The Sky,11.26,,,,,
2024-01-01,Albion Park,R3 520m Heat,3,223079804,49183848,1,Oh Minnie,2.79,,,,,
2024-01-01,Albion Park,R3 520m Heat,3,223079804,44123745,2,Samsons Delilah,10.08,,,,,
2024-01-01,Albion Park,R3 520m Heat,3,223079804,56838244,3,Abominable,7.61,,,,,
2024-01-01,Albion Park,R3 520m Heat,3,223079804,42236714,4,Keep Tracking,37.86,,,,,
2024-01-01,Albion Park,R3 520m Heat,3,223079804,58883185,6,Zipping Boost,28.37,,,,,
2024-01-01,Albion Park,R3 520m Heat,3,223079804,55458224,7,Comical Cyndie,4.89,,,,,
2024-01-01,Albion Park,R3 520m Heat,3,223079804,56807822,8,King Of Cool,6.94,,,,,
