Date,Track,Race Name,Race,MarketId,SelectionId,Rug,Dog,Rated Price,Early Speed,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,WIN_VALUE
2026-01-01,Angle Park,R1 530m Gr5,1,252223924,68349000,1,Irinka Benji,4.84,0.3175640267621893,1.0,5.36,1.0,1.91,0.02004440606882943
2026-01-01,Angle Park,R1 530m Gr5,1,252223924,81849528,2,Princess Tilley,5.03,0.6660838631964103,0.0,2.8,1.0,1.61,-0.1583357000852031
2026-01-01,Angle Park,R1 530m Gr5,1,252223924,88071535,3,Carry On Kim,4.32,0.612350581735081,0.0,7.6,0.0,3.3,0.09990253411306041
2026-01-01,Angle Park,R1 530m Gr5,1,252223924,83322897,4,House Of Wong,11.86,0.667111327471132,0.0,29.73,0.0,9.29,0.05068097418645267
2026-01-01,Angle Park,R1 530m Gr5,1,252223924,61372175,6,Eat The Ticket,30.38,0.42333930339387404,0.0,138.98,0.0,339.57,0.025721112467009005
2026-01-01,Angle Park,R1 530m Gr5,1,252223924,61028078,7,Stormy Day,6.65,0.5087092123183762,0.0,4.64,0.0,2.32,-0.06514130152968631
2026-01-01,Angle Park,R1 530m Gr5,1,252223924,70705125,8,Boom Boom Jack,10.5,0.6517139304605444,0.0,34.4,0.0,11.0,0.06616832779623477
2026-01-01,Angle Park,R10 730m Gr5,10,252223969,78811729,1,Memories Of Rose,4.61,0.6115201361896354,0.0,10.08,0.0,,0.11771339048996314
2026-01-01,Angle Park,R10 730m Gr5,10,252223969,81553734,3,Ginnys Run,4.01,0.5736974197738393,0.0,4.6,0.0,,0.031985254255665174
2026-01-01,Angle Park,R10 730m Gr5,10,252223969,69643143,5,Paw Louis,5.77,0.4318311065170718,0.0,5.5,0.0,,-0.00850795651488892
2026-01-01,Angle Park,R10 730m Gr5,10,252223969,56254432,7,Aces Chance,2.78,0.47668471337600166,1.0,2.0,0.0,,-0.14028776978417262
2026-01-01,Angle Park,R11 730m Gr6,11,252223974,67078059,1,Nitro Neo,2.92,0.344020594819067,0.0,3.87,0.0,1.73,0.08406782060812007
2026-01-01,Angle Park,R11 730m Gr6,11,252223974,3056159,2,Precinct,3.14,0.5747392577519002,1.0,2.56,1.0,1.5,-0.07215366242038218
2026-01-01,Angle Park,R11 730m Gr6,11,252223974,83051633,4,Power Move,3.82,0.3155344087752763,0.0,3.0,1.0,1.59,-0.07155322862129143
2026-01-01,Angle Park,R11 730m Gr6,11,252223974,72857687,6,Dark Trace,184.86,0.3917492858287863,0.0,55.0,0.0,21.0,-0.012772319101433026
2026-01-01,Angle Park,R11 730m Gr6,11,252223974,74461732,8,Zenvo Yoyo,13.83,0.25621718914772407,0.0,55.84,0.0,20.0,0.0543982704431834
2026-01-01,Angle Park,R12 342m Gr6,12,252223979,80106216,1,Foul Throw,8.52,0.5162202778813056,0.0,68.42,0.0,10.5,0.10275528254786441
2026-01-01,Angle Park,R12 342m Gr6,12,252223979,78995886,2,Phantom Carat,12.52,0.4939935814460572,0.0,100.0,1.0,11.5,0.06987220447284345
2026-01-01,Angle Park,R12 342m Gr6,12,252223979,87454461,4,Weblec Snip,5.38,0.44780376978480446,0.0,5.36,0.0,1.55,-0.0006935582311490551
2026-01-01,Angle Park,R12 342m Gr6,12,252223979,86621566,5,Carry On Casey,2.38,0.5428178616379123,1.0,1.35,1.0,1.13,-0.32057267351384994
2026-01-01,Angle Park,R12 342m Gr6,12,252223979,83421270,7,Binnaway Sands,8.22,0.5204390697795868,0.0,21.0,0.0,4.1,0.07403545359749739
