Date,Track,Race Name,Race,Market,Selection,Number,Horse,RP,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,Value,,
1/01/2024,Ascot,R1 1100m 2yo,1,223004260,39388315,6,Smart Shadow,23.18,0,230,0,50,0.038792812,,
1/01/2024,Ascot,R1 1100m 2yo,1,223004260,4021256,4,Overdrive,7.78,0,9.58,0,2.96,0.024150571,,
1/01/2024,Ascot,R1 1100m 2yo,1,223004260,505137,2,Street Band,7.28,0,7.15,1,2.09,-0.002497502,,
1/01/2024,Ascot,R1 1100m 2yo,1,223004260,64343968,1,Sinful Living,1.98,1,1.45,1,1.13,-0.184604667,,
1/01/2024,Ascot,R1 1100m 2yo,1,223004260,64343969,3,Fighting Thunder,10.77,0,22.27,0,6.2,0.047947053,,
1/01/2024,Ascot,R1 1100m 2yo,1,223004260,64343970,5,Alabama Elegance,10.77,0,30.74,0,7.2,0.060319606,,
1/01/2024,Ascot,R2 1000m 3yo,2,223004267,2156610,3,All Play,3.65,0,3.17,1,1.47,-0.041484811,,
1/01/2024,Ascot,R2 1000m 3yo,2,223004267,59416037,4,Our Rocky Bay,25.69,0,22,0,5,-0.006528893,,
1/01/2024,Ascot,R2 1000m 3yo,2,223004267,59887569,7,Angel Undercover,18.83,1,10.35,1,2.49,-0.043511613,,
1/01/2024,Ascot,R2 1000m 3yo,2,223004267,64343971,1,Ginnivan,4.26,0,5,0,1.79,0.034741784,,
1/01/2024,Ascot,R2 1000m 3yo,2,223004267,64343972,2,Shell Bell,4.83,0,7.5,1,2.03,0.073706004,,
1/01/2024,Ascot,R2 1000m 3yo,2,223004267,64343974,6,Siberian Siren,5.2,0,4.6,0,1.51,-0.025083612,,
1/01/2024,Ascot,R3 1000m Hcap,3,223004274,45543013,2,Sky Duke,12.45,0,12.9,0,3,0.002801905,,
1/01/2024,Ascot,R3 1000m Hcap,3,223004274,50168577,5,Hang Glider,6.8,0,7.6,1,1.91,0.015479876,,
1/01/2024,Ascot,R3 1000m Hcap,3,223004274,50836064,1,Brave Venture,6.83,1,15.61,1,3.43,0.082351385,,
1/01/2024,Ascot,R3 1000m Hcap,3,223004274,51736404,6,Zouboltz,12.26,0,17.49,0,3.44,0.02439054,,
1/01/2024,Ascot,R3 1000m Hcap,3,223004274,63027509,8,Strictly Cash,191.64,0,571.23,0,71.17,0.003467509,,
1/01/2024,Ascot,R3 1000m Hcap,3,223004274,64343976,3,Bayezid,8.32,0,8.14,0,2.24,-0.002657815,,
1/01/2024,Ascot,R3 1000m Hcap,3,223004274,64343977,4,Art Of Sabrage,15.74,0,8.92,1,2.42,-0.048575222,,
1/01/2024,Ascot,R3 1000m Hcap,3,223004274,64343978,7,Hostile Talk,2.81,0,2.25,0,1.36,-0.088572558,,
1/01/2024,Ascot,R4 1200m Hcap,4,223004281,173534,9,Wonder Weapon,33.82,0,80,1,13,0.017068303,,
1/01/2024,Ascot,R4 1200m Hcap,4,223004281,3286151,5,Bonjoy,4.57,0,4.81,0,1.79,0.010918173,,
1/01/2024,Ascot,R4 1200m Hcap,4,223004281,41676757,7,Millivoy,14.75,0,14.74,0,4.2,-4.60E-05,,
1/01/2024,Ascot,R4 1200m Hcap,4,223004281,41750613,8,Vampi At Play,11.59,0,9.73,1,2.89,-0.016493646,,
1/01/2024,Ascot,R4 1200m Hcap,4,223004281,56528643,1,Falcon Trader,8.43,0,8,0,2.63,-0.006376038,,
1/01/2024,Ascot,R4 1200m Hcap,4,223004281,57563826,6,Empress Of India,7.03,0,7.07,0,2.39,0.000804795,,
1/01/2024,Ascot,R4 1200m Hcap,4,223004281,60987533,4,Deamber,4.01,1,3.95,1,1.53,-0.003787998,,
1/01/2024,Ascot,R4 1200m Hcap,4,223004281,64343979,3,Go Go Grommet,11.42,0,9.9,0,2.96,-0.013444427,,
1/01/2024,Ascot,R5 1800m Hcap,5,223004288,41642874,10,Paigeys Turn,39.82,0,30,0,7.4,-0.008220325,,
1/01/2024,Ascot,R5 1800m Hcap,5,223004288,41931297,5,Awesome Chatter,31.16,0,43.46,0,8.6,0.009082762,,
1/01/2024,Ascot,R5 1800m Hcap,5,223004288,51958623,1,Wee Ripper,75.68,0,77.89,0,17.6,0.000374912,,
1/01/2024,Ascot,R5 1800m Hcap,5,223004288,52621767,3,Flower In The Wind,9.46,0,15.05,0,4.3,0.039263063,,
1/01/2024,Ascot,R5 1800m Hcap,5,223004288,57378658,11,Royal Gap,22.84,0,17.5,1,5.3,-0.01336002,,
1/01/2024,Ascot,R5 1800m Hcap,5,223004288,63860551,2,San Fabrizio,5.26,1,7.2,1,2.2,0.05122518,,
1/01/2024,Ascot,R5 1800m Hcap,5,223004288,63860552,9,Nod And Smile,10.05,0,8,0,2.8,-0.025497512,,
1/01/2024,Ascot,R5 1800m Hcap,5,223004288,64343980,4,I Love Your Smile,12,0,12.97,0,3.76,0.006232331,,
1/01/2024,Ascot,R5 1800m Hcap,5,223004288,64343981,6,Secret Attraction,3.88,0,3.15,0,1.41,-0.059728359,,
1/01/2024,Ascot,R5 1800m Hcap,5,223004288,64343982,7,Speak To Me,9.55,0,8.8,1,3.1,-0.008924322,,
1/01/2024,Ascot,R5 1800m Hcap,5,223004288,64343983,8,Allmamoney,22.42,0,18.97,0,5.2,-0.00811178,,
1/01/2024,Ascot,R6 1800m Grp3,6,223004295,2422526,7,Forever Dreaming,16.75,0,18.55,1,3.62,0.005793137,,
1/01/2024,Ascot,R6 1800m Grp3,6,223004295,28486523,5,Bandalera Miss,181.82,0,157.19,0,19.38,-0.000861783,,
1/01/2024,Ascot,R6 1800m Grp3,6,223004295,42140494,1,Jadavi,58.53,0,55,0,8.98,-0.001096563,,
1/01/2024,Ascot,R6 1800m Grp3,6,223004295,43155017,6,Megami,13.99,0,11.06,0,2.67,-0.018936285,,
1/01/2024,Ascot,R6 1800m Grp3,6,223004295,51591086,9,Fine Touch,24.75,0,28,1,5.44,0.004689755,,
1/01/2024,Ascot,R6 1800m Grp3,6,223004295,53882510,8,Yonga Lass,2.95,1,2.78,1,1.42,-0.020729179,,
1/01/2024,Ascot,R6 1800m Grp3,6,223004295,59958348,10,Kia Ora Jewel,65.21,0,44.74,0,7.37,-0.007016292,,
1/01/2024,Ascot,R6 1800m Grp3,6,223004295,63860554,2,Rusty Dreams,2.7,0,2.98,0,1.3,0.034799901,,
1/01/2024,Ascot,R6 1800m Grp3,6,223004295,64343984,3,Ihts Closing Inn,13.19,0,12.24,0,2.96,-0.005884335,,
1/01/2024,Ascot,R6 1800m Grp3,6,223004295,64343985,11,Ecstasy Of Gold,181.82,0,64.16,0,12.21,-0.01008609,,
1/01/2024,Ascot,R7 1000m Listed,7,223004302,12143631,5,Capital Flight,37.46,0,27,0,6,-0.010341896,,
1/01/2024,Ascot,R7 1000m Listed,7,223004302,27386621,4,Gemmas Son,8.28,0,11.5,0,3.15,0.033816425,,
1/01/2024,Ascot,R7 1000m Listed,7,223004302,28495049,8,Moi Choux,22.58,0,20.98,0,5.24,-0.003377463,,
1/01/2024,Ascot,R7 1000m Listed,7,223004302,36865191,7,Land Of Valens,53.61,0,64.83,0,14.37,0.003228279,,
1/01/2024,Ascot,R7 1000m Listed,7,223004302,40022499,1,Ghost Who Walks,11.15,1,9.65,1,3.3,-0.013940844,,
1/01/2024,Ascot,R7 1000m Listed,7,223004302,41145964,2,Itsarayday,10.62,0,9.69,0,2.81,-0.009037216,,
1/01/2024,Ascot,R7 1000m Listed,7,223004302,50713854,3,Real Danger,5.41,0,5.73,1,2.1,0.010322814,,
1/01/2024,Ascot,R7 1000m Listed,7,223004302,60491802,6,Cut The Talk,5.51,0,5.26,1,2.07,-0.008625865,,
1/01/2024,Ascot,R7 1000m Listed,7,223004302,64343986,9,Songaa,32.73,0,33.17,0,8.18,0.000405286,,
1/01/2024,Ascot,R7 1000m Listed,7,223004302,64343987,10,Wild Belle,4.79,0,4.14,0,1.81,-0.032777626,,
1/01/2024,Ascot,R8 2400m Grp2,8,223004309,15313841,3,Bad Wolf,194.92,0,292.39,0,42,0.00171022,,
1/01/2024,Ascot,R8 2400m Grp2,8,223004309,3944341,6,Blazing Away,71.48,0,44,0,9.46,-0.008737345,,
1/01/2024,Ascot,R8 2400m Grp2,8,223004309,41035520,5,Black Fantasy,15.79,0,19.5,0,5.11,0.012049171,,
1/01/2024,Ascot,R8 2400m Grp2,8,223004309,43527586,1,Numerian,4.67,0,9.16,0,2.86,0.104962457,,
1/01/2024,Ascot,R8 2400m Grp2,8,223004309,44509155,4,Be Optimistic,12.07,0,11.22,1,3.55,-0.006276518,,
1/01/2024,Ascot,R8 2400m Grp2,8,223004309,49740879,12,Neufbosc,43.08,0,42,0,10.71,-0.000596896,,
1/01/2024,Ascot,R8 2400m Grp2,8,223004309,50141168,2,Zoumon,13.04,0,10,0,3.21,-0.023312883,,
1/01/2024,Ascot,R8 2400m Grp2,8,223004309,51752670,9,Diamond Scene,35.83,0,21.91,0,5.6,-0.017731687,,
1/01/2024,Ascot,R8 2400m Grp2,8,223004309,63553007,7,Casino Seventeen,3.28,1,3.03,1,1.58,-0.025154955,,
1/01/2024,Ascot,R8 2400m Grp2,8,223004309,64292685,8,Demolish,43.08,0,37.44,1,7.01,-0.003496774,,
1/01/2024,Ascot,R8 2400m Grp2,8,223004309,64292686,10,Holy Enchantment,36.89,0,28,0,5.97,-0.008606668,,
1/01/2024,Ascot,R8 2400m Grp2,8,223004309,64292687,11,Letsdeal,64.02,0,60.97,0,13.68,-0.00078139,,
1/01/2024,Ascot,R8 2400m Grp2,8,223004309,64292688,13,Playhouse Patron,195.34,0,178.16,0,21.06,-0.000493653,,
1/01/2024,Ascot,R8 2400m Grp2,8,223004309,64292689,14,Queen Alina,9.42,0,10.31,0,2.74,0.009163902,,
1/01/2024,Ascot,R8 2400m Grp2,8,223004309,64292690,15,Tonis Spirit,189.68,0,135.95,0,17.15,-0.002083608,,
1/01/2024,Ascot,R8 2400m Grp2,8,223004309,64292691,16,Truly Inspired,183.9,0,110,0,22,-0.003653171,,
1/01/2024,Ascot,R9 1200m Hcap,9,223004316,28281193,3,Brooklyn Pier,15.88,0,16.19,0,4.36,0.00120577,,
1/01/2024,Ascot,R9 1200m Hcap,9,223004316,28541457,4,Hint Of Mint,18.49,0,14.5,0,3.25,-0.014882229,,
1/01/2024,Ascot,R9 1200m Hcap,9,223004316,41375261,8,Cobbanco,27.96,0,33.42,0,6.6,0.005843177,,
1/01/2024,Ascot,R9 1200m Hcap,9,223004316,43015777,1,Corn Cob,63.76,0,65,0,9.8,0.000299199,,
1/01/2024,Ascot,R9 1200m Hcap,9,223004316,46837430,2,Playthatfunkymusic,9.68,0,9.2,0,2.74,-0.005389867,,
1/01/2024,Ascot,R9 1200m Hcap,9,223004316,51179338,10,Rear Admiral,7.53,0,8.4,1,2.5,0.013754506,,
1/01/2024,Ascot,R9 1200m Hcap,9,223004316,624596,6,Universal Flair,19.55,0,39.49,0,10.5,0.025828029,,
1/01/2024,Ascot,R9 1200m Hcap,9,223004316,64343989,7,Hanchi,2.58,0,2.88,1,1.39,0.040374677,,
1/01/2024,Ascot,R9 1200m Hcap,9,223004316,64343990,9,Deep Speed,41.55,0,69.65,0,13.5,0.009709887,,
