Date,Track,Race Name,Race,Market,Selection,Number,Horse,Race_Speed,Speed_Cat,Early_Speed,Late_Speed,RP,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,Value
2026-07-01,Belmont Park,R1 1000m Mdn,1,259574863,43510014,1,Hot Deal,Slow,No Data,0.0,Unknown,11.42,0.0,20.0,0.0,5.03,0.03756567425569177
2026-07-01,Belmont Park,R1 1000m Mdn,1,259574863,100164994,2,Like a Rock,Slow,Backmarker,0.1666666666666666,1.0,26.3,0.0,46.0,0.0,9.2,0.01628368325343032
2026-07-01,Belmont Park,R1 1000m Mdn,1,259574863,100164995,3,Pop The Rock,Slow,No Data,0.0,Unknown,71.83,0.0,201.34,0.0,25.0,0.008955036754233894
2026-07-01,Belmont Park,R1 1000m Mdn,1,259574863,100164996,4,Pyro Tex,Slow,No Data,0.0,Unknown,17.06,0.0,10.5,0.0,3.44,-0.036621448110310935
2026-07-01,Belmont Park,R1 1000m Mdn,1,259574863,100164997,5,Lunar Spark,Slow,Backmarker,0.0833333333333333,4.0,14.06,0.0,28.47,0.0,5.8,0.035999062675342405
2026-07-01,Belmont Park,R1 1000m Mdn,1,259574863,100164998,6,The Prancing Pony,Slow,Midfield,0.5,4.0,54.66,0.0,65.0,0.0,9.4,0.0029102986292887517
2026-07-01,Belmont Park,R1 1000m Mdn,1,259574863,100164999,7,Go Shawty,Slow,No Data,0.0,Unknown,16.5,0.0,10.82,0.0,3.08,-0.03181538116843108
2026-07-01,Belmont Park,R1 1000m Mdn,1,259574863,100165000,8,Hansadios,Slow,No Data,0.0,Unknown,4.65,0.0,5.2,1.0,1.85,0.0227460711331679
2026-07-01,Belmont Park,R1 1000m Mdn,1,259574863,100165001,9,Heavenly Paradise,Slow,No Data,0.0,Unknown,5.09,0.0,3.95,1.0,1.62,-0.0567009027380567
2026-07-01,Belmont Park,R1 1000m Mdn,1,259574863,100165002,10,Mega Storm,Slow,No Data,0.0,Unknown,33.63,0.0,70.0,0.0,11.0,0.015449641051781997
2026-07-01,Belmont Park,R1 1000m Mdn,1,259574863,100165003,11,Rockin Serenity,Slow,No Data,0.0,Unknown,4.75,1.0,4.64,1.0,1.9,-0.004990925589836687
2026-07-01,Belmont Park,R2 1000m Mdn,2,259574872,92207883,1,Sunset Session,Average,Midfield,0.4166666666666667,3.0,2.93,0.0,2.57,1.0,1.29,-0.04780813003811374
