EVENT_DATE,PATH,EVENT_ID,MARKET_TYPE,MARKET_ID,MARKET_NAME,SELECTION_ID,RUNNER_NAME,RUNNER_STATUS,IS_WINNER,TOTAL_POINTS,HOME_TEAM,AWAY_TEAM,HOME_MARGIN,HOME_SCORE,AWAY_SCORE,BEST_BACK_FIRST_BOUNCE,BEST_LAY_FIRST_BOUNCE,MATCHED_VOLUME_FIRST_BOUNCE,BEST_BACK_PRICE_APPROX_QUARTER_TIME,BEST_LAY_PRICE_APPROX_QUARTER_TIME,MATCHED_VOLUME_QUARTER_TIME,BEST_BACK_PRICE_HALF_TIME,BEST_LAY_PRICE_HALF_TIME,MATCHED_VOLUME_HALF_TIME,BEST_BACK_PRICE_APPROX_THREE_QUARTER_TIME,BEST_LAY_PRICE_APPROX_THREE_QUARTER_TIME,MATCHED_VOLUME_APPROX_THREE_QUARTER_TIME,TOTAL_MATCHED_VOLUME
2022-10-01 00:00:00.000 +0000, Australian NBL/S.E. Melbourne Phoenix v Tasmania JackJumpers,31782573,MATCH_ODDS,204088344,Match Odds,27729378,S.E. Melbourne Phoenix,WINNER,1,163,S.E. Melbourne Phoenix,Tasmania JackJumpers,5,84,79,2.08,2.14,4435.59,1.32,1.45,8007.59,1.37,1.42,10292.3,1.62,1.54,14974.1,22799.95
2022-10-01 00:00:00.000 +0000, Australian NBL/S.E. Melbourne Phoenix v Tasmania JackJumpers,31782573,MATCH_ODDS,204088344,Match Odds,40796164,Tasmania JackJumpers,LOSER,0,163,S.E. Melbourne Phoenix,Tasmania JackJumpers,5,84,79,1.87,1.9,4380.36,3.25,3.25,5768.67,3.05,3.9,5986.88,2.16,2.72,6751.79,7354.55
2022-10-01 00:00:00.000 +0000, Australian NBL/Illawarra Hawks v Sydney Kings,31782574,MATCH_ODDS,204088640,Match Odds,38507223,Illawarra Hawks,LOSER,0,203,Illawarra Hawks,Sydney Kings,-9,97,106,2.16,1000,1456.01,2.06,4,1506.01,2.54,3.95,1722.21,2.86,4.9,3617.97,6448.83
2022-10-01 00:00:00.000 +0000, Australian NBL/Illawarra Hawks v Sydney Kings,31782574,MATCH_ODDS,204088640,Match Odds,1196407,Sydney Kings,WINNER,1,203,Illawarra Hawks,Sydney Kings,-9,97,106,1.57,2.3,8250.49,1.5,1.65,11738.98,1.55,1.61,12866.96,1.44,1.5,17653.94,22184.02
2022-10-02 00:00:00.000 +0000, Australian NBL/Melbourne United v New Zealand Breakers,31784910,MATCH_ODDS,204190052,Match Odds,8814925,Melbourne United,WINNER,1,198,Melbourne United,New Zealand Breakers,4,101,97,1.36,1.37,4936.58,1.49,1.62,6492.83,1.3,1.41,7153.25,1.13,1.19,9880.83,12750.87
2022-10-02 00:00:00.000 +0000, Australian NBL/Melbourne United v New Zealand Breakers,31784910,MATCH_ODDS,204190052,Match Odds,1049592,New Zealand Breakers,LOSER,0,198,Melbourne United,New Zealand Breakers,4,101,97,3.6,3.85,170.94,2.3,1000,663.9,3.3,1000,807.73,5.6,1000,917.74,1073.4
2022-10-02 00:00:00.000 +0000, Australian NBL/Perth Wildcats v Brisbane Bullets,31784911,MATCH_ODDS,204190348,Match Odds,1196396,Brisbane Bullets,LOSER,0,160,Perth Wildcats,Brisbane Bullets,14,87,73,2.36,1000,388.32,1.63,1.9,519.05,6.2,1000,522.05,7.2,20,607.17,607.2
2022-10-02 00:00:00.000 +0000, Australian NBL/Perth Wildcats v Brisbane Bullets,31784911,MATCH_ODDS,204190348,Match Odds,1196410,Perth Wildcats,WINNER,1,160,Perth Wildcats,Brisbane Bullets,14,87,73,1.46,1.59,1175.48,2.02,2.28,1433.67,1.1,1.17,1553.65,1.05,1.08,4366.77,4970.39
2022-10-03 00:00:00.000 +0000, Australian NBL/Tasmania JackJumpers v Cairns Taipans,31787963,MATCH_ODDS,204190644,Match Odds,1196408,Cairns Taipans,WINNER,1,190,Tasmania JackJumpers,Cairns Taipans,-22,84,106,3.75,,1727.11,7,7,2381.09,2.42,4.3,2731.6,1.03,1.05,12241.91,15132.31
2022-10-03 00:00:00.000 +0000, Australian NBL/Tasmania JackJumpers v Cairns Taipans,31787963,MATCH_ODDS,204190644,Match Odds,40796164,Tasmania JackJumpers,LOSER,0,190,Tasmania JackJumpers,Cairns Taipans,-22,84,106,1.35,1.39,7920.68,1.16,1.16,11118.87,1.46,1.49,14373.99,15,,26812.79,26868.3
2022-10-06 00:00:00.000 +0000, Australian NBL/Illawarra Hawks v S.E. Melbourne Phoenix,31798931,MATCH_ODDS,204372879,Match Odds,38507223,Illawarra Hawks,WINNER,1,157,Illawarra Hawks,S.E. Melbourne Phoenix,13,85,72,1.78,1.9,6214.22,1.51,,8819.45,1.3,1.45,10121.4,1.01,1.02,14392.53,15960.76
2022-10-06 00:00:00.000 +0000, Australian NBL/Illawarra Hawks v S.E. Melbourne Phoenix,31798931,MATCH_ODDS,204372879,Match Odds,27729378,S.E. Melbourne Phoenix,LOSER,0,157,Illawarra Hawks,S.E. Melbourne Phoenix,13,85,72,2.1,,6906.9,2.54,2.8,7984.71,3.8,,8516.28,28,100,8725.64,8763.54
2022-10-07 00:00:00.000 +0000, Australian NBL/New Zealand Breakers v Tasmania JackJumpers,31800220,MATCH_ODDS,204385027,Match Odds,1049592,New Zealand Breakers,WINNER,1,136,New Zealand Breakers,Tasmania JackJumpers,6,71,65,1.45,1.47,2929.49,1.27,1.35,6843.07,1.21,1.23,9233.59,1.21,1.17,11376.92,15488.94
2022-10-07 00:00:00.000 +0000, Australian NBL/New Zealand Breakers v Tasmania JackJumpers,31800220,MATCH_ODDS,204385027,Match Odds,40796164,Tasmania JackJumpers,LOSER,0,136,New Zealand Breakers,Tasmania JackJumpers,6,71,65,3.15,3.3,320.61,3.3,5,523.09,4.1,5.3,721.9,5.6,,862.05,902.81
2022-10-07 00:00:00.000 +0000, Australian NBL/Sydney Kings v Brisbane Bullets,31800221,MATCH_ODDS,204385323,Match Odds,1196396,Brisbane Bullets,LOSER,0,190,Sydney Kings,Brisbane Bullets,10,100,90,3.05,3.45,265.93,2.66,3.5,359.66,4.1,,458.65,2.7,3.7,606.38,937.44
2022-10-07 00:00:00.000 +0000, Australian NBL/Sydney Kings v Brisbane Bullets,31800221,MATCH_ODDS,204385323,Match Odds,1196407,Sydney Kings,WINNER,1,190,Sydney Kings,Brisbane Bullets,10,100,90,1.4,1.42,1380.39,1.41,1.43,2637.9,1.23,1.26,4313.81,1.53,1.54,16283.96,21361.52
2022-10-08 00:00:00.000 +0000, Australian NBL/Perth Wildcats v Illawarra Hawks,31802999,MATCH_ODDS,204468613,Match Odds,38507223,Illawarra Hawks,LOSER,0,148,Perth Wildcats,Illawarra Hawks,6,77,71,4.4,5.3,807.6,2.62,3.55,968.69,1.82,1.89,2790.14,3.75,4.3,5842.77,8136.06
2022-10-08 00:00:00.000 +0000, Australian NBL/Perth Wildcats v Illawarra Hawks,31802999,MATCH_ODDS,204468613,Match Odds,1196410,Perth Wildcats,WINNER,1,148,Perth Wildcats,Illawarra Hawks,6,77,71,1.25,1.26,5523.61,1.41,1.42,9479.47,2.1,2.18,19602.04,1.28,1.32,29682.47,33877.55
