EVENT_DATE,PATH,GROUP,STATE,EVENT_ID,MARKET_ID,MARKET_NAME,SELECTION_ID,RUNNER_NAME,IS_WINNER,BEST_BACK_PRICE_60_MIN_PRIOR,BEST_LAY_PRICE_60_MIN_PRIOR,IMPLIED_PROB,MATCHED_VOLUME_60_MIN_PRIOR,TOTAL_MATCHED_VOLUME,LAST_PREPLAY_PRICE
2022-05-27 00:00:00.000 Z,2022 Australian Federal Election,Seat Handicap,,28808409,198695461,Coalition +10.5 Seats,4865672,Coalition +10.5 Seats,0,,1.79,,5101.15,5585.31,1.76
2022-05-27 00:00:00.000 Z,2022 Australian Federal Election,Seat Handicap,,28808409,198695461,Coalition +10.5 Seats,4865673,Labor -10.5 Seats,1,2.28,1000,44%,4435.28,4945.71,2.3
2022-05-27 00:00:00.000 Z,2022 Australian Federal Election,Total Seats,,28808409,196914767,Coalition Seats Won - New South Wales,4912199,Over 20.5 Seats,0,2.1,890,48%,144.8,144.8,2.1
2022-05-27 00:00:00.000 Z,2022 Australian Federal Election,Total Seats,,28808409,196914767,Coalition Seats Won - New South Wales,4912198,Under 20.5 Seats,1,1.05,1.48,95%,1366.25,1366.25,1.8
2022-05-30 00:00:00.000 Z,2022 Australian Federal Election,Total Seats,,28808409,196915372,Coalition Seats Won - Queensland,43836447,Over 21.5 Seats,0,2,970,50%,998.44,998.44,2
2022-05-30 00:00:00.000 Z,2022 Australian Federal Election,Total Seats,,28808409,196915372,Coalition Seats Won - Queensland,43836446,Under 21.5 Seats,1,1.6,1.95,63%,1304.43,1304.43,2
2022-05-27 00:00:00.000 Z,2022 Australian Federal Election,Total Seats,,28808409,196914673,Coalition Seats Won - Victoria,1250707,Over 14.5 Seats,0,2.1,1000,48%,685.5,692.5,3.5
2022-05-27 00:00:00.000 Z,2022 Australian Federal Election,Total Seats,,28808409,196914673,Coalition Seats Won - Victoria,1250706,Under 14.5 Seats,1,1.1,1.4,91%,2275.65,2293.15,1.4
2022-05-27 00:00:00.000 Z,2022 Australian Federal Election,Total Seats,,28808409,196914671,Independent Seats Won,43836370,Seven Seats Won,0,6,7.6,17%,295.18,319.46,6.8
2022-05-27 00:00:00.000 Z,2022 Australian Federal Election,Total Seats,,28808409,196914671,Independent Seats Won,43836371,Eight Seats Won,0,6.2,10,16%,683.73,718.5,7.6
2022-05-27 00:00:00.000 Z,2022 Australian Federal Election,Total Seats,,28808409,196914671,Independent Seats Won,43836363,Zero Seats Won,0,1000,,0%,0.11,0.11,1000
2022-05-27 00:00:00.000 Z,2022 Australian Federal Election,Total Seats,,28808409,196914671,Independent Seats Won,43836366,Three Seats Won,0,8,15,13%,236.94,304.39,14
2022-05-27 00:00:00.000 Z,2022 Australian Federal Election,Total Seats,,28808409,196914671,Independent Seats Won,43836365,Two Seats Won,0,15.5,50,6%,19.74,40.85,15.5
2022-05-27 00:00:00.000 Z,2022 Australian Federal Election,Total Seats,,28808409,196914671,Independent Seats Won,43836364,One Seat Won,0,110,940,1%,5.14,5.2,940
2022-05-27 00:00:00.000 Z,2022 Australian Federal Election,Total Seats,,28808409,196914671,Independent Seats Won,43836368,Five Seats Won,0,4.7,4.9,21%,238.42,320.51,5.9
