Date,Track,Race Name,Race,MarketID,SelectionID,Number,Horse,Rank,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP
1/01/2024,Ascot,R1 1100m 2yo,1,223004260,64343968,1,Sinful Living,1,1,1.45,1,1.13
1/01/2024,Ascot,R1 1100m 2yo,1,223004260,4021256,4,Overdrive,2,0,9.58,0,2.96
1/01/2024,Ascot,R1 1100m 2yo,1,223004260,505137,2,Street Band,3,0,7.15,1,2.09
1/01/2024,Ascot,R1 1100m 2yo,1,223004260,64343969,3,Fighting Thunder,4,0,22.27,0,6.2
1/01/2024,Ascot,R1 1100m 2yo,1,223004260,64343970,5,Alabama Elegance,5,0,30.74,0,7.2
1/01/2024,Ascot,R2 1000m 3yo,2,223004267,64343971,1,Ginnivan,1,0,5,0,1.79
1/01/2024,Ascot,R2 1000m 3yo,2,223004267,64343972,2,Shell Bell,2,0,7.5,1,2.03
1/01/2024,Ascot,R2 1000m 3yo,2,223004267,64343974,6,Siberian Siren,3,0,4.6,0,1.51
1/01/2024,Ascot,R2 1000m 3yo,2,223004267,2156610,3,All Play,4,0,3.17,1,1.47
1/01/2024,Ascot,R2 1000m 3yo,2,223004267,64343975,8,Princess In Red,5,,,,
1/01/2024,Ascot,R3 1000m Hcap,3,223004274,64343978,7,Hostile Talk,1,0,2.25,0,1.36
1/01/2024,Ascot,R3 1000m Hcap,3,223004274,50168577,5,Hang Glider,2,0,7.6,1,1.91
1/01/2024,Ascot,R3 1000m Hcap,3,223004274,51736404,6,Zouboltz,3,0,17.49,0,3.44
1/01/2024,Ascot,R3 1000m Hcap,3,223004274,50836064,1,Brave Venture,4,1,15.61,1,3.43
1/01/2024,Ascot,R3 1000m Hcap,3,223004274,64343976,3,Bayezid,5,0,8.14,0,2.24
1/01/2024,Ascot,R4 1200m Hcap,4,223004281,3286151,5,Bonjoy,1,0,4.81,0,1.79
1/01/2024,Ascot,R4 1200m Hcap,4,223004281,57563826,6,Empress Of India,2,0,7.07,0,2.39
1/01/2024,Ascot,R4 1200m Hcap,4,223004281,60987533,4,Deamber,3,1,3.95,1,1.53
1/01/2024,Ascot,R4 1200m Hcap,4,223004281,1424476,2,Reign Of Fire,4,,,,
1/01/2024,Ascot,R4 1200m Hcap,4,223004281,41750613,8,Vampi At Play,5,0,9.73,1,2.89
1/01/2024,Ascot,R5 1800m Hcap,5,223004288,63860551,2,San Fabrizio,1,1,7.2,1,2.2
1/01/2024,Ascot,R5 1800m Hcap,5,223004288,52621767,3,Flower In The Wind,2,0,15.05,0,4.3
1/01/2024,Ascot,R5 1800m Hcap,5,223004288,64343981,6,Secret Attraction,3,0,3.15,0,1.41
1/01/2024,Ascot,R5 1800m Hcap,5,223004288,64343982,7,Speak To Me,4,0,8.8,1,3.1
1/01/2024,Ascot,R5 1800m Hcap,5,223004288,63860552,9,Nod And Smile,5,0,8,0,2.8
1/01/2024,Ascot,R6 1800m Grp3,6,223004295,63860554,2,Rusty Dreams,1,0,2.98,0,1.3
1/01/2024,Ascot,R6 1800m Grp3,6,223004295,53882510,8,Yonga Lass,2,1,2.78,1,1.42
1/01/2024,Ascot,R6 1800m Grp3,6,223004295,64343984,3,Ihts Closing Inn,3,0,12.24,0,2.96
1/01/2024,Ascot,R6 1800m Grp3,6,223004295,2422526,7,Forever Dreaming,4,0,18.55,1,3.62
1/01/2024,Ascot,R6 1800m Grp3,6,223004295,40249930,4,Ghobella,5,,,,
1/01/2024,Ascot,R7 1000m Listed,7,223004302,41145964,2,Itsarayday,1,0,9.69,0,2.81
1/01/2024,Ascot,R7 1000m Listed,7,223004302,64343987,10,Wild Belle,2,0,4.14,0,1.81
1/01/2024,Ascot,R7 1000m Listed,7,223004302,27386621,4,Gemmas Son,3,0,11.5,0,3.15
1/01/2024,Ascot,R7 1000m Listed,7,223004302,50713854,3,Real Danger,4,0,5.73,1,2.1
1/01/2024,Ascot,R7 1000m Listed,7,223004302,40022499,1,Ghost Who Walks,5,1,9.65,1,3.3
1/01/2024,Ascot,R8 2400m Grp2,8,223004309,63553007,7,Casino Seventeen,1,1,3.03,1,1.58
