Date,Track,Race Name,Race,Market,Selection,Number,Horse,Rank,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP
2026-02-01,Bunbury,R1 2019m Mdn,1,253369443,578709,4,Suparoo,4,0.0,6.45,0.0,2.5
2026-02-01,Bunbury,R1 2019m Mdn,1,253369443,7271355,9,Sunday Mass,2,0.0,7.26,0.0,3.05
2026-02-01,Bunbury,R1 2019m Mdn,1,253369443,94449062,2,Major Magnus,5,0.0,10.5,0.0,2.85
2026-02-01,Bunbury,R1 2019m Mdn,1,253369443,94449063,3,Bondi Express,1,0.0,6.24,1.0,2.18
2026-02-01,Bunbury,R1 2019m Mdn,1,253369443,94449064,5,Danea Rock,3,0.0,4.8,0.0,1.71
2026-02-01,Bunbury,R2 1100m Mdn,2,253369447,78979276,8,Perfectly Proper,1,0.0,6.5,1.0,2.06
2026-02-01,Bunbury,R2 1100m Mdn,2,253369447,94137496,3,Call Me Frosty,2,0.0,1.72,0.0,1.14
2026-02-01,Bunbury,R2 1100m Mdn,2,253369447,94449067,4,Playing Free,3,0.0,26.09,0.0,4.17
2026-02-01,Bunbury,R2 1100m Mdn,2,253369447,94449070,7,Dirty Habits,5,0.0,36.0,0.0,7.2
2026-02-01,Bunbury,R2 1100m Mdn,2,253369447,94449076,15,Mahlers Melody,4,0.0,65.0,0.0,7.4
2026-02-01,Bunbury,R3 1400m Mdn,3,253369451,81182687,1,Sainty Cullity,2,0.0,18.5,0.0,4.9
2026-02-01,Bunbury,R3 1400m Mdn,3,253369451,83904971,12,Raylana,4,0.0,10.0,0.0,2.98
2026-02-01,Bunbury,R3 1400m Mdn,3,253369451,94449077,4,Lash Out,3,1.0,5.6,1.0,2.25
2026-02-01,Bunbury,R3 1400m Mdn,3,253369451,94449082,10,Gold Enigma,5,0.0,13.0,0.0,4.4
2026-02-01,Bunbury,R3 1400m Mdn,3,253369451,94449084,13,Dancing Spirit,1,0.0,9.57,0.0,3.35
2026-02-01,Bunbury,R4 1400m CL3,4,253369455,56645515,5,Coventry Reef,4,0.0,80.0,0.0,14.34
2026-02-01,Bunbury,R4 1400m CL3,4,253369455,68189743,4,Apparatus,2,1.0,14.75,1.0,4.1
2026-02-01,Bunbury,R4 1400m CL3,4,253369455,75436674,3,Miss Wall Street,3,0.0,28.98,0.0,5.0
2026-02-01,Bunbury,R4 1400m CL3,4,253369455,94449087,1,Shamilian Miss,1,0.0,3.19,0.0,1.5
2026-02-01,Bunbury,R4 1400m CL3,4,253369455,94449089,9,Quick Cookie,5,0.0,4.02,1.0,1.74
2026-02-01,Bunbury,R5 1200m CL1,5,253369459,93240428,1,Bulletin Beau,3,0.0,8.2,0.0,2.12
2026-02-01,Bunbury,R5 1200m CL1,5,253369459,94449090,3,Gods Cross,5,0.0,4.6,1.0,1.51
2026-02-01,Bunbury,R5 1200m CL1,5,253369459,94449091,4,Hubbles Dragon,1,1.0,2.22,1.0,1.27
2026-02-01,Bunbury,R5 1200m CL1,5,253369459,94449092,5,Alma Mater,2,0.0,34.56,0.0,5.6
2026-02-01,Bunbury,R5 1200m CL1,5,253369459,94449095,11,Im Genevieve,4,0.0,14.62,0.0,3.89
