Player,Nation,Age,Minutes,ShotsOnTargetAgainst,GoalsAgainst,Saves,Save%,HomeTeam,Away_Team,Date,PlayerTeam
Ethan Cox,au AUS,21-053,90,6,4,2,33.3,Auckland FC,Adelaide United,1/03/2025,Adelaide United
Alex Paulsen,nz NZL,22-240,90,4,4,2,50,Auckland FC,Adelaide United,1/03/2025,Auckland FC
Mitchell Langerak,au AUS,36-191,90,5,1,4,80,Brisbane Roar,Melbourne Victory,1/03/2025,Melbourne Victory
Matt Acton,au AUS,32-271,90,4,1,3,75,Brisbane Roar,Melbourne Victory,1/03/2025,Brisbane Roar
Matthew Sutton,au AUS,24-358,90,4,1,3,75,Central Coast Mariners,Western United,28/02/2025,Western United
Dylan Peraic-Cullen,au AUS,18-218,90,8,3,5,62.5,Central Coast Mariners,Western United,28/02/2025,Central Coast Mariners
Harrison Devenish-Meares,au AUS,28-125,90,1,0,1,100,Macarthur FC,Sydney FC,1/03/2025,Sydney FC
Filip Kurto,pl POL,33-260,90,10,2,8,80,Macarthur FC,Sydney FC,1/03/2025,Macarthur FC
Patrick Beach,au AUS,21-206,90,0,0,0,,Wellington Phoenix,Melbourne City,28/02/2025,Melbourne City
Albert Kelly-Heald,nz NZL,19-347,90,4,1,3,75,Wellington Phoenix,Melbourne City,28/02/2025,Wellington Phoenix
Oliver Sail,nz NZL,29-048,90,8,4,4,50,Western Sydney Wanderers,Perth Glory,2/03/2025,Perth Glory
Lawrence Thomas,au AUS,32-297,90,3,1,2,66.7,Western Sydney Wanderers,Perth Glory,2/03/2025,Western Sydney Wanderers
