Player,Player,Nation,Age,Minutes,ShotsOnTargetAgainst,GoalsAgainst,Saves,Save%,HomeTeam,Away_Team,Date,PlayerTeam
Patrick Beach,au AUS,21-185,90,4,1,3,75,Adelaide United,Melbourne City,7/02/2025,Melbourne City,
Ethan Cox,au AUS,21-031,90,1,0,1,100,Adelaide United,Melbourne City,7/02/2025,Adelaide United,
Matthew Sutton,au AUS,24-339,90,4,2,2,50,Macarthur FC,Western United,9/02/2025,Western United,
Filip Kurto,pl POL,33-240,90,7,2,5,71.4,Macarthur FC,Western United,9/02/2025,Macarthur FC,
Mitchell Langerak,au AUS,36-170,90,2,3,0,0,Newcastle Jets,Melbourne Victory,8/02/2025,Melbourne Victory,
Noah James,au AUS,23-360,90,5,0,5,100,Newcastle Jets,Melbourne Victory,8/02/2025,Newcastle Jets,
Dylan Peraic-Cullen,au AUS,18-197,90,4,1,3,75,Perth Glory,Central Coast Mariners,7/02/2025,Central Coast Mariners,
Oliver Sail,nz NZL,29-025,90,6,1,5,83.3,Perth Glory,Central Coast Mariners,7/02/2025,Perth Glory,
Lawrence Thomas,au AUS,32-275,90,8,3,5,62.5,Sydney FC,Western Sydney Wanderers,8/02/2025,Western Sydney Wanderers,
Harrison Devenish-Meares,au AUS,28-104,90,9,3,6,66.7,Sydney FC,Western Sydney Wanderers,8/02/2025,Sydney FC,
Macklin Freke,au AUS,26-031,90,5,1,4,80,Wellington Phoenix,Brisbane Roar,6/02/2025,Brisbane Roar,
Albert Kelly-Heald,nz NZL,19-325,90,3,1,2,66.7,Wellington Phoenix,Brisbane Roar,6/02/2025,Wellington Phoenix,
