Player,Nation,Age,Min,SoTA,GA,Saves,Save%,home,away,date,player_team
Albert Kelly-Heald,nz NZL,19-341,90,8,6,2,25.0,Auckland FC,Wellington Phoenix,2025-2-22,Wellington Phoenix
Player,Nation,Age,Min,SoTA,GA,Saves,Save%,home,away,date,player_team
Alex Paulsen,nz NZL,22-233,90,5,1,4,80.0,Auckland FC,Wellington Phoenix,2025-2-22,Auckland FC
Player,Nation,Age,Min,SoTA,GA,Saves,Save%,home,away,date,player_team
Lawrence Thomas,au AUS,32-289,90,2,0,2,100.0,Central Coast Mariners,Western Sydney Wanderers,2025-2-22,Western Sydney Wanderers
Player,Nation,Age,Min,SoTA,GA,Saves,Save%,home,away,date,player_team
Adam Pavlešić,au AUS,22-207,90,4,4,1,25.0,Central Coast Mariners,Western Sydney Wanderers,2025-2-22,Central Coast Mariners
Player,Nation,Age,Min,SoTA,GA,Saves,Save%,home,away,date,player_team
Patrick Beach,au AUS,21-200,90,5,2,4,80.0,Melbourne Victory,Melbourne City,2025-2-22,Melbourne City
Player,Nation,Age,Min,SoTA,GA,Saves,Save%,home,away,date,player_team
Mitchell Langerak,au AUS,36-184,90,6,2,5,83.3,Melbourne Victory,Melbourne City,2025-2-22,Melbourne Victory
Player,Nation,Age,Min,SoTA,GA,Saves,Save%,home,away,date,player_team
Macklin Freke,au AUS,26-046,90,6,3,3,50.0,Newcastle Jets,Brisbane Roar,2025-2-21,Brisbane Roar
Player,Nation,Age,Min,SoTA,GA,Saves,Save%,home,away,date,player_team
Noah James,au AUS,24-007,90,5,1,4,80.0,Newcastle Jets,Brisbane Roar,2025-2-21,Newcastle Jets
Player,Nation,Age,Min,SoTA,GA,Saves,Save%,home,away,date,player_team
Harrison Devenish-Meares,au AUS,28-118,90,5,0,5,100.0,Perth Glory,Sydney FC,2025-2-22,Sydney FC
Player,Nation,Age,Min,SoTA,GA,Saves,Save%,home,away,date,player_team
Oliver Sail,nz NZL,29-040,90,4,0,4,100.0,Perth Glory,Sydney FC,2025-2-22,Perth Glory
Player,Nation,Age,Min,SoTA,GA,Saves,Save%,home,away,date,player_team
Ethan Cox,au AUS,21-047,90,10,3,8,80.0,Western United,Adelaide United,2025-2-23,Adelaide United
Player,Nation,Age,Min,SoTA,GA,Saves,Save%,home,away,date,player_team
Matthew Sutton,au AUS,24-353,90,0,0,0,,Western United,Adelaide United,2025-2-23,Western United
