Player,Number,Nation,Pos,Age,Minutes,Goals,Assists,Penalty_Goals,Penalty_Shots,Shots,ShotsOnTarget,CardsYellow,CardsRed,FoulsAgainst,FoulsFor,Offsides,Crosses,TacklesWon,Intercepts,OwnGoals,home,away,date,player_team
Lachlan Rose,9,au AUS,FW,25-306,75,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,Melbourne City,Newcastle Jets,12/03/2025,Newcastle Jets
Aleksandar Susnjar,15,au AUS,DF,29-205,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Melbourne City,Newcastle Jets,12/03/2025,Newcastle Jets
Clayton Taylor,13,au AUS,AM,21-011,89,0,0,0,0,1,0,0,0,1,0,0,1,1,2,0,Melbourne City,Newcastle Jets,12/03/2025,Newcastle Jets
Dane Ingham,14,nz NZL,DF,25-277,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Melbourne City,Newcastle Jets,12/03/2025,Newcastle Jets
Eli Adams,7,au AUS,AM,23-000,84,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,Melbourne City,Newcastle Jets,12/03/2025,Newcastle Jets
Justin Vidic,29,au AUS,FW,20-317,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Melbourne City,Newcastle Jets,12/03/2025,Newcastle Jets
Daniel Wilmering,23,au AUS,DM,24-083,90,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,Melbourne City,Newcastle Jets,12/03/2025,Newcastle Jets
Charles MMombwa,20,tz TAN,DM,26-363,45,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Melbourne City,Newcastle Jets,12/03/2025,Newcastle Jets
Lachlan Bayliss,37,au AUS,MF,22-231,45,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,Melbourne City,Newcastle Jets,12/03/2025,Newcastle Jets
Callum Timmins,19,au AUS,DM,25-079,90,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,Melbourne City,Newcastle Jets,12/03/2025,Newcastle Jets
Thomas Aquilina,39,au AUS,DM,24-038,90,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Melbourne City,Newcastle Jets,12/03/2025,Newcastle Jets
Mark Natta,33,au AUS,CB,22-104,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Melbourne City,Newcastle Jets,12/03/2025,Newcastle Jets
Kostandinos Grozos,17,au AUS,CB,24-214,90,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,Melbourne City,Newcastle Jets,12/03/2025,Newcastle Jets
Phillip Cancar,4,hr CRO,CB,23-305,90,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,Melbourne City,Newcastle Jets,12/03/2025,Newcastle Jets
Noah James,21,au AUS,GK,24-026,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Melbourne City,Newcastle Jets,12/03/2025,Newcastle Jets
Max Caputo,17,au AUS,FW,19-207,90,0,0,0,0,6,2,1,0,2,1,1,1,1,0,0,Melbourne City,Newcastle Jets,12/03/2025,Melbourne City
Kavian Rahmani,47,au AUS,AM,18-073,45,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,Melbourne City,Newcastle Jets,12/03/2025,Melbourne City
Harry Politidis,38,au AUS,DF,22-257,45,0,0,0,0,2,0,0,0,1,0,0,2,0,1,0,Melbourne City,Newcastle Jets,12/03/2025,Melbourne City
Andreas Kuen,30,at AUT,AM,29-353,90,0,0,0,0,2,1,0,0,2,0,0,10,4,1,0,Melbourne City,Newcastle Jets,12/03/2025,Melbourne City
Marco Tilio,23,au AUS,AM,23-201,75,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,Melbourne City,Newcastle Jets,12/03/2025,Melbourne City
Medin Memeti,35,au AUS,FW,17-265,15,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Melbourne City,Newcastle Jets,12/03/2025,Melbourne City
Steven Ugarkovic,6,au AUS,DM,30-205,90,0,0,0,0,2,1,1,0,1,0,0,3,0,2,0,Melbourne City,Newcastle Jets,12/03/2025,Melbourne City
Mathew Leckie,7,au AUS,DM,34-036,75,0,0,0,0,4,1,1,0,1,0,0,4,1,0,0,Melbourne City,Newcastle Jets,12/03/2025,Melbourne City
Lawrence Wong,41,au AUS,MF,17-157,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Melbourne City,Newcastle Jets,12/03/2025,Melbourne City
Aziz Behich,16,au AUS,LB,34-086,90,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,Melbourne City,Newcastle Jets,12/03/2025,Melbourne City
Samuel Souprayen,26,fr FRA,CB,36-022,90,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,Melbourne City,Newcastle Jets,12/03/2025,Melbourne City
Kai Trewin,27,au AUS,CB,23-298,90,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,Melbourne City,Newcastle Jets,12/03/2025,Melbourne City
Nathaniel Atkinson,13,au AUS,RB,25-272,90,0,0,0,0,4,2,0,0,0,1,0,3,2,1,0,Melbourne City,Newcastle Jets,12/03/2025,Melbourne City
Patrick Beach,33,au AUS,GK,21-218,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Melbourne City,Newcastle Jets,12/03/2025,Melbourne City
