LOCAL_MEETING_DATE,SCHEDULED_RACE_TIME_MELBOURNE,ACTUAL_OFF_TIME_MELBOURNE,TRACK,STATE_CODE,RACE_NO,WIN_MARKET_ID,WIN_MARKET_NAME,PLACE_MARKET_ID,TRACK_TYPE,DISTANCE,RACE_TYPE,RACE_SPEED,PLACES_PAID,SELECTION_ID,SILK_NUMBER,SELECTION_NAME,SPEED_CATEGORY,EARLY_SPEED,LATE_SPEED,CARROT_CRUNCHER_RATED_PRICE,TOP_5_RANK,STALL_DRAW,TRAINER_NAME,JOCKEY_NAME,WEIGHT_VALUE,DAYS_SINCE_LAST_RUN,COLOUR_TYPE,FORM,SEX_TYPE,AGE,BRED,DAM_BRED,DAM_NAME,SIRE_BRED,SIRE_NAME,DAMSIRE_BRED,DAMSIRE_NAME,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,AVG_CORP_PRICE_AT_OFF,WIN_BSP_VOLUME,WIN_PREPLAY_MAX_PRICE_TAKEN,WIN_PREPLAY_MIN_PRICE_TAKEN,WIN_PREPLAY_LAST_PRICE_TAKEN,WIN_PREPLAY_WEIGHTED_AVERAGE_PRICE_TAKEN,WIN_PREPLAY_VOLUME,WIN_INPLAY_MAX_PRICE_TAKEN,WIN_INPLAY_MIN_PRICE_TAKEN,WIN_LAST_PRICE_TAKEN,WIN_INPLAY_WEIGHTED_AVERAGE_PRICE_TAKEN,WIN_INPLAY_VOLUME,PLACE_BSP_VOLUME,PLACE_MAX_PRICE_TAKEN,PLACE_MIN_PRICE_TAKEN,PLACE_LAST_PRICE_TAKEN,PLACE_WEIGHTED_AVERAGE_PRICE_TAKEN,PLACE_PREPLAY_VOLUME,BEST_AVAIL_BACK_AT_10AM_MELB_TIME,BEST_AVAIL_LAY_AT_10AM_MELB_TIME,BACK_MARKET_PERCENTAGE_AT_10AM_MELB_TIME,LAY_MARKET_PERCENTAGE_AT_10AM_MELB_TIME
2025-11-27,16:57:00.000,16:58:01.000,Albany,WA,1,250986300,R1 1500m Mdn,250986301,,1500,Mdn,Average,3,570440,1,Crombie,Off Midfield,0.2222499999999999,2.0,42.35,4.0,1,Johnathon Jachmann,Natika Riordan,58.0,12,b,93x85,g,7,AUS,AUS,Quambatook,AUS,Awesome Rock,USA,State City,0,116.58,0,15.5,,273.79,180.0,95.0,110.0,135.33,132.9,480.0,190.0,480.0,272.79,1.74,34.84,30.0,15.0,15.5,19.0,41.03,44.0,220.0,1.1,0.58
2025-11-27,16:57:00.000,16:58:01.000,Albany,WA,1,250986300,R1 1500m Mdn,250986301,,1500,Mdn,Average,3,91746950,10,Just Shady,Backmarker,0.0555833333333333,2.0,106.59,,9,Brett Pope,Zephen Johnston-Porter,56.0,7,br,87,g,3,AUS,AUS,Just Wild,AUS,All American,AUS,Danbird,0,250.0,0,22.0,,211.74,290.0,110.0,240.0,219.04,91.04,470.0,360.0,470.0,440.17,0.44,25.58,24.0,22.0,22.0,23.27,11.71,110.0,370.0,1.1,0.58
2025-11-27,16:57:00.000,16:58:01.000,Albany,WA,1,250986300,R1 1500m Mdn,250986301,,1500,Mdn,Average,3,91746951,11,Deportation,Backmarker,0.1666666666666666,3.0,194.58,,3,Brett Pope,Lisa Staples,56.0,7,b,08,g,3,AUS,AUS,Bayella,AUS,All American,AUS,Danehill Express,0,425.51,0,46.54,,162.93,930.0,200.0,380.0,417.53,103.2,470.0,450.0,470.0,460.0,0.37,33.58,48.0,36.0,48.0,43.75,19.84,200.0,370.0,1.1,0.58
2025-11-27,16:57:00.000,16:58:01.000,Albany,WA,1,250986300,R1 1500m Mdn,250986301,,1500,Mdn,Average,3,91746952,12,Astonisher,Off Midfield,0.27775,1.0,15.22,,7,Indianna Weinert,Holly Nottle,54.0,12,ch,64,f,3,AUS,AUS,Autumn House,AUS,Mahuta,USA,More Than Ready,1,13.5,1,3.3,,2200.31,19.0,12.5,14.0,13.97,3544.15,12.0,1.01,1.05,2.33,1544.73,66.02,3.35,2.96,3.3,3.19,91.57,17.0,34.0,1.1,0.58
2025-11-27,16:57:00.000,16:58:01.000,Albany,WA,1,250986300,R1 1500m Mdn,250986301,,1500,Mdn,Average,3,3834629,2,Sea of Galilee,On-Pace,0.8333333333333334,4.0,6.03,,6,Steve Wolfe,Natasha Faithfull,58.0,23,b,7x486,g,4,AUS,FR,Chocolatier,NZ,Dundeel,FR,Lawman,0,5.9,1,1.8,,7840.75,6.6,5.4,5.9,5.72,7254.04,470.0,5.0,450.0,14.92,120.38,232.81,1.86,1.77,1.83,1.81,138.14,5.4,11.5,1.1,0.58
2025-11-27,16:57:00.000,16:58:01.000,Albany,WA,1,250986300,R1 1500m Mdn,250986301,,1500,Mdn,Average,3,91746949,3,Larakinism,Midfield,0.4166666666666667,2.0,99.65,,5,Brett Pope,Elisha Whittington,58.0,12,b,9x79,g,4,AUS,AUS,Taylor Bay,AUS,Sessions,AUS,Commands,0,170.0,0,20.0,,294.54,220.0,55.0,170.0,170.38,217.42,480.0,250.0,470.0,315.68,1.72,26.22,23.0,16.0,22.0,20.86,13.33,60.0,270.0,1.1,0.58
2025-11-27,16:57:00.000,16:58:01.000,Albany,WA,1,250986300,R1 1500m Mdn,250986301,,1500,Mdn,Average,3,81223924,4,Exceed The Boom,Backmarker,0.02775,5.0,2.65,1.0,10,Paul Hunter,Holly Watson,56.0,14,gr,x5435,g,3,AUS,AUS,All Boom,AUS,Exceedance,AUS,Spirit Of Boom,0,2.69,0,1.31,,21607.96,2.86,2.24,2.56,2.6,14892.45,470.0,2.0,450.0,3.73,671.97,346.03,1.37,1.3,1.33,1.32,717.44,2.24,3.8,1.1,0.58
2025-11-27,16:57:00.000,16:58:01.000,Albany,WA,1,250986300,R1 1500m Mdn,250986301,,1500,Mdn,Average,3,49063586,5,Arafisio,Backmarker,0.1389166666666666,2.0,98.98,,4,Sarah Searle,Casey Hunter,56.0,12,ch,965x8,m,6,AUS,AUS,Lee Rani,AUS,My Admiration,AUS,Kendel Star,0,190.0,1,19.5,,268.5,240.0,55.0,190.0,167.4,196.92,550.0,1.13,7.2,3.54,260.99,27.78,22.0,17.5,19.5,19.47,15.2,75.0,340.0,1.1,0.58
2025-11-27,16:57:00.000,16:58:01.000,Albany,WA,1,250986300,R1 1500m Mdn,250986301,,1500,Mdn,Average,3,72167582,6,Almost Artie,Backmarker,0.1110833333333333,4.0,5.34,3.0,2,Rebecca Bayliss,Lucy Fiore,56.0,14,b,6x029,m,5,AUS,AUS,Almost Crystal,USA,Artie Schiller,AUS,Snitzel,0,3.61,0,1.46,,14062.02,4.7,3.4,3.65,3.63,11702.41,470.0,1.19,470.0,4.05,539.26,75.67,1.56,1.38,1.46,1.42,303.61,4.7,8.0,1.1,0.58
2025-11-27,16:57:00.000,16:58:01.000,Albany,WA,1,250986300,R1 1500m Mdn,250986301,,1500,Mdn,Average,3,6259520,7,Close Call,Off Midfield,0.3333333333333333,3.0,15.86,5.0,12,Steve Wolfe,Rosie Mahony,56.0,12,b/br,852,g,3,AUS,AUS,Lovely Lucy,USA,A Lot,USA,Mr. Henrysee,0,12.96,0,3.35,,4731.21,23.0,12.5,13.5,15.35,7081.16,580.0,9.6,370.0,30.03,80.9,148.04,3.8,3.1,3.1,3.41,139.89,18.0,30.0,1.1,0.58
