event_name,market_start,event_id,market_name,market_id,selection_id,runner_name,best_back_price
Head to Heads,23/09/2024 9:00,33530204,Caleb Serong v Zach Merrett,1.232328121,27123032,Caleb Serong,1.88
Head to Heads,23/09/2024 9:00,33530204,Caleb Serong v Zach Merrett,1.232328121,8480468,Zach Merrett,2
Most Votes In Team,23/09/2024 9:00,33530277,Richmond,1.232328496,10950385,Daniel Rioli,4.5
Most Votes In Team,23/09/2024 9:00,33530277,Richmond,1.232328496,12440308,Tim Taranto,3.8
Most Votes In Team,23/09/2024 9:00,33530277,Richmond,1.232328496,13094122,Shai Bolton,4.3
Most Votes In Team,23/09/2024 9:00,33530277,Richmond,1.232328496,19863175,Liam Baker,8.2
Most Votes In Team,23/09/2024 9:00,33530277,Richmond,1.232328496,7030242,Nick Vlastuin,15
Most Votes In Team,23/09/2024 9:00,33530277,Richmond,1.232328496,9987358,Toby Nankervis,10
Most Votes In Team,23/09/2024 9:00,33530277,Richmond,1.232328496,11016851,Jayden Short,22
Most Votes In Team,23/09/2024 9:00,33530277,Richmond,1.232328496,2094715,Any Other Player,9.4
Head to Heads,23/09/2024 9:00,33530204,Harry Sheezel v Sam Flanders,1.232328122,50743711,Harry Sheezel,1.85
Head to Heads,23/09/2024 9:00,33530204,Harry Sheezel v Sam Flanders,1.232328122,35512614,Sam Flanders,1.98
Head to Heads,23/09/2024 9:00,33530204,Dylan Moore v Jack Sinclair,1.232328123,23103358,Dylan Moore,2
Head to Heads,23/09/2024 9:00,33530204,Dylan Moore v Jack Sinclair,1.232328123,9485795,Jack Sinclair,1.94
Most Votes In Team,23/09/2024 9:00,33530277,St Kilda,1.232328498,13546789,Rowan Marshall,1.52
Most Votes In Team,23/09/2024 9:00,33530277,St Kilda,1.232328498,9044870,Jack Steele,5.4
Most Votes In Team,23/09/2024 9:00,33530277,St Kilda,1.232328498,9485795,Jack Sinclair,5.8
Most Votes In Team,23/09/2024 9:00,33530277,St Kilda,1.232328498,42997659,Nasiah Wanganeen Milera,27
Most Votes In Team,23/09/2024 9:00,33530277,St Kilda,1.232328498,2094715,Any Other Player,70
Head to Heads,23/09/2024 9:00,33530204,Harley Reid v Oliver Dempsey,1.232328124,63027256,Harley Reid,1.76
Head to Heads,23/09/2024 9:00,33530204,Harley Reid v Oliver Dempsey,1.232328124,44417333,Oliver Dempsey,2.02
Head to Heads,23/09/2024 9:00,33530204,Dayne Zorko v Lachie Whitfield,1.232328125,6416861,Dayne Zorko,2.08
Head to Heads,23/09/2024 9:00,33530204,Dayne Zorko v Lachie Whitfield,1.232328125,7030227,Lachie Whitfield,1.88
Most Votes In Team,23/09/2024 9:00,33530277,Sydney,1.2323285,9044851,Isaac Heeney,1.32
Most Votes In Team,23/09/2024 9:00,33530277,Sydney,1.2323285,37584467,Errol Gulden,3.4
Most Votes In Team,23/09/2024 9:00,33530277,Sydney,1.2323285,28026598,Chad Warner,8.8
Most Votes In Team,23/09/2024 9:00,33530277,Sydney,1.2323285,2094715,Any Other Player,75
Head to Heads,23/09/2024 9:00,33530204,Ben Keays v Cam Rayner,1.232328126,10646052,Ben Keays,1.94
Head to Heads,23/09/2024 9:00,33530204,Ben Keays v Cam Rayner,1.232328126,23103356,Cam Rayner,1.94
Head to Heads,23/09/2024 9:00,33530204,Patrick Dangerfield v Toby Greene,1.232328127,3860205,Patrick Dangerfield,1.56
Head to Heads,23/09/2024 9:00,33530204,Patrick Dangerfield v Toby Greene,1.232328127,6146441,Toby Greene,2.2
Most Votes In Team,23/09/2024 9:00,33530277,West Coast,1.232328502,6549186,Elliot Yeo,1.42
Most Votes In Team,23/09/2024 9:00,33530277,West Coast,1.232328502,12440315,Jake Waterman,4.6
Most Votes In Team,23/09/2024 9:00,33530277,West Coast,1.232328502,63027256,Harley Reid,10.5
Most Votes In Team,23/09/2024 9:00,33530277,West Coast,1.232328502,17553184,Tim Kelly,12
Most Votes In Team,23/09/2024 9:00,33530277,West Coast,1.232328502,2094715,Any Other Player,26
Most Votes In Team,23/09/2024 9:00,33530277,Adelaide,1.23232847,19964029,Jordan Dawson,1.08
Most Votes In Team,23/09/2024 9:00,33530277,Adelaide,1.23232847,21925324,Izak Rankine,11
Most Votes In Team,23/09/2024 9:00,33530277,Adelaide,1.23232847,7408815,Rory Laird,16.5
Most Votes In Team,23/09/2024 9:00,33530277,Adelaide,1.23232847,10646052,Ben Keays,22
Most Votes In Team,23/09/2024 9:00,33530277,Adelaide,1.23232847,2094715,Any Other Player,21
Head to Heads,23/09/2024 9:00,33530204,James Worpel v Elliot Yeo,1.232328129,17733784,James Worpel,1.76
Head to Heads,23/09/2024 9:00,33530204,James Worpel v Elliot Yeo,1.232328129,6549186,Elliot Yeo,2.28
Most Votes In Team,23/09/2024 9:00,33530277,Western Bulldogs,1.232328504,8072278,Marcus Bontempelli,1.11
Most Votes In Team,23/09/2024 9:00,33530277,Western Bulldogs,1.232328504,6146434,Adam Treloar,11.5
Most Votes In Team,23/09/2024 9:00,33530277,Western Bulldogs,1.232328504,19063587,Ed Richards,27
Most Votes In Team,23/09/2024 9:00,33530277,Western Bulldogs,1.232328504,5469070,Tom Liberatore,42
Most Votes In Team,23/09/2024 9:00,33530277,Western Bulldogs,1.232328504,2094715,Any Other Player,20
Head to Heads,23/09/2024 9:00,33530204,Lachie Neale v Isaac Heeney,1.232328128,6183784,Lachie Neale,1.68
Head to Heads,23/09/2024 9:00,33530204,Lachie Neale v Isaac Heeney,1.232328128,9044851,Isaac Heeney,2.36
Head to Heads,23/09/2024 9:00,33530204,Noah Anderson v Chad Warner,1.23232813,27123030,Noah Anderson,1.82
Head to Heads,23/09/2024 9:00,33530204,Noah Anderson v Chad Warner,1.23232813,28026598,Chad Warner,2.2
Most Votes In Team,23/09/2024 9:00,33530277,Brisbane Without Neale,1.232328473,12440303,Hugh McCluggage,1.39
Most Votes In Team,23/09/2024 9:00,33530277,Brisbane Without Neale,1.232328473,6416861,Dayne Zorko,5.2
Most Votes In Team,23/09/2024 9:00,33530277,Brisbane Without Neale,1.232328473,10979106,Josh Dunkley,15
Most Votes In Team,23/09/2024 9:00,33530277,Brisbane Without Neale,1.232328473,7030236,Joe Daniher,22
Most Votes In Team,23/09/2024 9:00,33530277,Brisbane Without Neale,1.232328473,23103356,Cam Rayner,27
Most Votes In Team,23/09/2024 9:00,33530277,Brisbane Without Neale,1.232328473,2094715,Any Other Player,46
Most Votes In Team,23/09/2024 9:00,33530277,Carlton Without Cripps/Walsh,1.232328475,10646056,Charlie Curnow,1.87
Most Votes In Team,23/09/2024 9:00,33530277,Carlton Without Cripps/Walsh,1.232328475,20230484,Tom De Koning,3.8
Most Votes In Team,23/09/2024 9:00,33530277,Carlton Without Cripps/Walsh,1.232328475,12633029,Harry McKay,6
Most Votes In Team,23/09/2024 9:00,33530277,Carlton Without Cripps/Walsh,1.232328475,10990813,George Hewett,7.4
Most Votes In Team,23/09/2024 9:00,33530277,Carlton Without Cripps/Walsh,1.232328475,2094715,Any Other Player,27
Most Votes In Team,23/09/2024 9:00,33530277,Collingwood Without N Daicos,1.232328477,6507428,Jack Crisp,2.36
Most Votes In Team,23/09/2024 9:00,33530277,Collingwood Without N Daicos,1.232328477,12683537,Josh Daicos,2.26
Most Votes In Team,23/09/2024 9:00,33530277,Collingwood Without N Daicos,1.232328477,9044865,Jordan De Goey,10.5
Most Votes In Team,23/09/2024 9:00,33530277,Collingwood Without N Daicos,1.232328477,2364717,Scott Pendlebury,18
Most Votes In Team,23/09/2024 9:00,33530277,Collingwood Without N Daicos,1.232328477,12633536,Will Hoskin-Elliott,42
Most Votes In Team,23/09/2024 9:00,33530277,Collingwood Without N Daicos,1.232328477,2094715,Any Other Player,12.5
Player Votes,23/09/2024 9:00,33530201,Marcus Bontempelli,1.23232807,5839700,Under 24.5 Votes,2.4
Player Votes,23/09/2024 9:00,33530201,Marcus Bontempelli,1.23232807,5839701,Over 24.5 Votes,1.6
