venue_name,match_id,match_home_team,match_away_team,match_date,match_local_time,match_attendance,match_round,match_home_team_goals,match_home_team_behinds,match_home_team_score,match_away_team_goals,match_away_team_behinds,match_away_team_score,match_margin,match_winner,match_weather_temp_c,match_weather_type,player_id,player_first_name,player_last_name,player_height_cm,player_weight_kg,player_is_retired,player_team,guernsey_number,kicks,marks,handballs,disposals,effective_disposals,disposal_efficiency_percentage,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,hitouts_to_advantage,hitout_win_percentage,intercept_marks,marks_on_lead,pressure_acts,rating_points,ruck_contests,score_launches,shots_at_goal,spoils,subbed,player_position,date
Marvel Stadium,16780,Essendon,Adelaide,19/07/2024,19:40:00,0,19,17,11,113,17,13,115,2,Adelaide,12,RAIN,11692,Todd,Goldstein,201,0,FALSE,Essendon,17,0,0,5,5,5,100,0,0,19,3,0,0,3,1,1,1,0,4,2,0,0,3,0,0,59,39,NA,1,2,1,-12,0,0,0,0,0,0,0,3,0,0,2,3,50,0,0,7,4.9,38,0,0,1,NA,INT,19/07/2024
Marvel Stadium,16780,Essendon,Adelaide,19/07/2024,19:40:00,0,19,17,11,113,17,13,115,2,Adelaide,12,RAIN,11898,Brodie,Smith,194,0,FALSE,Adelaide,33,9,3,6,15,10,67,0,0,0,3,3,1,0,4,0,0,0,5,8,0,0,3,0,0,80,60,NA,0,0,1,317,5,4,0,1,1,0,0,3,6,0,5,0,0,0,0,6,5.8,0,0,0,3,NA,HBFR,19/07/2024
Marvel Stadium,16780,Essendon,Adelaide,19/07/2024,19:40:00,0,19,17,11,113,17,13,115,2,Adelaide,12,RAIN,12032,Dylan,Shiel,182,0,FALSE,Essendon,9,11,4,10,21,15,71,0,0,0,4,3,2,3,4,0,2,0,6,13,0,0,0,0,1,66,75,NA,2,1,3,167,2,0,0,0,0,0,0,5,7,0,5,0,0,0,1,15,8.2,0,0,0,0,NA,INT,19/07/2024
Marvel Stadium,16780,Essendon,Adelaide,19/07/2024,19:40:00,0,19,17,11,113,17,13,115,2,Adelaide,12,RAIN,12171,Rory,Laird,178,0,FALSE,Adelaide,29,11,2,18,29,20,69,0,0,0,7,0,3,7,3,3,3,0,11,16,0,0,2,0,2,70,97,NA,3,4,8,267,2,2,0,0,0,0,0,8,7,0,4,0,0,0,0,20,7,0,3,0,0,NA,RR,19/07/2024
Marvel Stadium,16780,Essendon,Adelaide,19/07/2024,19:40:00,0,19,17,11,113,17,13,115,2,Adelaide,12,RAIN,12173,Jake,Stringer,192,0,FALSE,Essendon,25,3,2,6,9,6,67,1,0,0,4,1,4,3,1,0,0,0,5,4,0,0,0,0,1,81,49,NA,2,1,4,199,1,0,2,0,0,0,0,4,3,0,4,0,0,0,0,17,6.7,0,0,1,0,NA,FPL,19/07/2024
Marvel Stadium,16780,Essendon,Adelaide,19/07/2024,19:40:00,0,19,17,11,113,17,13,115,2,Adelaide,12,RAIN,12249,Zach,Merrett,179,0,FALSE,Essendon,7,17,1,13,30,18,60,1,1,0,5,0,7,8,2,2,0,0,13,16,0,1,2,0,2,83,109,NA,3,5,11,471,2,2,0,0,0,1,0,15,7,1,9,0,0,0,0,30,16.2,0,3,2,1,NA,R,19/07/2024
Marvel Stadium,16780,Essendon,Adelaide,19/07/2024,19:40:00,0,19,17,11,113,17,13,115,2,Adelaide,12,RAIN,12345,Jake,Kelly,190,0,FALSE,Essendon,29,11,4,5,16,11,69,0,0,0,3,4,1,0,1,0,0,0,2,15,0,0,3,0,1,86,67,NA,0,0,5,247,1,4,0,0,0,0,0,7,6,0,1,0,0,0,0,9,7.2,0,1,0,2,NA,C,19/07/2024
Marvel Stadium,16780,Essendon,Adelaide,19/07/2024,19:40:00,0,19,17,11,113,17,13,115,2,Adelaide,12,RAIN,12358,Kyle,Langford,192,0,FALSE,Essendon,4,15,12,7,22,14,64,2,1,0,3,2,5,0,3,0,1,0,7,15,1,5,2,0,0,97,117,NA,0,0,9,441,7,5,0,0,0,1,0,4,10,5,6,0,0,3,4,13,10.7,0,2,6,1,NA,FF,19/07/2024
Marvel Stadium,16780,Essendon,Adelaide,19/07/2024,19:40:00,0,19,17,11,113,17,13,115,2,Adelaide,12,RAIN,12384,Jayden,Laverde,193,0,FALSE,Essendon,15,10,8,7,17,13,77,0,0,0,1,3,0,1,1,0,0,0,3,14,0,0,5,0,0,92,72,NA,0,1,2,288,3,2,0,0,2,0,0,7,7,0,2,0,0,0,0,8,3.9,0,1,0,5,NA,BPR,19/07/2024
Marvel Stadium,16780,Essendon,Adelaide,19/07/2024,19:40:00,0,19,17,11,113,17,13,115,2,Adelaide,12,RAIN,12422,Jade,Gresham,177,0,FALSE,Essendon,11,6,1,6,12,8,67,2,0,0,2,1,1,2,5,0,2,0,5,7,0,0,1,0,0,70,47,NA,1,1,2,155,2,1,0,0,0,0,0,5,3,1,3,0,0,0,0,15,9.1,0,0,3,0,NA,FPR,19/07/2024
