tournament,timestamp,date_GMT,status,stadium_name,attendance,home_team_name,away_team_name,referee,Game Week,home_team_pre_match_ppg,away_team_pre_match_ppg,home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,home_team_xg,away_team_xg
Friendly,1578443400,Jan 08 2020 - 12:30am,complete,Championship Soccer Stadium at OC Great Park (Irvine- California),5,Barbados,Canada,Rubiel Vazquez,,0,0,0,2,1,4,5,4,1,3,36,7;34;45;77,,,2,0,1,0,0,2,0,1,,,,,,,,,,,,
Friendly,1578702600,Jan 11 2020 - 12:30am,complete,Championship Soccer Stadium at OC Great Park (Irvine- California),5,Barbados,Canada,Nima Saghafi,,0,3,0,2,1,4,5,2,0,2,70,10;36;64;86,,,6,0,1,0,1,5,0,1,,,,,,,,,,,,
Friendly,1579132800,Jan 16 2020 - 12:00am,complete,Championship Soccer Stadium at OC Great Park (Irvine- California),20,Iceland,Canada,Rubiel Vazquez,,0,3,3,2,1,0,1,1,1,0,21,,,,0,0,1,0,0,0,0,1,,,,,,,,,,,,
Friendly,1579478400,Jan 20 2020 - 12:00am,complete,Dignity Health Sports Park (Carson- California),20,Iceland,El Salvador,Alejandro Mariscal,,3,0,3,0,1,0,1,0,0,0,65,,3,7,2,0,1,0,1,1,0,1,9,16,4,3,5,13,13,13,50,50,1.15,1.45
Friendly,1579957200,Jan 25 2020 - 1:00pm,complete,Cicero Stadium (Asmara),,Eritrea,Sudan,,,0,0,0,1.33,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Friendly,1580590500,Feb 01 2020 - 8:55pm,complete,Dignity Health Sports Park (Carson- California),9172,USA,Costa Rica,Oshane Nation,,0,0,2.5,0.25,1,0,1,0,0,0,50,,10,3,1,0,1,0,0,1,1,0,15,11,6,4,9,7,22,12,50,50,1.67,1.16
Friendly,1582462800,Feb 23 2020 - 1:00pm,complete,Al-Hamriya Sports Club Stadium (Sharjah- Ajman),,Uzbekistan,Belarus,Omar Mohamed Al Ali,,0,0,1,2,0,1,1,1,0,1,,26,,,1,0,2,0,0,1,0,2,,,,,,,,,,,,
Friendly,1582729200,Feb 26 2020 - 3:00pm,complete,Stadion Vasil Levski (Sofia),250,Bulgaria,Belarus,Trustin Farrugia Cann,,0,3,1.5,2,0,1,1,1,0,1,,15,3,4,0,0,0,0,0,0,0,0,15,7,9,3,6,4,8,16,50,50,2.3,1.03
Friendly,1582894800,Feb 28 2020 - 1:00pm,complete,Stade Amahoro (Kigali),,Rwanda,Congo,,,0,0,1,0.5,0,0,0,0,0,0,,,5,6,,,,,,,,,5,5,3,2,2,3,,,53,47,0.98,0.8
Friendly,1583971200,Mar 12 2020 - 12:00am,complete,Catherine Hall Sports Complex (Montego Bay),,Jamaica,Bermuda,Rubiel Vazquez,,0,0,2,0,2,0,2,1,1,0,42;79,,,,,,,,,,,,,,,,,,,,,,,
